osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,bridge,lanes,width,junction
121993254,False,G125,Strada Alexandru cel Bun,secondary,50,True,96.628,"LINESTRING (28.7825348 46.5253484, 28.7813414 46.5250639)",,,,
40062702,False,R3,Strada Barbu Lăutaru,primary,40,False,126.536,"LINESTRING (28.7825348 46.5253484, 28.7828095 46.5252092, 28.7830766 46.5250842, 28.7833715 46.5249311, 28.7836169 46.5247794, 28.7836972 46.5247246, 28.7838231 46.5246387)",,,,
40062701,False,,Strada Ion Popuşoi,residential,50,False,125.89800000000001,"LINESTRING (28.786517 46.5207591, 28.7849685 46.5204755, 28.7849271 46.5204674)",,,,
40062703,False,R3,Strada Ion Popuşoi,primary,50,False,208.687,"LINESTRING (28.786517 46.5207591, 28.7881365 46.5210556, 28.7882486 46.5210683, 28.7883706 46.5210695, 28.7884667 46.5210613, 28.7886009 46.5210354, 28.788855 46.5209274, 28.7890686 46.5208016)",,,,
45829814,False,R3,Strada Barbu Lăutaru,primary,40,True,171.013,"LINESTRING (28.786517 46.5207591, 28.7863597 46.5207481, 28.7862577 46.5207586, 28.7861745 46.5207782, 28.7861097 46.5208017, 28.7860048 46.5208604, 28.7859309 46.5209288, 28.7857081 46.5214545, 28.7854775 46.5219512)",,,,
121993258,False,R3,Strada Nicolae Iorga,primary,50,False,15.308,"LINESTRING (28.7890686 46.5208016, 28.7892097 46.520704)",,,,
40062703,False,R3,Strada Ion Popuşoi,primary,50,True,208.687,"LINESTRING (28.7890686 46.5208016, 28.788855 46.5209274, 28.7886009 46.5210354, 28.7884667 46.5210613, 28.7883706 46.5210695, 28.7882486 46.5210683, 28.7881365 46.5210556, 28.786517 46.5207591)",,,,
"[121991601, 597973589]",False,,"['Strada Ion Popuşoi', 'Stradela Suveranității']",residential,,"[False, True]",233.724,"LINESTRING (28.7890686 46.5208016, 28.7891886 46.5208993, 28.7893349 46.5210061, 28.7894884 46.5211414, 28.7895567 46.5212118, 28.7895917 46.5212668, 28.7896171 46.5213189, 28.7895443 46.5215589, 28.7894759 46.5218051, 28.7893501 46.5223793, 28.7892878 46.5227563)",,,,
121991589,False,,Strada Suveranității,residential,,True,175.088,"LINESTRING (28.7849754 46.5230884, 28.782782 46.5226393)",,,,
31165567,False,R26,Strada Decebal,primary,50,False,153.885,"LINESTRING (28.7849754 46.5230884, 28.78535 46.5231659, 28.7854137 46.5231791, 28.7863245 46.5233676, 28.7869015 46.523487)",,,,
40062702,False,R3,Strada Barbu Lăutaru,primary,40,True,196.124,"LINESTRING (28.7849754 46.5230884, 28.7847459 46.5235631, 28.7846316 46.523799, 28.7845409 46.5239492, 28.7844374 46.5240875, 28.7843291 46.5242136, 28.7842895 46.524252, 28.7842057 46.5243333, 28.7840918 46.5244324, 28.7838501 46.5246203, 28.7838231 46.5246387)",,,,
45829814,False,R3,Strada Barbu Lăutaru,primary,40,False,132.15900000000002,"LINESTRING (28.7849754 46.5230884, 28.7852191 46.522526, 28.7854549 46.5220015, 28.7854775 46.5219512)",,,,
121993254,False,G125,Strada Alexandru cel Bun,secondary,50,False,96.628,"LINESTRING (28.7813414 46.5250639, 28.7825348 46.5253484)",,,,
121991685,False,,Bulevardul Ștefan cel Mare și Sfînt,residential,50,False,88.678,"LINESTRING (28.7813414 46.5250639, 28.781385 46.5249968, 28.7814805 46.5248497, 28.781571 46.5247181, 28.7816358 46.5246263, 28.7816563 46.5245948, 28.7818313 46.5243412)",,,,
121993254,False,G125,Strada Alexandru cel Bun,secondary,50,True,132.265,"LINESTRING (28.7813414 46.5250639, 28.7811573 46.5250162, 28.780416 46.5248239, 28.7797153 46.5246605)",,,,
1013822845,False,,Strada Ștefan cel Mare și Sfînt,residential,50,True,105.80499999999999,"LINESTRING (28.7813414 46.5250639, 28.780978 46.5257435, 28.7808615 46.5259563)",,,,
"[121991592, 597665112, 121991603]",False,,Strada Sfînta Maria,"['residential', 'living_street']",,False,144.012,"LINESTRING (28.78073 46.5205647, 28.780724 46.5205183, 28.7806919 46.5202679, 28.7806452 46.5200513, 28.7805985 46.519917, 28.7805228 46.5198107, 28.7804075 46.5197343, 28.7801845 46.5195881, 28.7799668 46.5194561)",yes,,,
121993257,False,,Bulevardul Mihai Viteazul,residential,50,False,247.753,"LINESTRING (28.78073 46.5205647, 28.7803884 46.5206065, 28.7799503 46.5206732, 28.7795877 46.5207349, 28.7779463 46.5210338, 28.7776125 46.5211452)",,,,
121993257,False,,Bulevardul Mihai Viteazul,residential,50,True,181.83499999999998,"LINESTRING (28.78073 46.5205647, 28.7817601 46.5204496, 28.7824172 46.5203705, 28.7829821 46.5203265, 28.7830398 46.5203254, 28.7830762 46.5203362)",,,,
121993257,False,,Bulevardul Mihai Viteazul,residential,50,True,12.104,"LINESTRING (28.7770371 46.5212677, 28.7771884 46.5212359)",,,,
