osmid,oneway,ref,name,highway,reversed,length,lanes,geometry,maxspeed,bridge
38533704,False,L6,strada Constantin Stamati,tertiary,True,107.776,,"LINESTRING (27.4808062 48.4117379, 27.4813796 48.4126293)",,
38533747,False,L6,strada Constantin Stamati,tertiary,False,183.195,,"LINESTRING (27.4808062 48.4117379, 27.479789 48.4102351)",,
840714692,False,,Strada Independenței,primary,True,274.819,2,"LINESTRING (27.4808062 48.4117379, 27.4774381 48.4127916)",,
38533747,False,L6,strada Constantin Stamati,tertiary,True,76.633,,"LINESTRING (27.4791367 48.4092982, 27.4795787 48.4099218)",,
838332211,False,L3,Strada 50 ani ai Biruinței,tertiary,False,87.3,2,"LINESTRING (27.4791367 48.4092982, 27.4801225 48.4088644)",,
38533748,False,L2,Strada 50 ani ai Biruinței,tertiary,True,212.168,2,"LINESTRING (27.4791367 48.4092982, 27.478878 48.4094305, 27.4784349 48.4096316, 27.4775694 48.409989, 27.4770441 48.4102059, 27.4767281 48.4103377)",,
38533748,False,L2,Strada 50 ani ai Biruinței,tertiary,False,357.233,2,"LINESTRING (27.4725927 48.4119675, 27.4726722 48.4119718, 27.4727412 48.41197, 27.4728053 48.4119617, 27.4728764 48.4119461, 27.4729477 48.4119226, 27.4732178 48.4118083, 27.4732481 48.4117956, 27.4751856 48.4109761, 27.4767281 48.4103377)",,
38533748,False,L2,Strada 50 ani ai Biruinței,tertiary,True,10.714,2,"LINESTRING (27.4725927 48.4119675, 27.4725203 48.4119588, 27.472452 48.4119446)",,
415607414,True,,,residential,False,55.915000000000006,,"LINESTRING (27.4725927 48.4119675, 27.4725527 48.4121083, 27.4725708 48.4121378, 27.4727374 48.4124463)",,
38533703,False,L2,Strada Luceafărul,residential,False,50.88,,"LINESTRING (27.482525 48.4090412, 27.4819027 48.409238)",,
38533703,False,L2,Strada Luceafărul,residential,True,46.922999999999995,,"LINESTRING (27.482525 48.4090412, 27.4829776 48.4088825, 27.4830871 48.4088441)",,
