osmid,ref,highway,oneway,reversed,length,lanes,name,maxspeed,geometry,junction
47015237,L476,tertiary,False,False,27.526,,,,"LINESTRING (29.2347891 46.8854673, 29.2349811 46.8856772)",
58663789,R2,primary,False,False,34.519,4,Chișinău-Bender,50,"LINESTRING (29.2347891 46.8854673, 29.2352097 46.8853501)",
776783321,R2,primary,False,True,31.599,4,Chișinău-Bender,50,"LINESTRING (29.2347891 46.8854673, 29.2343977 46.8855632)",
58417375,,tertiary,False,True,38.163,,Strada Concelierii Naționale,,"LINESTRING (29.2347891 46.8854673, 29.2346 46.8852232, 29.2345604 46.8851619)",
727341210,,tertiary,False,False,37.028,2,Strada Chișinăului,50,"LINESTRING (29.2292531 46.8820378, 29.2297265 46.8819591)",
727341210,,tertiary,False,True,138.766,2,Strada Chișinăului,50,"LINESTRING (29.2292531 46.8820378, 29.2274791 46.882333)",
47015247,,residential,False,False,141.557,,Stradela Uzinelor,,"LINESTRING (29.2292531 46.8820378, 29.2292115 46.8819365, 29.2289489 46.8812952, 29.2287861 46.8808058)",
79733681,,tertiary,True,False,18.68,,Strada Concelierii Naționale,,"LINESTRING (29.23263 46.8811151, 29.2327712 46.8812526)",
43177000,,tertiary,False,True,140.551,,Strada Concelierii Naționale,,"LINESTRING (29.23263 46.8811151, 29.2325752 46.8809372, 29.2324646 46.8805781, 29.2323555 46.8802242, 29.2322548 46.8798774)",
47015245,,residential,False,True,119.387,,Strada Victoriei,,"LINESTRING (29.2283862 46.8771064, 29.2282296 46.8771143, 29.2268215 46.8772)",
47015247,,residential,False,True,210.368,,Stradela Uzinelor,,"LINESTRING (29.2283862 46.8771064, 29.228522 46.8780451, 29.2286586 46.8789891)",
47015246,,residential,False,False,71.407,,Strada Zagorodnaia,,"LINESTRING (29.2327539 46.8782766, 29.2318295 46.8783912)",
47015246,,residential,False,True,177.455,,Strada Zagorodnaia,,"LINESTRING (29.2327539 46.8782766, 29.2350429 46.8779624)",
79736910,,residential,False,False,159.658,,Strada Concelierii Naționale,,"LINESTRING (29.2327539 46.8782766, 29.2321914 46.87966)",
43177000,,tertiary,False,False,24.649,,Strada Concelierii Naționale,,"LINESTRING (29.2321914 46.87966, 29.2322548 46.8798774)",
79736910,,residential,False,True,159.658,,Strada Concelierii Naționale,,"LINESTRING (29.2321914 46.87966, 29.2327539 46.8782766)",
