osmid,oneway,lanes,ref,highway,reversed,length,geometry,maxspeed,name,junction,bridge
159103658,True,1,EN 234,primary,False,44.06,"LINESTRING (-8.4487389 40.380955, -8.4489541 40.3808996, -8.449093 40.3808824, -8.4492427 40.3809037)",,,,
22355340,False,2,EN 1;IC 2,primary,True,224.17900000000003,"LINESTRING (-8.4495724 40.3784086, -8.4495009 40.3787293, -8.4493098 40.3798575, -8.4493006 40.3799645, -8.4493061 40.3800737, -8.4493455 40.3804091)",50,,,
385517013,True,1,EN 1;IC 2,primary,False,50.245000000000005,"LINESTRING (-8.4495724 40.3784086, -8.4496577 40.3781213, -8.4497736 40.3779911)",50,,,
22355274,True,2,EN 1;IC 2,primary,False,18.025,"LINESTRING (-8.4495887 40.3808658, -8.4496005 40.3808347, -8.4496036 40.3808023, -8.4495976 40.3807702, -8.449583 40.3807397, -8.4495604 40.3807123)",50,,,
159103670,True,,,secondary,False,34.934000000000005,"LINESTRING (-8.4495887 40.3808658, -8.4497353 40.3808128, -8.4498376 40.3807912, -8.4498998 40.3807891, -8.4499495 40.3807875, -8.4499786 40.3807774)",,Rua Doutor Américo Couto,,
22355982,True,,EN 1;IC 2,primary,False,4.222,"LINESTRING (-8.4498157 40.3779708, -8.4498495 40.3779429)",50,,roundabout,
23275624,True,,,residential,False,18.186,"LINESTRING (-8.4498157 40.3779708, -8.4498943 40.3780416, -8.4499017 40.3781122)",,Rua das Amoreiras,,
22355982,True,,EN 1;IC 2,primary,False,16.916,"LINESTRING (-8.4498495 40.3779429, -8.4498727 40.3779092, -8.4498836 40.3778721, -8.4498815 40.3778341, -8.4498666 40.3777978)",50,,roundabout,
110106638,True,,,residential,False,105.23500000000001,"LINESTRING (-8.4498495 40.3779429, -8.4500839 40.377942, -8.4510846 40.3780338)",,Avenida Quinta da Nora,,
22355982,True,,EN 1;IC 2,primary,False,16.902,"LINESTRING (-8.4498031 40.3777401, -8.4497589 40.3777225, -8.4497102 40.3777142, -8.4496603 40.3777159, -8.4496128 40.3777273)",50,,roundabout,
22356277,True,1,EN 1;IC 2,primary,False,237.73100000000002,"LINESTRING (-8.4498031 40.3777401, -8.4497532 40.3775455, -8.4498774 40.3767249, -8.4500152 40.3758143, -8.450097 40.3756274)",50,,,
385516997,True,1,EN 1;IC 2,primary,False,35.809,"LINESTRING (-8.4500912 40.3750587, -8.4500288 40.3752197, -8.4499455 40.3753602)",50,Alameda da Cidade,,
22356838,True,,EN 1;IC 2,primary,False,8.456,"LINESTRING (-8.450097 40.3756274, -8.4501398 40.3756079, -8.4501746 40.3755806)",50,,roundabout,
23276613,False,,,residential,True,88.76,"LINESTRING (-8.453445 40.375413, -8.4533501 40.3754156, -8.4525058 40.3754362, -8.4523977 40.3754375)",,Rua Capitão Cabral,,
23276609,True,,,residential,False,2.983,"LINESTRING (-8.4535295 40.3782293, -8.4534943 40.3782302)",,Rua Eduardo Alves de Matos,,
23275611,True,,,residential,False,73.297,"LINESTRING (-8.4535295 40.3782293, -8.4535316 40.3781233, -8.4535141 40.3775703)",50,Avenida Doutor Manuel Louzada,,
