osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,bridge,junction
39924874,False,2,EN 644,Avenida Comendador Abílio Ferreira de Oliveira,secondary,False,79.47800000000001,"LINESTRING (-8.3708716 41.3616897, -8.3706559 41.3616563, -8.3699389 41.3615454)",,,
"[39985381, 39985375]",False,,,,residential,False,235.514,"LINESTRING (-8.3708716 41.3616897, -8.3708384 41.3617946, -8.370994 41.3623888, -8.3708723 41.3624128, -8.3700196 41.3625824, -8.3698792 41.3624668, -8.3698082 41.3624869, -8.3697129 41.3624989, -8.3695988 41.3625133, -8.3694554 41.3625231, -8.3693413 41.3625157, -8.3693119 41.3624374)",,,
40657115,False,,EN 644,,secondary,True,94.575,"LINESTRING (-8.3708716 41.3616897, -8.3710127 41.3617101, -8.3719843 41.3618508)",,,
40733740,False,,,Rua da Escola Secundária,residential,True,73.247,"LINESTRING (-8.3708716 41.3616897, -8.3708795 41.3616079, -8.3708278 41.3612227, -8.3709024 41.3610416)",,,
38281902,False,,,Avenida 25 de Abril,residential,True,96.506,"LINESTRING (-8.3644693 41.3613887, -8.3643945 41.3613287, -8.3638451 41.360888, -8.3636792 41.360755)",,,
"[198437928, 198437930, 108143372]",False,2,,Rua João Evangelista Faria e Almeida,secondary,False,300.36199999999997,"LINESTRING (-8.3644693 41.3613887, -8.3640947 41.3616272, -8.3636587 41.3618941, -8.3632974 41.362047, -8.362743 41.3622737, -8.362491 41.3624201, -8.3616382 41.3630326)",50,yes,
108143372,False,2,,Rua João Evangelista Faria e Almeida,secondary,True,221.50900000000001,"LINESTRING (-8.3644693 41.3613887, -8.3647733 41.3611956, -8.3652112 41.3610318, -8.365638 41.3609561, -8.3659948 41.3609624, -8.3669472 41.3611049)",50,,
40733740,False,,,Rua da Escola Secundária,residential,False,73.247,"LINESTRING (-8.3709024 41.3610416, -8.3708278 41.3612227, -8.3708795 41.3616079, -8.3708716 41.3616897)",,,
40733740,False,,,Rua da Escola Secundária,residential,True,62.778999999999996,"LINESTRING (-8.3709024 41.3610416, -8.3705626 41.3606023, -8.3705399 41.3605483)",,,
302664853,False,,,,residential,True,131.22299999999998,"LINESTRING (-8.3709024 41.3610416, -8.3709972 41.3610597, -8.3711582 41.3612246, -8.3715015 41.3614422, -8.3717 41.3615265, -8.3718043 41.3615949, -8.3718457 41.3616396, -8.3719843 41.3618508)",,,
