osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,bridge,tunnel,access
93089418,Rua José Afonso,secondary,50,False,False,87.127,"LINESTRING (-8.0179113 37.1398183, -8.0179407 37.1390351)",,,,,,
93089428,Rua José Afonso,secondary,,True,False,21.447,"LINESTRING (-8.0179113 37.1398183, -8.0178734 37.1399067, -8.0178508 37.1399363, -8.0178257 37.1399577, -8.0177921 37.139981)",,,,,,
93089418,Rua José Afonso,secondary,50,False,True,34.629,"LINESTRING (-8.0179458 37.1387237, -8.0179407 37.1390351)",,,,,,
93089418,Rua José Afonso,secondary,50,False,False,93.753,"LINESTRING (-8.0179458 37.1387237, -8.0181059 37.1382231, -8.0181244 37.138153, -8.018157 37.138049, -8.0182043 37.1379062)",,,,,,
93102639,Rua Engenheiro Duarte Pacheco,secondary,50,False,False,52.071,"LINESTRING (-8.0243982 37.1369294, -8.0246812 37.1370513, -8.0248667 37.137203)",,,,,,
93102639,Rua Engenheiro Duarte Pacheco,secondary,50,False,True,60.638999999999996,"LINESTRING (-8.0243982 37.1369294, -8.024089 37.1368512, -8.0237388 37.1367858)",,,,,,
841903681,Rua da Mouraria,residential,,False,False,71.565,"LINESTRING (-8.0243982 37.1369294, -8.0244472 37.1368493, -8.0244763 37.1366669, -8.0245736 37.136385, -8.024478 37.1363673)",,,,,,
130855233,Rua Engenheiro Duarte Pacheco,secondary,50,True,False,66.842,"LINESTRING (-8.0222934 37.1366159, -8.0215416 37.1365696)",,,,,,
1000643932,Rua Engenheiro Duarte Pacheco,secondary,50,False,False,53.51,"LINESTRING (-8.0222934 37.1366159, -8.022894 37.1366642)",,,,,,
37053961,Avenida Marçal Pacheco,primary,50,False,False,51.481,"LINESTRING (-8.0222934 37.1366159, -8.0223198 37.1364504, -8.0222879 37.1362497, -8.0222533 37.13616)",2,EN 125-4,,,,
37053961,Avenida Marçal Pacheco,primary,50,False,True,113.458,"LINESTRING (-8.0222934 37.1366159, -8.0221455 37.1371144, -8.0220782 37.1373412, -8.0220164 37.137506, -8.0219701 37.1376022)",2,EN 125-4,,,,
93098681,Rua António josé de Almeida,residential,,True,False,61.038,"LINESTRING (-8.0219563 37.1358217, -8.021304 37.1359975)",,,,,,
37053961,Avenida Marçal Pacheco,primary,50,False,True,45.915,"LINESTRING (-8.0219563 37.1358217, -8.022066 37.1359466, -8.0222533 37.13616)",2,EN 125-4,,,,
1201186750,Largo Gago Coutinho,primary,,True,False,2.595,"LINESTRING (-8.0215771 37.1386395, -8.021606 37.1386358)",,,roundabout,,,
78520573,Largo Gago Coutinho,primary,,True,False,4.019,"LINESTRING (-8.0215096 37.1383941, -8.0214677 37.1384079)",,,roundabout,,,
78520573,Largo Gago Coutinho,primary,,True,False,19.508,"LINESTRING (-8.0214677 37.1384079, -8.0214333 37.1384298, -8.0214079 37.1384584, -8.0213934 37.1384915, -8.021391 37.1385266, -8.0214008 37.1385608)",,,roundabout,,,
78520928,Avenida José da Costa Mealha,primary,,True,False,16.326999999999998,"LINESTRING (-8.0214677 37.1384079, -8.0213875 37.1383781, -8.0213012 37.1383451)",,CM 1305,,,,
806068842,Rua de Nossa Senhora de Fátima,residential,,False,False,9.222,"LINESTRING (-8.0234535 37.1414489, -8.0235504 37.1414791)",,,,,,
806068842,Rua de Nossa Senhora de Fátima,residential,,False,True,6.736,"LINESTRING (-8.0234535 37.1414489, -8.0233824 37.1414275)",,,,,,
