osmid,oneway,lanes,name,highway,reversed,length,geometry,tunnel,junction,bridge,ref,maxspeed,access,width
135440079,True,1,Rua do Clube dos Galitos,secondary,False,26.357,"LINESTRING (-8.6540352 40.6412263, -8.6538079 40.6411736, -8.6537332 40.6411737)",,,,,,,
135440083,False,3,Rua do Clube dos Galitos,secondary,False,82.707,"LINESTRING (-8.6540352 40.6412263, -8.6543044 40.641234, -8.6544773 40.6412245, -8.6546369 40.6412006, -8.654998 40.6411244)",,,,,,,
"[172547674, 172547676, 173245223]",False,,Rua Doutor Luís Brás Abreu,residential,"[False, True]",86.30799999999999,"LINESTRING (-8.6547806 40.6385263, -8.6548583 40.6386672, -8.6549531 40.6387891, -8.6549605 40.6388006, -8.6550286 40.6388276, -8.6551747 40.638853, -8.6555651 40.638875)",building_passage,,,,,,
"[541716003, 400178787]",True,,Rotunda das Pontes,secondary,False,14.953,"LINESTRING (-8.6536827 40.6414629, -8.6537371 40.6414492, -8.6537842 40.6414246, -8.653823 40.6413872)",,roundabout,yes,,,,
"[1265321923, 34262391]",True,1,Rua João Mendonça,residential,False,35.914,"LINESTRING (-8.6536827 40.6414629, -8.6538039 40.6415169, -8.6539573 40.6415469, -8.6540813 40.6415272)",,,,,,,
31865796,True,2,Rua do Clube dos Galitos,secondary,False,18.206,"LINESTRING (-8.6538386 40.6412637, -8.6538955 40.6412254, -8.6540352 40.6412263)",,,,,,,
541716001,True,,Rotunda das Pontes,secondary,False,13.665,"LINESTRING (-8.6538386 40.6412637, -8.653798 40.6412105, -8.6537332 40.6411737)",,roundabout,,,,,
"[1077152280, 541716009, 239129036]",False,2,Rua Batalhão de Caçadores 10,residential,True,162.96200000000002,"LINESTRING (-8.6534966 40.6412102, -8.6533682 40.6411499, -8.6531485 40.6409894, -8.653016 40.6408552, -8.6529905 40.6408293, -8.6528604 40.6407518, -8.6526997 40.6406699, -8.6521261 40.6405135, -8.6518951 40.6404555)",,,,,,,
"[541716002, 556280454]",True,,Rotunda das Pontes,secondary,False,17.907000000000004,"LINESTRING (-8.6534966 40.6412102, -8.6534651 40.6412461, -8.6534457 40.6413032, -8.6534562 40.6413616)",,roundabout,yes,,,,
172550490,False,2,Rua de Jaime Cortesão,residential,False,78.631,"LINESTRING (-8.655958 40.6374807, -8.6566159 40.6369799)",,,,,,,
135663873,True,1,Rua de Manuel Mendes,residential,False,84.27000000000001,"LINESTRING (-8.655958 40.6374807, -8.6562583 40.6377376, -8.6566208 40.6380476)",,,,,,,
541689219,False,2,Rua do Clube dos Galitos,secondary,False,73.85,"LINESTRING (-8.6554817 40.6410393, -8.6556324 40.6410225, -8.6556772 40.6410184, -8.6557621 40.6409965, -8.6558365 40.6409691, -8.6560016 40.6408929, -8.6562654 40.6407662)",,,,,,,
541716008,False,2,Rua do Clube dos Galitos,secondary,True,41.916,"LINESTRING (-8.6554817 40.6410393, -8.6551249 40.6411074, -8.654998 40.6411244)",,,,,,,
815988679,False,2,Rua Calouste Gulbenkian,secondary,True,26.595,"LINESTRING (-8.6559695 40.636052, -8.6561904 40.6362226)",,,,EN 235,50,,
34039353,True,3,Rotunda das Pirâmides,secondary,False,12.608,"LINESTRING (-8.6586083 40.6414268, -8.6585058 40.6415093)",,roundabout,,EN 235,50,,
34039298,True,1,Rua Condessa Mumadona Dias,secondary,False,229.74700000000004,"LINESTRING (-8.6593657 40.6394576, -8.6591096 40.6400469, -8.6590236 40.6402982, -8.6589316 40.640567, -8.6588228 40.6410718, -8.6587644 40.6411897, -8.658627 40.6413402, -8.6586083 40.6414268)",,,,EN 235,50,,
"[182176867, 135663877, 658633126, 135663878]",False,2,Rua Condessa Mumadona Dias,secondary,False,211.62300000000002,"LINESTRING (-8.6593657 40.6394576, -8.6594069 40.6393478, -8.6594544 40.6392215, -8.6594868 40.6391351, -8.6595169 40.6390551, -8.6595436 40.6389839, -8.6595649 40.6389272, -8.6595853 40.6388729, -8.6596039 40.6388232, -8.6596221 40.638775, -8.6596748 40.6386347, -8.6596865 40.6385595, -8.6596724 40.6384526, -8.6595999 40.6383738, -8.6593861 40.6382675, -8.6587477 40.6379591)",,,yes,EN 235,,,
34039353,True,3,Rotunda das Pirâmides,secondary,False,3.949,"LINESTRING (-8.6591767 40.6414138, -8.6591344 40.6413986)",,roundabout,,EN 235,50,,
34039353,True,3,Rotunda das Pirâmides,secondary,False,56.169000000000004,"LINESTRING (-8.6593469 40.6418637, -8.6593864 40.641741, -8.6593687 40.6416154, -8.659296 40.6415019, -8.6591767 40.6414138)",,roundabout,,EN 235,50,,
34039353,True,3,Rotunda das Pirâmides,secondary,False,54.615,"LINESTRING (-8.6586844 40.6420431, -8.6588388 40.6420799, -8.6590006 40.6420759, -8.6591515 40.6420317, -8.6592747 40.6419521)",,roundabout,,EN 235,50,,
34039353,True,3,Rotunda das Pirâmides,secondary,False,17.641,"LINESTRING (-8.658524 40.6419428, -8.658597 40.6419996, -8.6586844 40.6420431)",,roundabout,,EN 235,50,,
274708146,True,1,Rossio,residential,False,9.982,"LINESTRING (-8.6561805 40.6424238, -8.6562426 40.6424739, -8.6562694 40.6424791)",,,,,,,
34039353,True,3,Rotunda das Pirâmides,secondary,False,11.564,"LINESTRING (-8.6592747 40.6419521, -8.6593469 40.6418637)",,roundabout,,EN 235,50,,
