osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,tunnel,junction,width,access,bridge
"[8387659, 1222987252, 1222987261]",True,2,EN 14,Circular Norte de Braga,trunk,50,False,144.583,"LINESTRING (-8.4322659 41.5511244, -8.4320706 41.5513795, -8.4315108 41.5521103, -8.4314019 41.5522525)",,,,,
1188461912,True,2,EN 14,Circular Norte de Braga,trunk,50,False,25.533,"LINESTRING (-8.4314019 41.5522525, -8.4312521 41.5524529)",,,,,
"[108391128, 470148807]",True,"['1', '2']",,,trunk_link,50,False,109.205,"LINESTRING (-8.4312521 41.5524529, -8.4311686 41.5524812, -8.4310767 41.5525068, -8.430968 41.5525294, -8.430848 41.5525442, -8.4307779 41.5525441, -8.430679 41.5525329, -8.4305506 41.5525062, -8.430359 41.5524592, -8.4301768 41.552415, -8.4300742 41.5523944, -8.4299899 41.5523841)",,,,,
470148810,True,2,EN 14,Circular Norte de Braga,trunk,50,False,72.277,"LINESTRING (-8.4312521 41.5524529, -8.4309745 41.5528062, -8.4308056 41.5530104)",,,,,
"[167468688, 20459298, 1071928723, 895829101]",True,"['1', '2']",,"['Avenida General Norton de Matos', 'Praça Alexandre Herculano']",tertiary,,False,120.299,"LINESTRING (-8.423627 41.5536925, -8.42364 41.553759, -8.4237738 41.5540866, -8.423793 41.5541335, -8.4238564 41.5542081, -8.42392 41.554283, -8.4241668 41.5546076, -8.4242173 41.5546694)",building_passage,,,,
30011460,True,,,Rua Santo André,residential,,False,133.559,"LINESTRING (-8.423627 41.5536925, -8.4235455 41.5536915, -8.4220842 41.5536187, -8.4220253 41.5536161)",,,,,
167140705,False,,,Rua Gabriel Pereira de Castro,tertiary,,True,4.995,"LINESTRING (-8.4241709 41.5546979, -8.4242173 41.5546694)",,,,,
22745125,False,,,Rua Gabriel Pereira de Castro,tertiary,,False,126.518,"LINESTRING (-8.4241709 41.5546979, -8.4241511 41.5547087, -8.424109 41.5547315, -8.422991 41.5554154)",,,,,
22745146,True,3,,Avenida General Norton de Matos,tertiary,,False,25.131999999999998,"LINESTRING (-8.4241709 41.5546979, -8.4242515 41.5547703, -8.4243595 41.5548744)",,,,,
235477840,False,,,Rua Gabriel Pereira de Castro,tertiary,,False,10.541,"LINESTRING (-8.4243198 41.5546137, -8.4242173 41.5546694)",,,,,
317542299,False,2,,Rua Gabriel Pereira de Castro,tertiary,,False,137.35399999999998,"LINESTRING (-8.4243198 41.5546137, -8.4244378 41.5545427, -8.4251946 41.5540876, -8.4254406 41.5539449, -8.4255372 41.5539027, -8.4256357 41.5538749)",,,,,
317542294,True,2,,Avenida General Norton de Matos,tertiary,,False,21.201,"LINESTRING (-8.4247441 41.5550869, -8.4247662 41.5550526, -8.4247702 41.5550145, -8.4247555 41.554978, -8.4247241 41.554948, -8.4246803 41.5549285)",,roundabout,,,
317542293,True,2,,Avenida General Norton de Matos,tertiary,,False,11.030999999999999,"LINESTRING (-8.4246291 41.555129, -8.4246729 41.5551246, -8.4247126 41.5551101, -8.4247441 41.5550869)",,roundabout,,,
