osmid,name,highway,oneway,reversed,length,geometry,lanes,width,maxspeed,bridge,junction,ref
173188154,Rua Poeta Isidoro Pires,residential,False,True,49.482,"LINESTRING (-7.6504378 37.122608, -7.6498817 37.1225703)",,,,,,
77731465,Rua Doutor Fausto Cansado,residential,False,False,32.95,"LINESTRING (-7.6504378 37.122608, -7.6504497 37.1224016, -7.6504756 37.1223143)",,,,,,
522613978,Rua Poeta Isidoro Pires,residential,False,False,64.133,"LINESTRING (-7.6504378 37.122608, -7.6505432 37.1228142, -7.6507108 37.1231421)",,,,,,
"[173188145, 660832041]",Travessa Zacarias Guerreiro,residential,False,False,50.428000000000004,"LINESTRING (-7.6512035 37.1231996, -7.6514277 37.123337, -7.6516121 37.1234348, -7.6516612 37.1234682)",2,5,,,,
173188155,Praça Zacarias Guerreiro,residential,True,False,45.014,"LINESTRING (-7.6512035 37.1231996, -7.651158 37.1231694, -7.6507108 37.1231421)",,,,,,
64352261,Rua dos Pelames,residential,True,False,193.10400000000004,"LINESTRING (-7.6506576 37.1266648, -7.6506923 37.1267079, -7.6507646 37.1267762, -7.6508717 37.126813, -7.6510582 37.1268565, -7.6512554 37.1268876, -7.6519061 37.12699, -7.6519737 37.1269838, -7.6522266 37.1269225, -7.6522786 37.1269134, -7.6523387 37.1269029, -7.6524718 37.1269141, -7.6527116 37.1269564)",,,,,,
"[808568354, 64352269]","['Rua Gonçalo Velho', 'Praça da República']",residential,False,True,65.274,"LINESTRING (-7.6506576 37.1266648, -7.6505524 37.1265374, -7.6504117 37.1264645, -7.650223 37.1263737, -7.6501612 37.126344, -7.6501032 37.1262949)",,,,,,
"[603499338, 172223364]",Rua Chefe António Afonso,secondary,False,False,176.57099999999997,"LINESTRING (-7.6531754 37.1270382, -7.6534084 37.1277294, -7.6535131 37.128102, -7.6535772 37.1284109, -7.6535989 37.1285133, -7.6536098 37.1285862)",3,,50,,,
603495371,Rua dos Bombeiros Municipais,secondary,False,True,141.629,"LINESTRING (-7.6531754 37.1270382, -7.6533377 37.1267939, -7.6536106 37.1263421, -7.653778 37.1260896, -7.6538425 37.1259994, -7.6539056 37.1259057)",,,50,,,
171887537,Rua dos Limpinhos,tertiary,False,True,36.233000000000004,"LINESTRING (-7.6524681 37.1290009, -7.6523962 37.129021, -7.6520864 37.1291173)",,,,,,
"[171894080, 171894074, 173166340]",,secondary,False,False,111.237,"LINESTRING (-7.6524681 37.1290009, -7.6527055 37.1289112, -7.6534087 37.1286532, -7.6536098 37.1285862)",,,50,viaduct,,
