osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,junction,lanes
79689076,EM 523,Rua de São José,tertiary,False,False,56.003,"LINESTRING (-8.5729688 40.9755802, -8.5728765 40.9750814)",,,
119695067,EM 523,Rua de São José,tertiary,True,False,53.495999999999995,"LINESTRING (-8.5729688 40.9755802, -8.5729434 40.9757575, -8.5729296 40.9758139, -8.5729095 40.9758616, -8.5728676 40.9759508, -8.5728161 40.9760437)",,,
"[95122728, 378235275]",EM 517,Rua da Ponte Nova,tertiary,True,False,24.364,"LINESTRING (-8.5766774 40.9803626, -8.5765865 40.9803499, -8.5764678 40.9803004, -8.5764212 40.9802693)",yes,,
119695019,EM 517,Rua do Largo Eduardo Melo,tertiary,True,False,8.459999999999999,"LINESTRING (-8.5762742 40.9804423, -8.5763196 40.9804342, -8.5763671 40.9804146)",,roundabout,
119695069,EM 523,Rua de São José,tertiary,True,False,18.833,"LINESTRING (-8.5730347 40.9757421, -8.5729688 40.9755802)",,,
119695019,EM 517,Rua do Largo Eduardo Melo,tertiary,True,False,3.093,"LINESTRING (-8.5758261 40.9797519, -8.575805 40.9797747)",,roundabout,
119695048,,Rua Social,residential,True,False,4.161,"LINESTRING (-8.5724859 40.979984, -8.57249 40.9800025, -8.5725002 40.9800195)",,roundabout,
119695019,EM 517,Rua do Largo Eduardo Melo,tertiary,True,False,17.953,"LINESTRING (-8.5763671 40.9804146, -8.5764125 40.9803803, -8.5764298 40.9803281, -8.5764212 40.9802693)",,roundabout,
"[119695006, 378235254]",EM 517,Rua da Ponte Nova,tertiary,True,False,26.683,"LINESTRING (-8.5763671 40.9804146, -8.5764452 40.9804007, -8.5765796 40.980379, -8.5766774 40.9803626)",yes,,
119695019,EM 517,Rua do Largo Eduardo Melo,tertiary,True,False,20.878999999999998,"LINESTRING (-8.5760579 40.9797649, -8.5759996 40.9797356, -8.5759217 40.979729, -8.5758261 40.9797519)",,roundabout,
119695042,,Rua da Ribeirinha,tertiary,True,False,524.138,"LINESTRING (-8.5760579 40.9797649, -8.5760084 40.9796686, -8.5759832 40.9795843, -8.5759597 40.9795056, -8.5759121 40.9792975, -8.5758645 40.9791011, -8.5758066 40.9788396, -8.5757726 40.9786858, -8.5757239 40.9784634, -8.5755966 40.9778901, -8.5755346 40.9776168, -8.5755025 40.9774789, -8.5754615 40.9773744, -8.5753841 40.9772223, -8.5753132 40.9771095, -8.5751936 40.9769449, -8.5750686 40.9768128, -8.575034 40.9767833, -8.5749844 40.9767409, -8.5748383 40.9766273, -8.5746789 40.9765245, -8.5744863 40.97641, -8.5743113 40.9763347, -8.5741017 40.9762623, -8.5739449 40.9762169, -8.5737832 40.9761858, -8.5736458 40.9761647, -8.5735282 40.9761492, -8.5734092 40.9761223, -8.5733083 40.9760979, -8.5732093 40.9760405)",,,
119695002,,Avenida do Souto,residential,True,False,16.522,"LINESTRING (-8.5725002 40.9800195, -8.5723843 40.9800432, -8.5723494 40.9800948)",,,
119695048,,Rua Social,residential,True,False,7.968,"LINESTRING (-8.5725002 40.9800195, -8.5725211 40.9800375, -8.5725485 40.9800493, -8.5725796 40.9800538)",,roundabout,
