osmid,ref,highway,junction,oneway,reversed,length,lanes,name,maxspeed,geometry
177053400,EN 232,primary,roundabout,True,False,2.78,,,,"LINESTRING (-7.7617053 40.5997375, -7.7617259 40.599757)"
134868640,,residential,,False,True,6.6,2,Rua Leandro Cardoso,50,"LINESTRING (-7.7618514 40.6009572, -7.7619187 40.600927)"
177053400,EN 232,primary,roundabout,True,False,3.474,,,,"LINESTRING (-7.7617858 40.5996113, -7.7617658 40.5996149, -7.761747 40.5996213)"
177053400,EN 232,primary,roundabout,True,False,10.392,,,,"LINESTRING (-7.7618784 40.599756, -7.7618975 40.5997376, -7.7619092 40.599716, -7.7619127 40.5996928, -7.7619076 40.5996698)"
131675476,,tertiary,,True,False,13.879,2,Avenida da Liberdade,50,"LINESTRING (-7.7622541 40.6047862, -7.7622037 40.6048037, -7.7621625 40.6048139, -7.7620976 40.6048214)"
177058285,EN 16,primary,roundabout,True,False,13.526,2,Rotunda da Industria Mangualdense,50,"LINESTRING (-7.7622541 40.6047862, -7.7622373 40.6048247, -7.7622365 40.6048652, -7.7622517 40.6049041)"
177058282,EN 232,primary,,True,False,404.35099999999994,2,Avenida Conde Dom Henrique,50,"LINESTRING (-7.7625353 40.6047529, -7.7624822 40.6046803, -7.7624576 40.6046225, -7.7624209 40.6044919, -7.7620832 40.6031861, -7.761805 40.6020632, -7.7617881 40.6019919, -7.7617822 40.601943, -7.7617733 40.6018886, -7.7617724 40.6017739, -7.7617811 40.6013032, -7.7617818 40.6012557, -7.7617748 40.6012201, -7.7617585 40.6011816)"
177058285,EN 16,primary,roundabout,True,False,20.790000000000003,2,Rotunda da Industria Mangualdense,50,"LINESTRING (-7.7625353 40.6047529, -7.762496 40.6047303, -7.76245 40.6047169, -7.7624009 40.6047138, -7.7623526 40.604721, -7.7623089 40.6047382)"
177058285,EN 16,primary,roundabout,True,False,5.743,2,Rotunda da Industria Mangualdense,50,"LINESTRING (-7.762573 40.6047956, -7.7625569 40.6047729, -7.7625353 40.6047529)"
177058285,EN 16,primary,roundabout,True,False,19.692,2,Rotunda da Industria Mangualdense,50,"LINESTRING (-7.7622907 40.6049447, -7.7623287 40.6049652, -7.7623725 40.6049774, -7.762419 40.6049804, -7.7624649 40.6049741, -7.762507 40.6049588)"
748658518,EN 232,primary,,True,False,23.909999999999997,1,Rua dos Combatentes da Grande Guerra,50,"LINESTRING (-7.7622907 40.6049447, -7.7623406 40.6049998, -7.7623642 40.6050321, -7.7623948 40.605073, -7.7624337 40.60513)"
177058285,EN 16,primary,roundabout,True,False,5.6129999999999995,2,Rotunda da Industria Mangualdense,50,"LINESTRING (-7.7622517 40.6049041, -7.7622686 40.6049258, -7.7622907 40.6049447)"
131676493,,secondary,,True,False,29.969,1,Avenida da Liberdade,50,"LINESTRING (-7.7625438 40.6049343, -7.7625912 40.6049269, -7.7626316 40.6049238, -7.7626942 40.6049215, -7.7627537 40.6049254, -7.7628955 40.6049426)"
177058285,EN 16,primary,roundabout,True,False,16.392000000000003,2,Rotunda da Industria Mangualdense,50,"LINESTRING (-7.7625438 40.6049343, -7.7625702 40.6049033, -7.7625843 40.6048681, -7.7625853 40.6048313, -7.762573 40.6047956)"
177053400,EN 232,primary,roundabout,True,False,14.847,,,,"LINESTRING (-7.761747 40.5996213, -7.7617194 40.5996379, -7.7617001 40.5996601, -7.7616908 40.5996859, -7.7616926 40.5997126, -7.7617053 40.5997375)"
694359185,EN 232,primary,,False,False,27.878999999999998,2,Rua dos Combatentes da Grande Guerra,50,"LINESTRING (-7.7622883 40.6079979, -7.762353 40.6079039, -7.7624531 40.6077808)"
694359185,EN 232,primary,,False,True,109.58000000000001,2,Rua dos Combatentes da Grande Guerra,50,"LINESTRING (-7.7624337 40.60513, -7.7624844 40.6052171, -7.7626142 40.6054067, -7.7627102 40.6055616, -7.7627689 40.6056571, -7.7628154 40.6057772, -7.7629078 40.6060429)"
748658519,EN 232,primary,,True,False,20.561999999999998,1,Rua dos Combatentes da Grande Guerra,50,"LINESTRING (-7.7624337 40.60513, -7.7624368 40.6050713, -7.762451 40.6050307, -7.7624678 40.6049992, -7.762507 40.6049588)"
694359185,EN 232,primary,,False,False,23.629,2,Rua dos Combatentes da Grande Guerra,50,"LINESTRING (-7.7629722 40.6062497, -7.7629078 40.6060429)"
694359185,EN 232,primary,,False,True,44.541,2,Rua dos Combatentes da Grande Guerra,50,"LINESTRING (-7.7629722 40.6062497, -7.7630211 40.6064024, -7.76307 40.6065686, -7.7630902 40.6066401)"
131675480,,tertiary,roundabout,True,False,6.46,2,Largo Dr. Couto,50,"LINESTRING (-7.7615185 40.6049942, -7.7615465 40.6049715, -7.7615649 40.6049484)"
131675480,,tertiary,roundabout,True,False,17.604999999999997,2,Largo Dr. Couto,50,"LINESTRING (-7.7613244 40.6050445, -7.7613841 40.6050395, -7.7614317 40.6050308, -7.7614813 40.6050129, -7.7615185 40.6049942)"
748658517,,residential,,True,False,17.26,2,Rua 1º de Maio,50,"LINESTRING (-7.7613244 40.6050445, -7.7613845 40.6050614, -7.7614143 40.6050786, -7.7614468 40.6051074, -7.7614807 40.6051383)"
131675480,,tertiary,roundabout,True,False,41.196999999999996,2,Largo Dr. Couto,50,"LINESTRING (-7.7615508 40.6048403, -7.7615409 40.6048272, -7.761506 40.6048051, -7.7614649 40.6047896, -7.7613967 40.6047738, -7.7613254 40.6047651, -7.7612522 40.6047637, -7.7611928 40.6047668, -7.7611467 40.604776, -7.7611054 40.604788, -7.7610987 40.6047921)"
131675480,,tertiary,roundabout,True,False,4.401,2,Largo Dr. Couto,50,"LINESTRING (-7.761065 40.6049686, -7.7610993 40.6049984)"
131675479,,tertiary,,True,False,59.37799999999999,2,Largo Dr. Couto,50,"LINESTRING (-7.7615649 40.6049484, -7.7616241 40.6049278, -7.7616732 40.6049123, -7.7618664 40.6048933, -7.7620963 40.6048815, -7.7621575 40.6048844, -7.762209 40.6048903, -7.7622517 40.6049041)"
131675480,,tertiary,roundabout,True,False,12.41,2,Largo Dr. Couto,50,"LINESTRING (-7.7615649 40.6049484, -7.7615694 40.6049194, -7.7615734 40.6048951, -7.7615676 40.6048684, -7.7615508 40.6048403)"
131675480,,tertiary,roundabout,True,False,18.779,2,Largo Dr. Couto,50,"LINESTRING (-7.7610741 40.6048072, -7.7610543 40.6048351, -7.7610428 40.6048738, -7.7610417 40.6049112, -7.7610501 40.6049358, -7.761065 40.6049686)"
745102865,,residential,,True,False,109.90599999999999,1,Rua Nova,50,"LINESTRING (-7.7620976 40.6048214, -7.7620254 40.6047959, -7.7619831 40.6047755, -7.7619597 40.6047604, -7.7619343 40.6047395, -7.7619082 40.604719, -7.7616053 40.6042932, -7.7615727 40.6042333, -7.7615148 40.6041154, -7.7614471 40.6039905)"
747368215,,tertiary,,True,False,46.521,2,Largo Dr. Couto,50,"LINESTRING (-7.7620976 40.6048214, -7.7618576 40.6048426, -7.761751 40.6048519, -7.7616707 40.6048543, -7.7616191 40.6048523, -7.7615508 40.6048403)"
745375651,,secondary,,False,True,23.554,2,Largo Pedro Álvares Cabral,50,"LINESTRING (-7.7671759 40.604419, -7.7668976 40.6044341)"
"[745375651, 745375652]",,secondary,,False,False,126.77600000000001,2,"['Avenida dos Capitães', 'Largo Pedro Álvares Cabral']",50,"LINESTRING (-7.7671759 40.604419, -7.7672962 40.6044081, -7.7674558 40.6044002, -7.7686746 40.6043498)"
749378757,,residential,,True,False,65.721,1,Largo Pedro Álvares Cabral,50,"LINESTRING (-7.7671759 40.604419, -7.7671931 40.6045043, -7.7672074 40.6045766, -7.7672134 40.6046173, -7.7672117 40.6046483, -7.767205 40.6046727, -7.7671905 40.6047017, -7.7670682 40.6049067, -7.7670508 40.6049283, -7.7670283 40.6049499, -7.7670027 40.6049669)"
745375650,,secondary,,False,False,63.419,2,Largo Conde de Anadia,50,"LINESTRING (-7.7657278 40.6044374, -7.7657671 40.6044199, -7.7658256 40.6044047, -7.7659069 40.6043998, -7.7662056 40.6044091, -7.7664683 40.6044228)"
"[745375650, 131676494]",,secondary,,False,True,37.267,2,"['Avenida da Liberdade', 'Largo Conde de Anadia']",50,"LINESTRING (-7.7657278 40.6044374, -7.7656828 40.6044695, -7.7656519 40.604507, -7.7656237 40.6045672, -7.7655993 40.6046343, -7.765575 40.6046913, -7.7655469 40.6047372)"
749378767,,residential,,False,True,35.993,1,Rua Cabo da Vila,50,"LINESTRING (-7.7657278 40.6044374, -7.7657082 40.6044013, -7.7656939 40.6043515, -7.7656846 40.604305, -7.7656941 40.6041185)"
131676494,,secondary,,False,False,162.719,2,Avenida da Liberdade,50,"LINESTRING (-7.7628955 40.6049426, -7.7630818 40.604974, -7.7636639 40.605078, -7.7641045 40.6051566, -7.7642418 40.6051721, -7.7643224 40.6051769, -7.7644224 40.6051749, -7.7645221 40.6051704, -7.7646093 40.6051593, -7.7647158 40.6051362, -7.7647792 40.6051191)"
131676495,,secondary,,True,False,32.649,1,Avenida da Liberdade,50,"LINESTRING (-7.7628955 40.6049426, -7.7627484 40.604905, -7.7626892 40.6048843, -7.7626494 40.6048631, -7.7626159 40.6048398, -7.762573 40.6047956)"
745255960,,residential,,False,True,13.322,2,Rua Dr. Almeida,50,"LINESTRING (-7.7601633 40.6032859, -7.7600223 40.6032321)"
133125513,,residential,,True,False,26.243,1,Rua do Grémio,50,"LINESTRING (-7.7601633 40.6032859, -7.7602057 40.6033381, -7.7603113 40.6034933)"
133125513,,residential,,True,False,18.64,1,Rua do Grémio,50,"LINESTRING (-7.7607049 40.6040919, -7.7608016 40.6042426)"
582957644,,residential,,True,False,17.623,1,Rua do Forno,50,"LINESTRING (-7.7602151 40.6051918, -7.7602339 40.6052291, -7.7602667 40.6052699, -7.7603047 40.6053345)"
133721981,,secondary,,True,False,19.105,2,Avenida Nossa Senhora do Castelo,50,"LINESTRING (-7.7622203 40.6062741, -7.7620174 40.6063502)"
133721989,,residential,,False,True,8.501,2,Avenida Nossa Senhora do Castelo,50,"LINESTRING (-7.7622203 40.6062741, -7.7622605 40.6063442)"
582957649,,residential,,False,False,67.42,2,Rua 1º de Maio,50,"LINESTRING (-7.7622203 40.6062741, -7.7621778 40.6062046, -7.7618627 40.605732)"
582957649,,residential,,False,False,3.394,2,Rua 1º de Maio,50,"LINESTRING (-7.7614951 40.6051668, -7.7614807 40.6051383)"
582957649,,residential,,False,True,70.09800000000001,2,Rua 1º de Maio,50,"LINESTRING (-7.7614951 40.6051668, -7.7615294 40.6052253, -7.7618306 40.6056837, -7.7618627 40.605732)"
133125513,,residential,,True,False,59.868,1,Rua do Grémio,50,"LINESTRING (-7.7603909 40.6036092, -7.7604881 40.6037535, -7.7606269 40.6039745, -7.7607049 40.6040919)"
582957644,,residential,,True,False,24.108,1,Rua do Forno,50,"LINESTRING (-7.7602117 40.6049751, -7.7602135 40.6050658, -7.760212 40.6051598, -7.7602151 40.6051918)"
