osmid,oneway,name,highway,reversed,length,geometry,lanes,tunnel,junction,access
95277041,True,Rua Conselheiro Sebastião Teles,residential,False,112.379,"LINESTRING (-7.9389893 37.0198891, -7.9394796 37.0203802, -7.9397783 37.0206794)",,,,
30994456,True,Rua Francisco Barreto,tertiary,False,63.876,"LINESTRING (-7.9385675 37.0185572, -7.9379439 37.0188437)",,,,
462596713,True,Rua Miguel Bombarda,residential,False,81.62299999999999,"LINESTRING (-7.9385675 37.0185572, -7.9381929 37.0181424, -7.9379665 37.0180124)",,,,
182742921,True,Rua Infante Dom Henrique,tertiary,False,52.846,"LINESTRING (-7.9373643 37.0191099, -7.9377068 37.0194986)",,,,
38130158,True,Rua da Boavista,residential,False,141.978,"LINESTRING (-7.9365193 37.019815, -7.9353691 37.0207021)",,,,
38130160,True,Rua Serpa Pinto,residential,False,69.887,"LINESTRING (-7.9365193 37.019815, -7.9362096 37.0194299, -7.9360673 37.0193023)",,,,
93542679,True,Rua Brito Cabreira,residential,False,41.255,"LINESTRING (-7.9339368 37.0204624, -7.9343972 37.0205127)",,,,
93542679,True,Rua Brito Cabreira,residential,False,55.26,"LINESTRING (-7.9333225 37.0203823, -7.9339368 37.0204624)",,,,
182845650,True,Largo do Carmo,residential,False,59.827,"LINESTRING (-7.9343972 37.0205127, -7.9343714 37.020026, -7.9343571 37.0199764)",,,,
182993689,True,,residential,False,17.919,"LINESTRING (-7.9343972 37.0205127, -7.9344485 37.0205855, -7.9345269 37.0206314)",,,,
30994461,True,Largo do Carmo,residential,False,10.717,"LINESTRING (-7.9343571 37.0199764, -7.9343101 37.0199521, -7.934247 37.0199406)",,,,
182845650,True,Largo do Carmo,residential,False,27.283,"LINESTRING (-7.9343571 37.0199764, -7.9343239 37.0198611, -7.9343434 37.019735)",,,,
93542673,False,,residential,False,11.13,"LINESTRING (-7.9344569 37.0190413, -7.9343714 37.0189681)",,,,
182993293,True,Largo de São Pedro,residential,False,81.076,"LINESTRING (-7.9344569 37.0190413, -7.9348542 37.0187738, -7.9349397 37.0186003, -7.9349591 37.0184735)",,,,
122989840,True,Largo de São Pedro,residential,False,30.205,"LINESTRING (-7.9339354 37.0189509, -7.9335956 37.0189375)",,,,
182969942,True,Rua Lethes,tertiary,False,73.742,"LINESTRING (-7.9327629 37.0177008, -7.9321081 37.0181088)",,,,
182763164,False,Rua Primeiro de Maio,tertiary,True,26.649,"LINESTRING (-7.9345872 37.0168237, -7.9343454 37.0169657)",,,,
182763164,False,Rua Primeiro de Maio,tertiary,False,56.690000000000005,"LINESTRING (-7.9345872 37.0168237, -7.9346207 37.0168054, -7.9348323 37.0166899, -7.9348736 37.0166674, -7.9350852 37.0165521, -7.9351137 37.0165353)",,,,
182763174,False,Rua do Compromisso,residential,True,31.811999999999998,"LINESTRING (-7.9345872 37.0168237, -7.9347414 37.0170444, -7.9347578 37.0170751)",,,,
30994512,True,Rua Baptista Lopes,residential,False,56.913000000000004,"LINESTRING (-7.9337385 37.0180997, -7.9336539 37.018074, -7.9331395 37.0179174)",1,,,
1019783326,True,Rua Baptista Lopes,residential,False,76.336,"LINESTRING (-7.9337385 37.0180997, -7.9339859 37.0181891, -7.934495 37.0184244)",1,,,
30994465,True,Rua Cruz das Mestras,residential,False,24.879,"LINESTRING (-7.931132 37.0196209, -7.9313838 37.0195227)",,,,
93542679,True,Rua Brito Cabreira,residential,False,75.827,"LINESTRING (-7.931132 37.0196209, -7.9311983 37.0196828, -7.931877 37.0199415)",,,,
122980989,False,Rua Horta Machado,tertiary,True,56.312000000000005,"LINESTRING (-7.931132 37.0196209, -7.9308688 37.0198079, -7.9307556 37.0198884, -7.9306768 37.0199444, -7.9306582 37.0199576)",,,,
30994462,True,Rua do Alportel,residential,False,98.888,"LINESTRING (-7.9335956 37.0189375, -7.933554 37.0191505, -7.9334224 37.019816)",,,,
122989827,True,Rua do Alportel,residential,False,94.02199999999999,"LINESTRING (-7.9335956 37.0189375, -7.933685 37.018434, -7.9337385 37.0180997)",,,,
30994465,True,Rua Cruz das Mestras,residential,False,79.85499999999999,"LINESTRING (-7.9313838 37.0195227, -7.9315213 37.0194867, -7.9322445 37.0193143)",,,,
30994466,True,Rua João de Deus,residential,False,43.476,"LINESTRING (-7.9304806 37.0189274, -7.9307744 37.0192402)",,,,
90490637,True,Rua Doutor Justino Cumano,residential,False,49.404,"LINESTRING (-7.9304806 37.0189274, -7.9309076 37.0186425)",,,,
30994466,True,Rua João de Deus,residential,False,74.142,"LINESTRING (-7.9299729 37.018398, -7.9304806 37.0189274)",,,,
30980369,True,Rua de Portugal,tertiary,False,60.217,"LINESTRING (-7.9317454 37.0177189, -7.9316865 37.0171794)",,,,
30994470,True,Rua Mouzinho de Albuquerque,residential,False,79.102,"LINESTRING (-7.9317454 37.0177189, -7.9310798 37.0177707, -7.9308656 37.0178179)",,,,
30994474,True,Rua de Bartolomeu Dias,residential,False,72.494,"LINESTRING (-7.9308656 37.0178179, -7.9313896 37.0183179)",,,,
30994470,True,Rua Mouzinho de Albuquerque,residential,False,54.855,"LINESTRING (-7.9308656 37.0178179, -7.9306867 37.0179311, -7.9306089 37.0179782, -7.9303805 37.0181234)",,,,
90490637,True,Rua Doutor Justino Cumano,residential,False,41.397999999999996,"LINESTRING (-7.9313896 37.0183179, -7.9316458 37.0181644, -7.9317163 37.0181384, -7.9317783 37.0181155)",,,,
90490637,True,Rua Doutor Justino Cumano,residential,False,55.982,"LINESTRING (-7.9309076 37.0186425, -7.9313896 37.0183179)",,,,
30994475,True,Rua Almeida Garrett,residential,False,74.312,"LINESTRING (-7.9309076 37.0186425, -7.9304384 37.0181833, -7.9303805 37.0181234)",,,,
30994470,True,Rua Mouzinho de Albuquerque,residential,False,47.349,"LINESTRING (-7.9303805 37.0181234, -7.9300433 37.0183505, -7.9299729 37.018398)",,,,
30994475,True,Rua Almeida Garrett,residential,False,95.865,"LINESTRING (-7.9303805 37.0181234, -7.9301644 37.0178538, -7.9300293 37.0175666, -7.9299683 37.017358, -7.9299601 37.017338)",,,,
1104684610,True,Arco da Vila,residential,False,8.832,"LINESTRING (-7.9348995 37.0147908, -7.9348761 37.0147136)",,,,
182973396,True,Rua da Misericórdia,residential,False,73.138,"LINESTRING (-7.9348995 37.0147908, -7.9348126 37.014807, -7.9346074 37.0148342, -7.9341997 37.0148492, -7.9341514 37.014847, -7.9340934 37.0148157)",,,,
85730059,True,Rua do Rasquinho,residential,False,120.22500000000001,"LINESTRING (-7.933367 37.0133931, -7.9334319 37.0134752, -7.9334561 37.0135438, -7.9334916 37.013819, -7.9335801 37.0139753, -7.9336472 37.0140524, -7.9339556 37.0142238, -7.9340429 37.0142358)",,,,
"[1192520768, 1192520769, 1192520770, 1192520771, 449512858]",True,Rua do Repouso,residential,False,42.215,"LINESTRING (-7.933367 37.0133931, -7.9331711 37.01341, -7.9331678 37.0134113, -7.9331432 37.0134213, -7.9330499 37.0134558, -7.9330136 37.0134695, -7.9329566 37.013491, -7.9329194 37.013505)",,building_passage,,
31371944,True,Rua da Moagem,residential,False,178.822,"LINESTRING (-7.940742 37.0201707, -7.9399784 37.0193232, -7.9395658 37.0188652)",,,,
31371945,True,Rua Gomes Freire,residential,False,49.404,"LINESTRING (-7.9402843 37.0204234, -7.940742 37.0201707)",,,,
449105247,True,Rua Miguel Bombarda,tertiary,False,117.722,"LINESTRING (-7.9402843 37.0204234, -7.9394972 37.0195714)",,,,
79368889,True,Largo de São Francisco,residential,False,25.823999999999998,"LINESTRING (-7.9329194 37.013505, -7.9328573 37.0134637, -7.9328352 37.0134075, -7.932815 37.0132999)",,,,
895045963,False,Rua de Dona Teresa Ramalho Ortigão,residential,False,31.762,"LINESTRING (-7.9329194 37.013505, -7.9327107 37.0135638, -7.9325851 37.0136063)",,,,
"[90458105, 1205561141, 1205561142]",True,Rua do Albergue,residential,False,83.155,"LINESTRING (-7.9330788 37.0142344, -7.9330185 37.0141326, -7.9329891 37.0138836, -7.9329517 37.0135675, -7.9329194 37.013505)",,,,
"[495852506, 79960862]",True,"['Praça Dom Marcelino Franco', 'Rua Veríssimo de Almeida']","['living_street', 'residential']",False,137.711,"LINESTRING (-7.9330788 37.0142344, -7.9329953 37.0142431, -7.9329447 37.0142735, -7.9329286 37.0143356, -7.9329107 37.0144775, -7.9329061 37.0145144, -7.9328634 37.0145607, -7.9328257 37.0145702, -7.9327879 37.0145759, -7.9325677 37.0145526, -7.9322515 37.014594, -7.9320407 37.0146437, -7.9318688 37.0147018)",,,,
"[204817858, 78007334]",False,Rua do Arco,residential,False,64.831,"LINESTRING (-7.9353119 37.0128527, -7.9350789 37.0126, -7.9348968 37.0123734)",,,,
