osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,access,geometry,junction
182398954,False,,,Rua Cabine,residential,,False,369.686,,"LINESTRING (-8.5781417 40.483738, -8.5778544 40.4838413, -8.5776023 40.4839922, -8.5772804 40.4841187, -8.5770669 40.4841622, -8.5767504 40.4842642, -8.5764918 40.4843758, -8.5762612 40.4845186, -8.5760627 40.4846083, -8.5758492 40.4846314, -8.5756442 40.4846246, -8.5754189 40.4845961, -8.5751454 40.484539, -8.5746894 40.4844329, -8.5744452 40.4843804, -8.5742388 40.4843431, -8.5741381 40.4843638)",
244264175,False,2,EN 335,Rua Manoel da Silva Cravo,primary,,True,330.368,,"LINESTRING (-8.5781417 40.483738, -8.5781045 40.4845642, -8.5781253 40.4850117, -8.5779913 40.485391, -8.5779172 40.4854978, -8.5775141 40.4860786, -8.5774721 40.4862738, -8.5774436 40.4864062, -8.5774507 40.4866005)",
244266266,False,2,EN 335,Rua Professor Jaime Oliveira,primary,,False,26.564999999999998,,"LINESTRING (-8.5781417 40.483738, -8.5781412 40.4836372, -8.5781406 40.4834991)",
182398958,False,,,Rua Baixo,tertiary,,True,74.16799999999999,,"LINESTRING (-8.5723022 40.4815278, -8.5724095 40.4815156, -8.572726 40.4815196, -8.573006 40.481506, -8.5730902 40.4814964, -8.5731634 40.4814618)",
182596653,False,,,,residential,,True,208.532,,"LINESTRING (-8.5827894 40.4816299, -8.5827152 40.4816662, -8.5825969 40.4816932, -8.5821779 40.4818094, -8.581738 40.4819237, -8.581569 40.4819523, -8.5811377 40.4820196, -8.5807858 40.4820849, -8.5804313 40.4821583)",
244264748,False,,,Rua Júlio Dias Gapo,residential,,True,153.99,,"LINESTRING (-8.5827894 40.4816299, -8.5826607 40.4814953, -8.5823286 40.4811648, -8.5821516 40.4809975, -8.5821146 40.4809547, -8.5819043 40.4807119, -8.5817166 40.4805119)",
182596653,False,,,,residential,,False,36.988,,"LINESTRING (-8.5800093 40.4822456, -8.5804313 40.4821583)",
115917198,False,,,Rua São Romão,residential,,False,148.646,yes,"LINESTRING (-8.5800093 40.4822456, -8.5799897 40.4821809, -8.5799736 40.4820013, -8.5799489 40.4818435, -8.579937 40.4816961, -8.57992 40.4815648, -8.5798878 40.4814138, -8.5797789 40.4812059, -8.579684 40.481067, -8.5795614 40.4809938)",
115917198,False,,,Rua São Romão,residential,,True,202.137,yes,"LINESTRING (-8.5800093 40.4822456, -8.5800219 40.482287, -8.5800756 40.4824298, -8.5801078 40.4826338, -8.5801292 40.4828174, -8.5801507 40.4830296, -8.5800917 40.4831968, -8.5799736 40.48336, -8.5798074 40.4834784, -8.5795654 40.4836539, -8.5794064 40.4837645, -8.5793337 40.4838128)",
182598918,True,,EM 333-1,,secondary,50,False,21.173,,"LINESTRING (-8.5732947 40.4812521, -8.5732532 40.4812494, -8.5732121 40.4812552, -8.5731746 40.481269, -8.5731431 40.4812899, -8.5731201 40.4813164, -8.573107 40.4813465)",roundabout
182398958,False,,,Rua Baixo,tertiary,,False,74.16799999999999,,"LINESTRING (-8.5731634 40.4814618, -8.5730902 40.4814964, -8.573006 40.481506, -8.572726 40.4815196, -8.5724095 40.4815156, -8.5723022 40.4815278)",
182598918,True,,EM 333-1,,secondary,50,False,17.437,,"LINESTRING (-8.5731634 40.4814618, -8.5731988 40.481478, -8.5732385 40.4814865, -8.5732797 40.4814869, -8.5733196 40.4814791, -8.5733555 40.4814637)",roundabout
182596653,False,,,,residential,,True,36.988,,"LINESTRING (-8.5804313 40.4821583, -8.5800093 40.4822456)",
182596653,False,,,,residential,,False,208.53199999999998,,"LINESTRING (-8.5804313 40.4821583, -8.5807858 40.4820849, -8.5811377 40.4820196, -8.581569 40.4819523, -8.581738 40.4819237, -8.5821779 40.4818094, -8.5825969 40.4816932, -8.5827152 40.4816662, -8.5827894 40.4816299)",
244264936,False,,,Rua Seixal,residential,,True,217.441,,"LINESTRING (-8.5804313 40.4821583, -8.5806169 40.4820216, -8.5807671 40.4819237, -8.5810406 40.4816789, -8.5812391 40.4814259, -8.5814913 40.4810587, -8.5817112 40.4806302, -8.5817166 40.4805119)",
122925258,False,,EM 333-1,Rua Banda Filarmónica de Mamarrosa,secondary,,True,160.215,yes,"LINESTRING (-8.5734177 40.481373, -8.573752 40.481408, -8.5742395 40.4814507, -8.5752991 40.4815403)",
182598918,True,,EM 333-1,,secondary,50,False,18.359,,"LINESTRING (-8.5734177 40.481373, -8.5734103 40.4813321, -8.573385 40.4812956, -8.5733449 40.4812678, -8.5732947 40.4812521)",roundabout
244264748,False,,,Rua Júlio Dias Gapo,residential,,True,25.567,,"LINESTRING (-8.5817166 40.4805119, -8.581581 40.4803064)",
244264748,False,,,Rua Júlio Dias Gapo,residential,,False,153.99,,"LINESTRING (-8.5817166 40.4805119, -8.5819043 40.4807119, -8.5821146 40.4809547, -8.5821516 40.4809975, -8.5823286 40.4811648, -8.5826607 40.4814953, -8.5827894 40.4816299)",
244264936,False,,,Rua Seixal,residential,,False,217.441,,"LINESTRING (-8.5817166 40.4805119, -8.5817112 40.4806302, -8.5814913 40.4810587, -8.5812391 40.4814259, -8.5810406 40.4816789, -8.5807671 40.4819237, -8.5806169 40.4820216, -8.5804313 40.4821583)",
182598918,True,,EM 333-1,,secondary,50,False,14.333,,"LINESTRING (-8.573107 40.4813465, -8.5731048 40.4813787, -8.5731141 40.4814101, -8.5731341 40.4814386, -8.5731634 40.4814618)",roundabout
182397097,False,,,Rua Covalinhos,residential,,False,331.65299999999996,,"LINESTRING (-8.5733555 40.4814637, -8.5733966 40.4815033, -8.573536 40.4816665, -8.5736068 40.481861, -8.5737624 40.4825383, -8.5738579 40.4829885, -8.5740403 40.4837719, -8.5741381 40.4843638)",
182598918,True,,EM 333-1,,secondary,50,False,11.711,,"LINESTRING (-8.5733555 40.4814637, -8.5733878 40.4814386, -8.5734092 40.4814075, -8.5734177 40.481373)",roundabout
244264748,False,,,Rua Júlio Dias Gapo,residential,,False,25.567,,"LINESTRING (-8.581581 40.4803064, -8.5817166 40.4805119)",
337377505,False,,,Rua Doutor Manuel Augusto dos Santos Pato,residential,50,True,139.06799999999998,,"LINESTRING (-8.581581 40.4803064, -8.5813394 40.4804002, -8.5808284 40.4805297, -8.5800345 40.480725)",
244266268,True,,EM 333-1,,secondary_link,,False,26.514,,"LINESTRING (-8.5781947 40.4821508, -8.5778818 40.4821655)",
244264440,False,2,EN 335,Rua Manuel Nunes Ferreira Neves,primary,50,False,173.06599999999997,,"LINESTRING (-8.5781947 40.4821508, -8.5782982 40.4820694, -8.5785914 40.4818446, -8.5788923 40.4815858, -8.5794492 40.4811069, -8.5795614 40.4809938)",
244264440,False,2,EN 335,Rua Manuel Nunes Ferreira Neves,primary,50,True,15.41,,"LINESTRING (-8.5781947 40.4821508, -8.5781377 40.482225, -8.5781073 40.4822723)",
244268283,False,,,Rua São Simão,residential,,True,136.872,yes,"LINESTRING (-8.5818216 40.4790214, -8.580219 40.4791922)",
326072574,False,,,,residential,,False,18.466,,"LINESTRING (-8.5818216 40.4790214, -8.5817778 40.4789554, -8.5817123 40.4788779)",
326072574,False,,,,residential,,True,18.466,,"LINESTRING (-8.5817123 40.4788779, -8.5817778 40.4789554, -8.5818216 40.4790214)",
68507154,False,,,Rua Doutor Manuel Augusto dos Santos Pato,residential,50,True,42.622,,"LINESTRING (-8.5800345 40.480725, -8.579532 40.480754)",
115801440,False,,,Travessa São Simão,residential,,False,174.27,,"LINESTRING (-8.5800345 40.480725, -8.5800648 40.4805855, -8.5800917 40.4804549, -8.5801453 40.4803325, -8.5802311 40.4801979, -8.5802794 40.4800673, -8.5803009 40.479949, -8.5802741 40.4798102, -8.5802472 40.4796307, -8.5802365 40.4794675, -8.580219 40.4791922)",
337377505,False,,,Rua Doutor Manuel Augusto dos Santos Pato,residential,50,False,139.068,,"LINESTRING (-8.5800345 40.480725, -8.5808284 40.4805297, -8.5813394 40.4804002, -8.581581 40.4803064)",
244264440,False,2,EN 335,Rua Manuel Nunes Ferreira Neves,primary,50,False,15.41,,"LINESTRING (-8.5781073 40.4822723, -8.5781377 40.482225, -8.5781947 40.4821508)",
244266266,False,2,EN 335,Rua Professor Jaime Oliveira,primary,,True,124.388,,"LINESTRING (-8.5781073 40.4822723, -8.5780832 40.4825813, -8.5780961 40.4827096, -8.5781223 40.4829693, -8.5781419 40.483389)",
68447640,False,,EM 333-1,Rua Adasma,secondary,,False,96.166,yes,"LINESTRING (-8.5782945 40.4834618, -8.5793337 40.4838128)",
385795587,True,,EM 333-1,Rua Adasma,secondary_link,,False,15.233999999999998,yes,"LINESTRING (-8.5782945 40.4834618, -8.5781809 40.4834076, -8.5781419 40.483389)",
244266266,False,2,EN 335,Rua Professor Jaime Oliveira,primary,,False,12.243,,"LINESTRING (-8.5781406 40.4834991, -8.5781419 40.483389)",
385795586,True,,EM 333-1,Rua Adasma,secondary_link,,False,13.661,yes,"LINESTRING (-8.5781406 40.4834991, -8.5782945 40.4834618)",
244266266,False,2,EN 335,Rua Professor Jaime Oliveira,primary,,True,26.564999999999998,,"LINESTRING (-8.5781406 40.4834991, -8.5781412 40.4836372, -8.5781417 40.483738)",
