osmid,ref,highway,junction,oneway,reversed,length,geometry,name,maxspeed,tunnel,lanes
"[1193113238, 1193113239]",EN 306,primary,roundabout,True,False,19.367,"LINESTRING (-8.612048 41.5384367, -8.6119902 41.5384317, -8.611933 41.5384393, -8.6118811 41.5384591, -8.6118392 41.5384893)",,,,
185199522,,tertiary,,True,False,17.563,"LINESTRING (-8.6157952 41.5431035, -8.6156479 41.5429904)",Avenida Nossa Senhora de Fátima,,,
185199524,,tertiary,,False,False,51.911,"LINESTRING (-8.6157952 41.5431035, -8.6163838 41.543258)",Avenida Nossa Senhora de Fátima,,,
41382322,,tertiary,,True,False,20.631,"LINESTRING (-8.6128012 41.5422525, -8.6126396 41.5421118)",,,,
117229229,,tertiary,,False,False,43.161,"LINESTRING (-8.6128012 41.5422525, -8.6132789 41.5424036)",Avenida Nossa Senhora de Fátima,,,
110432658,,tertiary,,True,False,14.445,"LINESTRING (-8.6126396 41.5421118, -8.612541 41.54209, -8.6124774 41.5421132)",,,,
306335702,,tertiary,,True,False,23.555,"LINESTRING (-8.6126396 41.5421118, -8.6125716 41.542024, -8.612517 41.5419215)",,,,
1193113230,EN 306,primary,,False,False,21.572,"LINESTRING (-8.6126068 41.5415616, -8.6125592 41.5417523)",Rua das Calçadas,,,
177238786,EN 306,primary,,True,False,45.206,"LINESTRING (-8.6126068 41.5415616, -8.6126212 41.5412943, -8.6126578 41.541158)",Rua das Calçadas,50,,
185199738,,residential,,True,False,79.78099999999999,"LINESTRING (-8.6126068 41.5415616, -8.612721 41.5413647, -8.6129176 41.5409702, -8.6129496 41.540892)",,,,
42022456,EN 306,primary,roundabout,True,False,19.405,"LINESTRING (-8.6121534 41.5386707, -8.6121818 41.5386326, -8.6121942 41.53859, -8.6121895 41.5385465, -8.6121681 41.5385059)",,,,
177238783,,tertiary,,True,False,71.268,"LINESTRING (-8.6121534 41.5386707, -8.6128082 41.5384965, -8.6129689 41.5384857)",,,,
42022980,,residential,,False,False,14.911,"LINESTRING (-8.6131002 41.5386226, -8.6131573 41.5387497)",Rua das Calçadas,,,
177238752,,residential,,True,False,14.492,"LINESTRING (-8.6131002 41.5386226, -8.6131241 41.5384935)",Rua das Calçadas,,,
177238722,,residential,,True,False,20.174,"LINESTRING (-8.6130908 41.5383018, -8.6129051 41.5381852)",,,,
1193156372,,tertiary,roundabout,True,False,13.649,"LINESTRING (-8.6130908 41.5383018, -8.6130501 41.5382982, -8.6130097 41.5383037, -8.6129732 41.5383176, -8.6129437 41.5383389)",,,,
177238805,,tertiary,,True,False,66.037,"LINESTRING (-8.6129195 41.5383753, -8.6127796 41.5384404, -8.6124561 41.5385165, -8.6123174 41.5385214, -8.6121681 41.5385059)",,,,
1193156372,,tertiary,roundabout,True,False,13.677,"LINESTRING (-8.6129195 41.5383753, -8.6129146 41.5384058, -8.6129218 41.5384361, -8.6129405 41.5384635, -8.6129689 41.5384857)",,,,
177238762,,residential,,True,False,17.39,"LINESTRING (-8.6129051 41.5381852, -8.6129437 41.5383389)",,,,
886364405,EN 306,primary,,False,False,7.361,"LINESTRING (-8.612517 41.5419215, -8.6125017 41.5419867)",Rua das Calçadas,,,
1193113230,EN 306,primary,,False,True,19.139,"LINESTRING (-8.612517 41.5419215, -8.6125592 41.5417523)",Rua das Calçadas,,,
77740835,EN 306,primary,roundabout,True,False,12.931999999999999,"LINESTRING (-8.6126578 41.541158, -8.6126892 41.5411272, -8.612709 41.5410913, -8.6127156 41.5410529)",,50,,
77740890,EN 306,primary,,True,False,43.891999999999996,"LINESTRING (-8.6124418 41.5411905, -8.6125271 41.5413031, -8.6126068 41.5415616)",Rua das Calçadas,50,,
1193113234,EN 306,primary,roundabout,True,False,19.372,"LINESTRING (-8.6124418 41.5411905, -8.6124983 41.541201, -8.6125564 41.5411988, -8.6126111 41.541184, -8.6126578 41.541158)",,50,,
1193113233,EN 306,primary,roundabout,True,False,15.969000000000001,"LINESTRING (-8.6123768 41.5409483, -8.6123395 41.5409872, -8.6123207 41.541033, -8.6123223 41.5410808)",,50,,
"[27563897, 177238637, 177238638]",,primary,,True,False,515.63,"LINESTRING (-8.6098162 41.5395398, -8.6119991 41.5394606, -8.6121007 41.5394569, -8.6123988 41.5394461, -8.6160045 41.5393199)",Circular de Barcelos,,yes,
77740905,,primary_link,,True,False,196.187,"LINESTRING (-8.6098162 41.5395398, -8.610682 41.5395671, -8.6120409 41.5395173, -8.6121678 41.5395387)",,,,
42022455,EN 306,primary,,True,False,153.665,"LINESTRING (-8.6125928 41.5409159, -8.6125137 41.5407929, -8.6122594 41.5395621)",Rua de Olivença,,,
1193113235,EN 306,primary,roundabout,True,False,19.368,"LINESTRING (-8.6125928 41.5409159, -8.6125363 41.5409054, -8.6124782 41.5409076, -8.6124235 41.5409223, -8.6123768 41.5409483)",,50,,
108118173,,residential,,False,False,6.137,"LINESTRING (-8.6128965 41.5409303, -8.6129496 41.540892)",Rua Doutor Aires Duarte,,,
177238670,,residential,,True,False,20.005,"LINESTRING (-8.6128965 41.5409303, -8.6126573 41.540948)",Rua Doutor Aires Duarte,,,
95842778,EN 306,primary,,True,False,81.314,"LINESTRING (-8.6121678 41.5395387, -8.6123126 41.5402619)",Rua de Olivença,,,
886364403,EN 306,primary,,False,False,49.883,"LINESTRING (-8.6116277 41.5454886, -8.6116147 41.5459371)",Rua João Paulo II,,,
886364403,EN 306,primary,,False,True,69.838,"LINESTRING (-8.6116277 41.5454886, -8.6116642 41.5452729, -8.6117647 41.5448692)",Rua João Paulo II,,,
886364403,EN 306,primary,,False,True,49.883,"LINESTRING (-8.6116147 41.5459371, -8.6116277 41.5454886)",Rua João Paulo II,,,
78411260,,residential,,True,False,76.473,"LINESTRING (-8.6116147 41.5459371, -8.6116997 41.5459389, -8.611749 41.5459381, -8.6117843 41.5459316, -8.6118036 41.5459172, -8.6118127 41.5458965, -8.6118004 41.5455293, -8.611795 41.5455128, -8.6117794 41.5454997, -8.6117531 41.5454897, -8.6116277 41.5454886)",Rua João Paulo II,,,
886364403,EN 306,primary,,False,False,71.16,"LINESTRING (-8.6116147 41.5459371, -8.6116073 41.5464194, -8.6116037 41.546577)",Rua João Paulo II,,,
95842778,EN 306,primary,,True,False,31.612,"LINESTRING (-8.6121093 41.5392578, -8.6121678 41.5395387)",Rua de Olivença,,,
108210298,,primary_link,,True,False,195.723,"LINESTRING (-8.6121093 41.5392578, -8.6119866 41.5393175, -8.6107713 41.5393604, -8.609791 41.5394562)",,,,
42022455,EN 306,primary,,True,False,30.549,"LINESTRING (-8.6122594 41.5395621, -8.6122068 41.5392902)",Rua de Olivença,,,
95842761,,primary_link,,True,False,314.104,"LINESTRING (-8.6122594 41.5395621, -8.6124155 41.5395066, -8.6150839 41.5394069, -8.6155587 41.539382, -8.6160045 41.5393199)",,,,
42022981,,tertiary,roundabout,True,False,9.116,"LINESTRING (-8.6131241 41.5384935, -8.6131531 41.5384769, -8.6131753 41.5384552, -8.6131894 41.53843)",,,,
1193156371,EN 306,primary,roundabout,True,False,6.46,"LINESTRING (-8.6120953 41.5387088, -8.6121268 41.5386919, -8.6121534 41.5386707)",,,,
1193156372,,tertiary,roundabout,True,False,4.542999999999999,"LINESTRING (-8.6129437 41.5383389, -8.6129292 41.5383562, -8.6129195 41.5383753)",,,,
42022981,,tertiary,roundabout,True,False,4.582,"LINESTRING (-8.6129689 41.5384857, -8.6129923 41.5384966, -8.613018 41.5385039)",,,,
177238773,,residential,,True,False,14.867,"LINESTRING (-8.613018 41.5385039, -8.6131002 41.5386226)",Rua das Calçadas,,,
42022981,,tertiary,roundabout,True,False,9.112,"LINESTRING (-8.613018 41.5385039, -8.6130542 41.5385075, -8.6130904 41.5385039, -8.6131241 41.5384935)",,,,
1193113237,EN 306,primary,roundabout,True,False,12.934000000000001,"LINESTRING (-8.6119447 41.5387235, -8.611996 41.5387286, -8.6120474 41.5387236, -8.6120953 41.5387088)",,,,
1193144976,EN 306,primary,,True,False,61.663,"LINESTRING (-8.6119447 41.5387235, -8.6120198 41.5388202, -8.6121093 41.5392578)",Rua de Olivença,,,
1193156372,,tertiary,roundabout,True,False,4.561,"LINESTRING (-8.6131397 41.5383199, -8.6131164 41.5383091, -8.6130908 41.5383018)",,,,
177238782,,tertiary,,True,False,131.923,"LINESTRING (-8.6131894 41.53843, -8.6133304 41.538356, -8.614582 41.538034, -8.6146681 41.5380519)",,,,
1193156373,,tertiary,roundabout,True,False,13.648,"LINESTRING (-8.6131894 41.53843, -8.6131941 41.5383995, -8.6131868 41.5383693, -8.6131681 41.538342, -8.6131397 41.5383199)",,,,
42022456,EN 306,primary,roundabout,True,False,12.905999999999999,"LINESTRING (-8.6121681 41.5385059, -8.6121367 41.5384752, -8.6120957 41.5384516, -8.612048 41.5384367)",,,,
1193113236,EN 306,primary,roundabout,True,False,16.922,"LINESTRING (-8.6118392 41.5384893, -8.6118076 41.5385342, -8.6117979 41.5385844, -8.6118114 41.5386341)",,,,
110601650,,residential,,False,True,95.402,"LINESTRING (-8.6136627 41.5411931, -8.6146412 41.54164)",Rua de Santa Clara,,,
887350641,,residential,,False,False,79.597,"LINESTRING (-8.6136627 41.5411931, -8.6133339 41.5418653)",Rua Dr. Aníbal Araújo,,,
887350641,,residential,,False,True,37.738,"LINESTRING (-8.6136627 41.5411931, -8.6137597 41.5410193, -8.613838 41.5408801)",Rua Dr. Aníbal Araújo,,,
110601645,,residential,,False,True,55.155,"LINESTRING (-8.6154409 41.5423599, -8.6155646 41.5428472)",Rua Irmãos São João de Deus,,,
108118178,,residential,,True,False,185.07100000000003,"LINESTRING (-8.6154409 41.5423599, -8.6151581 41.5423227, -8.6149913 41.5422567, -8.6137344 41.5419631, -8.6136683 41.541964, -8.6134425 41.5419155, -8.6134072 41.541906, -8.6133669 41.5418911, -8.6133339 41.5418653)",Rua Dr. Aníbal Araújo,,,
110601645,,residential,,False,False,36.465999999999994,"LINESTRING (-8.6154409 41.5423599, -8.6154156 41.5421811, -8.6154459 41.5420347)",Rua Irmãos São João de Deus,,,
887350641,,residential,,False,True,79.597,"LINESTRING (-8.6133339 41.5418653, -8.6136627 41.5411931)",Rua Dr. Aníbal Araújo,,,
