osmid,oneway,name,highway,reversed,length,geometry,ref,lanes,maxspeed,width
118266812,True,Rua do Barranco,tertiary,False,117.828,"LINESTRING (-8.4672082 37.1008332, -8.4671312 37.1008785, -8.4666081 37.1011866, -8.4662054 37.1014263, -8.4661672 37.1014825)",,,,
482429653,True,Estrada do Algar Seco,residential,False,32.848,"LINESTRING (-8.4666846 37.0940769, -8.4664101 37.0938786)",,,,
33291157,False,,residential,False,47.004,"LINESTRING (-8.4666846 37.0940769, -8.4664074 37.0943149, -8.4663677 37.0943377, -8.4662996 37.0943603)",,,,
"[295995519, 482429655]",True,Estrada do Algar Seco,residential,False,225.7,"LINESTRING (-8.4666846 37.0940769, -8.4668302 37.0941473, -8.4679241 37.0944149, -8.4691084 37.0946806)",,,,
296099087,False,Estrada do Farol,tertiary,False,29.706,"LINESTRING (-8.4667553 37.0960048, -8.4670479 37.0961348)",EM 530,,,
296099087,False,Estrada do Farol,tertiary,True,45.884,"LINESTRING (-8.4667553 37.0960048, -8.4665649 37.0959304, -8.4663178 37.0958618, -8.4662756 37.0958528)",EM 530,,,
536054881,False,,residential,True,192.875,"LINESTRING (-8.4667553 37.0960048, -8.466727 37.0955986, -8.4665108 37.0951319, -8.4664019 37.0949069, -8.4664162 37.0947973, -8.466475 37.0946864, -8.4664393 37.0945862, -8.4663604 37.0944226, -8.4662996 37.0943603)",,,,
149908862,False,,residential,False,6.846,"LINESTRING (-8.46694 37.0975675, -8.4670169 37.0975728)",,,,
672347530,False,,residential,False,144.809,"LINESTRING (-8.46694 37.0975675, -8.4672123 37.0972984, -8.4676455 37.0968702, -8.4679431 37.0965405)",,,,
296099087,False,Estrada do Farol,tertiary,False,166.273,"LINESTRING (-8.4679431 37.0965405, -8.4697053 37.0970508)",EM 530,,,
149908857,False,Rua Amália Rodrigues,unclassified,False,109.451,"LINESTRING (-8.4679431 37.0965405, -8.4680772 37.0960934, -8.4681497 37.0959801, -8.4682486 37.095937, -8.4684313 37.0959351, -8.4686217 37.0959908)",,,,
296099087,False,Estrada do Farol,tertiary,True,91.31899999999999,"LINESTRING (-8.4679431 37.0965405, -8.4674573 37.096323, -8.4670479 37.0961348)",EM 530,,,
672347530,False,,residential,True,144.809,"LINESTRING (-8.4679431 37.0965405, -8.4676455 37.0968702, -8.4672123 37.0972984, -8.46694 37.0975675)",,,,
33291157,False,,residential,True,47.004,"LINESTRING (-8.4662996 37.0943603, -8.4663677 37.0943377, -8.4664074 37.0943149, -8.4666846 37.0940769)",,,,
536054881,False,,residential,False,192.875,"LINESTRING (-8.4662996 37.0943603, -8.4663604 37.0944226, -8.4664393 37.0945862, -8.466475 37.0946864, -8.4664162 37.0947973, -8.4664019 37.0949069, -8.4665108 37.0951319, -8.466727 37.0955986, -8.4667553 37.0960048)",,,,
"[79364426, 620920378]",True,Rampa da Nossa Senhora da Encarnação,residential,False,285.714,"LINESTRING (-8.4705586 37.0950353, -8.4706704 37.0950262, -8.4708284 37.0950098, -8.4709807 37.0950434, -8.4710302 37.0950734, -8.4710762 37.0950961, -8.4710952 37.0951241, -8.471115 37.0951973, -8.4713467 37.0956227, -8.4713646 37.0956864, -8.47136 37.0957369, -8.4713442 37.0957916, -8.471234 37.0960286, -8.4711158 37.0962829, -8.4710625 37.0964024, -8.4710407 37.0965191, -8.4709631 37.0971386)",,1,30,
482429657,True,,unclassified,False,56.559,"LINESTRING (-8.4705586 37.0950353, -8.4705482 37.0950938, -8.4703879 37.0955248)",,,,
426004061,True,,tertiary,False,57.31699999999999,"LINESTRING (-8.4698745 37.0999595, -8.4698575 37.0998116, -8.4698758 37.0996051, -8.4698758 37.0994907, -8.4698422 37.0994539)",,1,,
1088543846,False,,tertiary,True,133.17200000000003,"LINESTRING (-8.4698745 37.0999595, -8.4699255 37.1001196, -8.4700155 37.1003166, -8.4701337 37.1005389, -8.4701891 37.100933, -8.4701493 37.101115)",,1,,4
79364436,True,Rua dos Pescadores,tertiary,False,4.289,"LINESTRING (-8.4698422 37.0994539, -8.4698614 37.0994185)",,,,
"[39703784, 182174142]",True,Rua do Paraiso,unclassified,False,44.877,"LINESTRING (-8.4734388 37.0962026, -8.4735989 37.0960923, -8.4736502 37.0960678, -8.4737004 37.0960439, -8.4738651 37.0960938)",,,,
39703785,False,,residential,False,238.45000000000002,"LINESTRING (-8.4746339 37.0967369, -8.4747094 37.0970442, -8.4748146 37.0974546, -8.4749478 37.0980149, -8.4750141 37.0982935, -8.4750124 37.0984082, -8.4749574 37.0984673, -8.4748178 37.0985561, -8.4746483 37.0986605, -8.4746038 37.0987051)",,,,
734896925,False,,residential,True,19.938,"LINESTRING (-8.4750801 37.0995679, -8.4749072 37.0994533)",,,,
93117752,False,Rua de Vale Currais,residential,True,145.14,"LINESTRING (-8.4750801 37.0995679, -8.475119 37.0995666, -8.4760529 37.0995349, -8.4761759 37.0995307, -8.4766724 37.0996995)",,,,
734896925,False,,residential,False,114.516,"LINESTRING (-8.4750801 37.0995679, -8.4750828 37.0998886, -8.4751772 37.1001418, -8.4753672 37.1005602)",,,,
79364436,True,Rua dos Pescadores,tertiary,False,60.001000000000005,"LINESTRING (-8.4712171 37.0971478, -8.4712148 37.0969659, -8.4711694 37.0969255, -8.4711171 37.0969182, -8.4710634 37.0969465, -8.4710022 37.0970295, -8.4709631 37.0971386)",,,,
182174142,True,Rua do Paraiso,unclassified,False,232.16400000000002,"LINESTRING (-8.4712171 37.0971478, -8.4713675 37.0970156, -8.4714011 37.0969838, -8.4715515 37.0968543, -8.4717042 37.0967207, -8.4718097 37.0966473, -8.4719105 37.0965828, -8.4720085 37.0965403, -8.4722688 37.0965402, -8.4723799 37.0965294, -8.4725044 37.096511, -8.4727639 37.0964481, -8.4729598 37.0963864, -8.4733296 37.0962341, -8.4734388 37.0962026)",,,,
93117791,True,Rua Manuel Afonso Maia,residential,False,69.674,"LINESTRING (-8.4728593 37.0973035, -8.4725029 37.0967451)",,,,
360387605,False,Rua Manuel Afonso Maia,residential,False,87.057,"LINESTRING (-8.4728593 37.0973035, -8.4729179 37.097515, -8.4730175 37.0977925, -8.4730881 37.0980644)",,,,
734896925,False,,residential,False,19.938,"LINESTRING (-8.4749072 37.0994533, -8.4750801 37.0995679)",,,,
734896925,False,,residential,True,42.03,"LINESTRING (-8.4749072 37.0994533, -8.4747258 37.0991041)",,,,
93117714,False,,unclassified,False,76.33500000000001,"LINESTRING (-8.4749072 37.0994533, -8.4746672 37.0996123, -8.474155 37.0997693)",,,30,
93117714,False,,unclassified,True,155.272,"LINESTRING (-8.4724442 37.0998085, -8.4727958 37.0998141, -8.4734512 37.0998063, -8.4734982 37.0998057, -8.473743 37.0998791, -8.4739022 37.0998468, -8.474155 37.0997693)",,,30,
93119081,False,,residential,False,50.016,"LINESTRING (-8.4730881 37.0980644, -8.4725258 37.0980987)",,,,
360387605,False,Rua Manuel Afonso Maia,residential,False,205.11599999999999,"LINESTRING (-8.4730881 37.0980644, -8.4731311 37.0982429, -8.4731399 37.0983906, -8.4731172 37.098558, -8.4731406 37.0987261, -8.4732196 37.0988464, -8.4733248 37.0989179, -8.4735888 37.0989989, -8.4737581 37.0990205, -8.4739583 37.098978, -8.4741135 37.0988868, -8.4741859 37.098825, -8.4743538 37.0987277)",,,,
360387605,False,Rua Manuel Afonso Maia,residential,True,87.05699999999999,"LINESTRING (-8.4730881 37.0980644, -8.4730175 37.0977925, -8.4729179 37.097515, -8.4728593 37.0973035)",,,,
93117752,False,Rua de Vale Currais,residential,False,145.14000000000001,"LINESTRING (-8.4766724 37.0996995, -8.4761759 37.0995307, -8.4760529 37.0995349, -8.475119 37.0995666, -8.4750801 37.0995679)",,,,
734896926,False,Rua Manuel Afonso Maia,residential,True,205.391,"LINESTRING (-8.473859 37.0970075, -8.473974 37.0976643, -8.4742583 37.0977945, -8.4743673 37.0979036, -8.4744299 37.0980441, -8.4744693 37.0981993, -8.4744849 37.0984008, -8.4743815 37.0986617)",,,,
360387606,True,,unclassified,False,205.784,"LINESTRING (-8.4709566 37.0984246, -8.4717782 37.0989448, -8.4724442 37.0998085)",,,,
93117767,True,Rua do Casino,unclassified,False,103.907,"LINESTRING (-8.4725029 37.0967451, -8.4729325 37.0965808, -8.4731208 37.0964176, -8.4733437 37.0962731, -8.4734388 37.0962026)",,,,
118266811,True,Rua do Casino,unclassified,False,252.81500000000005,"LINESTRING (-8.4725029 37.0967451, -8.4721004 37.0969067, -8.4717975 37.0970334, -8.4716865 37.0971477, -8.4717273 37.0974523, -8.4717265 37.0975168, -8.471649 37.0975783, -8.4715441 37.0976369, -8.4714615 37.097683, -8.4713664 37.0979661, -8.4711273 37.0982397, -8.4709566 37.0984246)",,,,
93119081,False,,residential,True,50.016,"LINESTRING (-8.4725258 37.0980987, -8.4730881 37.0980644)",,,,
93119078,False,,residential,False,68.32,"LINESTRING (-8.4753672 37.1005602, -8.4761002 37.1003712)",,,,
734896925,False,,residential,True,114.516,"LINESTRING (-8.4753672 37.1005602, -8.4751772 37.1001418, -8.4750828 37.0998886, -8.4750801 37.0995679)",,,,
93119078,False,,residential,True,68.32,"LINESTRING (-8.4761002 37.1003712, -8.4753672 37.1005602)",,,,
93119519,False,,residential,False,25.798,"LINESTRING (-8.4700332 37.1011185, -8.4698877 37.1009176)",,,,
93119528,False,,residential,False,60.582,"LINESTRING (-8.4700332 37.1011185, -8.4693517 37.1011559)",,,,
93119528,False,,residential,True,10.304,"LINESTRING (-8.4700332 37.1011185, -8.4701493 37.101115)",,,,
93119525,False,,residential,True,64.27,"LINESTRING (-8.4691668 37.1009766, -8.4698877 37.1009176)",,,,
93119524,False,,residential,False,56.834,"LINESTRING (-8.4701054 37.1013159, -8.4694656 37.1013451)",,,,
1088543844,False,,tertiary,False,22.676,"LINESTRING (-8.4701054 37.1013159, -8.4701493 37.101115)",,2,,
1088543844,False,,tertiary,True,21.043,"LINESTRING (-8.4701054 37.1013159, -8.4700847 37.1014102, -8.4700769 37.1015035)",,2,,
93119528,False,,residential,True,60.582,"LINESTRING (-8.4693517 37.1011559, -8.4700332 37.1011185)",,,,
93119519,False,,residential,True,73.682,"LINESTRING (-8.4691822 37.1007628, -8.4697583 37.1007431, -8.4698877 37.1009176)",,,,
93119524,False,,residential,True,56.834,"LINESTRING (-8.4694656 37.1013451, -8.4701054 37.1013159)",,,,
93119519,False,,residential,True,25.798,"LINESTRING (-8.4698877 37.1009176, -8.4700332 37.1011185)",,,,
93119525,False,,residential,False,64.27,"LINESTRING (-8.4698877 37.1009176, -8.4691668 37.1009766)",,,,
93119519,False,,residential,False,73.682,"LINESTRING (-8.4698877 37.1009176, -8.4697583 37.1007431, -8.4691822 37.1007628)",,,,
93119528,False,,residential,False,10.304,"LINESTRING (-8.4701493 37.101115, -8.4700332 37.1011185)",,,,
1088543844,False,,tertiary,True,22.676,"LINESTRING (-8.4701493 37.101115, -8.4701054 37.1013159)",,2,,
1088543846,False,,tertiary,False,133.172,"LINESTRING (-8.4701493 37.101115, -8.4701891 37.100933, -8.4701337 37.1005389, -8.4700155 37.1003166, -8.4699255 37.1001196, -8.4698745 37.0999595)",,1,,4
296099087,False,Estrada do Farol,tertiary,False,55.243,"LINESTRING (-8.4656739 37.0957244, -8.4662756 37.0958528)",EM 530,,,
101289977,False,,residential,False,62.92699999999999,"LINESTRING (-8.4656739 37.0957244, -8.4657331 37.0954885, -8.4657786 37.095312, -8.4659406 37.0952459)",,,,
110469286,True,Rua dos Pescadores,tertiary,False,10.268,"LINESTRING (-8.4661672 37.1014825, -8.466258 37.1015398)",,,,
101289977,False,,residential,True,62.92700000000001,"LINESTRING (-8.4659406 37.0952459, -8.4657786 37.095312, -8.4657331 37.0954885, -8.4656739 37.0957244)",,,,
296099087,False,Estrada do Farol,tertiary,True,166.273,"LINESTRING (-8.4697053 37.0970508, -8.4679431 37.0965405)",EM 530,,,
296099087,False,Estrada do Farol,tertiary,False,53.792,"LINESTRING (-8.4697053 37.0970508, -8.4698869 37.0970768, -8.4699998 37.0970835, -8.4703066 37.0971114)",EM 530,,,
79364436,True,Rua dos Pescadores,tertiary,False,126.64600000000002,"LINESTRING (-8.466258 37.1015398, -8.4666377 37.1013335, -8.4673641 37.1010916, -8.4675315 37.1010358)",,,,
1088543844,False,,tertiary,False,21.043,"LINESTRING (-8.4700769 37.1015035, -8.4700847 37.1014102, -8.4701054 37.1013159)",,2,,
