osmid,oneway,name,highway,width,reversed,length,geometry,maxspeed,access,lanes,bridge,tunnel
8366893,True,Rua da Conceição,residential,4,False,63.916,"LINESTRING (-8.6140445 41.1499575, -8.6142998 41.1499465, -8.6147181 41.1499286, -8.6148066 41.1499243)",,,,,
8366896,True,Rua de José Falcão,residential,4,False,191.07600000000002,"LINESTRING (-8.6140445 41.1499575, -8.6140568 41.1498992, -8.6143119 41.1486948, -8.6143324 41.148557, -8.6143601 41.1484222, -8.61437 41.1483742, -8.6143805 41.1483296, -8.614397 41.1482599)",,,,,
31060211,True,Rua do General Silveira,residential,,False,111.654,"LINESTRING (-8.6148066 41.1499243, -8.6147925 41.1501202, -8.6147189 41.1508604, -8.6147127 41.1509259)",,,,,
34607518,True,Rua do Almada,residential,,False,303.116,"LINESTRING (-8.6120177 41.152994, -8.6120989 41.1502687)",50,yes,,,
8367098,True,Rua do Alferes Malheiro,residential,,False,202.158,"LINESTRING (-8.6120177 41.152994, -8.6108785 41.1522982, -8.6102726 41.1519282, -8.6101425 41.1518487)",,,2,,
34607518,True,Rua do Almada,residential,,False,67.076,"LINESTRING (-8.6119957 41.153597, -8.6120177 41.152994)",50,yes,,,
34607492,True,Rua de Gonçalo Cristóvão,secondary,,False,45.67,"LINESTRING (-8.6119957 41.153597, -8.6115322 41.1535869, -8.611451 41.1535795)",,,2,,
1001166329,True,Rua Elísio de Melo,secondary,,False,13.609,"LINESTRING (-8.6121592 41.1479515, -8.6122867 41.1480274)",,,2,,
1001166330,True,Rua do Almada,residential,,False,86.227,"LINESTRING (-8.6121592 41.1479515, -8.6121602 41.1479214, -8.6121614 41.1478888, -8.6121861 41.1471763)",50,yes,,,
1001166331,True,Rua do Almada,residential,,False,28.06,"LINESTRING (-8.6121592 41.1479515, -8.6121573 41.1479955, -8.6121527 41.1482038)",50,yes,,,
26119900,True,Rua Elísio de Melo,secondary,,False,73.488,"LINESTRING (-8.6112856 41.147888, -8.6113836 41.1478963, -8.6114807 41.1479032, -8.6120814 41.147946, -8.6121592 41.1479515)",,,2,,
"[741944101, 1062979390]",True,Avenida dos Aliados,"['secondary', 'secondary_link']",,False,48.344,"LINESTRING (-8.6112856 41.147888, -8.6113133 41.1477585, -8.6112892 41.1477179, -8.6112716 41.1477025, -8.6112526 41.1476857, -8.6112128 41.1476594, -8.6111771 41.1476496, -8.6111365 41.1476449, -8.6110318 41.1476321, -8.6109827 41.1476261)",50,,"['2', '3']",,
215162243,True,Rua Elísio de Melo,secondary,,False,29.195,"LINESTRING (-8.6109422 41.1478426, -8.611113 41.1478667, -8.6112856 41.147888)",,,2,,
"[856996058, 734630276, 734631501]",True,Avenida dos Aliados,secondary,,False,156.672,"LINESTRING (-8.6109422 41.1478426, -8.6109374 41.147861, -8.6108812 41.1480789, -8.6108186 41.1482966, -8.610699 41.1486454, -8.6106718 41.1487177, -8.6106307 41.148827, -8.6105476 41.1490134, -8.6104496 41.1491992)",50,,3,,
743684114,False,Avenida dos Aliados,secondary,,True,24.314,"LINESTRING (-8.6109422 41.1478426, -8.6109528 41.1477753, -8.6109827 41.1476261)",50,,3,,
8366889,True,Rua de Ramalho Ortigão,residential,4,False,102.71199999999999,"LINESTRING (-8.6121386 41.1488008, -8.6120186 41.1488771, -8.6113857 41.1493065, -8.6112234 41.1494158)",,,2,,
174689857,True,Rua da Fábrica,residential,,False,107.291,"LINESTRING (-8.6121861 41.1471763, -8.6122153 41.1471899, -8.6133682 41.1475478)",,,,,
"[1001166328, 1085592950]",False,Rua do Almada,residential,,False,132.14000000000001,"LINESTRING (-8.6121861 41.1471763, -8.6122068 41.1460915, -8.6122134 41.1460653, -8.6122224 41.1460292, -8.6122361 41.1459905)",50,yes,,,
8366901,True,Rua de Avis,residential,4,False,84.355,"LINESTRING (-8.6133682 41.1475478, -8.6131662 41.1479536, -8.6131551 41.1480043, -8.6131406 41.1481507, -8.613128 41.1482774)",,,,,
"[643548702, 304682487]",True,Largo dos Lóios,residential,,False,74.584,"LINESTRING (-8.6122361 41.1459905, -8.6122441 41.1459632, -8.6122446 41.1459343, -8.6122305 41.1456598, -8.6122291 41.1456239, -8.6122223 41.1456144, -8.6121464 41.145509, -8.612061 41.145401, -8.6120331 41.1453591)",,,,,
"[1001166328, 1085592950]",False,Rua do Almada,residential,,True,132.14,"LINESTRING (-8.6122361 41.1459905, -8.6122224 41.1460292, -8.6122134 41.1460653, -8.6122068 41.1460915, -8.6121861 41.1471763)",50,yes,,,
"[128825641, 1165481149]",True,Rua dos Mártires da Liberdade,residential,4,False,105.217,"LINESTRING (-8.6135935 41.1528719, -8.6134931 41.1533425, -8.6134258 41.1536347, -8.6133572 41.1536944, -8.6132505 41.1537434)",,,2,,
8367068,True,Praça da República,secondary,,False,106.56599999999999,"LINESTRING (-8.6132505 41.1537434, -8.6131748 41.1537511, -8.6130858 41.1537499, -8.6126871 41.1537496, -8.6126091 41.1537496, -8.6122168 41.1537426, -8.6121716 41.1537482, -8.6121269 41.1537604, -8.6121117 41.1537666, -8.6120991 41.1537717, -8.6120711 41.153789, -8.6120549 41.1538039, -8.6120253 41.1538357)",,,2,,
"[643196090, 498298756]",True,Praça da República,secondary,,False,110.23599999999999,"LINESTRING (-8.6132505 41.1537434, -8.6132205 41.1537042, -8.6132 41.1536912, -8.613165 41.1536741, -8.6131327 41.1536626, -8.6130889 41.1536532, -8.6130433 41.153649, -8.6121499 41.153643, -8.6120732 41.1536293, -8.6119957 41.153597)",,,3,,
35203817,True,Rua das Oliveiras,residential,4,False,86.14,"LINESTRING (-8.6149639 41.1491595, -8.6149128 41.14934, -8.614841 41.1496608, -8.614815 41.1498424, -8.6148113 41.1498726, -8.6148066 41.1499243)",,,,,
35203817,True,Rua das Oliveiras,residential,4,False,84.239,"LINESTRING (-8.6156082 41.1485969, -8.6153813 41.1487505, -8.6151135 41.1489304, -8.6150232 41.1490299, -8.6149639 41.1491595)",,,,,
"[374346169, 128825637]",True,Praça de Carlos Alberto,residential,,False,132.715,"LINESTRING (-8.6156082 41.1485969, -8.6155863 41.1486503, -8.615587 41.1486798, -8.6155908 41.1487059, -8.6156627 41.1487981, -8.6156916 41.1488194, -8.6157319 41.148837, -8.6157734 41.1488438, -8.6158817 41.148835, -8.6161302 41.1488108, -8.6161508 41.1488042, -8.6161695 41.148794, -8.6161833 41.1487774, -8.6161933 41.1487613, -8.6161958 41.1487349, -8.6161446 41.1486053, -8.6160258 41.1483049, -8.6160034 41.1482473)",,,,,
"[14326572, 1082492468]",True,Rua Heróis e Mártires de Angola,secondary,,False,160.78,"LINESTRING (-8.6101425 41.1518487, -8.6102145 41.1517548, -8.6105064 41.1513742, -8.6107099 41.1511088, -8.6108238 41.1509605, -8.6108654 41.1509028, -8.6108859 41.1508229, -8.6108828 41.150737, -8.6108577 41.1505507)",,,3,,
434878401,False,Rua de Sá da Bandeira,secondary,,True,102.95700000000001,"LINESTRING (-8.6067219 41.1509597, -8.6067727 41.1508603, -8.6068677 41.1506833, -8.6071279 41.1501986, -8.6071805 41.1501006)",50,yes,2,,
738994729,True,Rua de Sá da Bandeira,secondary,,False,138.499,"LINESTRING (-8.6067219 41.1509597, -8.6066521 41.1510744, -8.6061881 41.1518636, -8.6060991 41.1520153, -8.6060507 41.1520981)",50,yes,2,,
207724055,False,Rua do Bolhão,residential,4,False,80.424,"LINESTRING (-8.6073894 41.1511073, -8.6076714 41.1504159)",,,2,,
"[1187716777, 38336643]",True,Rua da Firmeza,residential,,False,58.464,"LINESTRING (-8.6073894 41.1511073, -8.6072799 41.1510749, -8.6069486 41.1509947, -8.6068592 41.150972, -8.6067219 41.1509597)",,,"['2', '3']",,
206720845,True,Rua de Fernandes Tomás,secondary,,False,101.35600000000001,"LINESTRING (-8.6077498 41.1502271, -8.6088617 41.1504737, -8.6089109 41.1504849)",,,1,,
8367104,True,Rua do Bonjardim,residential,4,False,56.049,"LINESTRING (-8.6089109 41.1504849, -8.6089714 41.150449, -8.6093946 41.1501979, -8.6094208 41.1501627)",,,,,
"[1174623154, 206720845]",True,Rua de Fernandes Tomás,secondary,,False,106.439,"LINESTRING (-8.6089109 41.1504849, -8.6090937 41.1505322, -8.6095236 41.1506438, -8.6096418 41.1506739, -8.6098386 41.1507215, -8.6099174 41.1507614, -8.6099602 41.1508241, -8.6099839 41.1508997)",,,"['1', '2']",,
