osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,maxspeed,ref
168571986,True,1,Rua da Circunvalação,residential,False,264.34400000000005,"LINESTRING (-8.7016811 40.7646425, -8.7017862 40.7645982, -8.7018425 40.7645779, -8.7020336 40.7645418, -8.7021053 40.7645311, -8.7022497 40.7645113, -8.7024031 40.7644986, -8.7027035 40.7644824, -8.7033891 40.7644984, -8.7042306 40.7645181, -8.7045247 40.764525, -8.7045799 40.7645331, -8.7045944 40.7645352, -8.7046583 40.764552, -8.7047696 40.764592)",,,
501160779,True,2,Rua da Circunvalação,residential,False,14.247999999999998,"LINESTRING (-8.7016811 40.7646425, -8.7016747 40.7646001, -8.701651 40.7645613, -8.7016125 40.7645301)",roundabout,,
501160779,True,2,Rua da Circunvalação,residential,False,19.058,"LINESTRING (-8.7014928 40.764771, -8.701538 40.7647686, -8.7015809 40.7647578, -8.7016188 40.764739, -8.7016492 40.7647137, -8.7016702 40.7646833)",roundabout,,
501160779,True,2,Rua da Circunvalação,residential,False,3.651,"LINESTRING (-8.7013515 40.7645665, -8.7013336 40.7645964)",roundabout,,
501160779,True,2,Rua da Circunvalação,residential,False,16.177,"LINESTRING (-8.7016125 40.7645301, -8.7015735 40.7645127, -8.7015263 40.7645029, -8.7014774 40.7645033, -8.7014304 40.7645137)",roundabout,,
501160779,True,2,Rua da Circunvalação,residential,False,3.755,"LINESTRING (-8.701449 40.7647647, -8.7014928 40.764771)",roundabout,,
160118048,False,,Rua do Areal,residential,False,139.613,"LINESTRING (-8.7049549 40.7631924, -8.7049282 40.7639733, -8.7048936 40.764014, -8.7048298 40.7640366, -8.7043381 40.7640233)",,50,
156938240,False,,Rua da Saudade,residential,False,47.58,"LINESTRING (-8.7032204 40.7644269, -8.7032262 40.7642856, -8.7032321 40.7639991)",,,
168572105,True,1,Rua da Circunvalação,residential,False,136.495,"LINESTRING (-8.7032204 40.7644269, -8.7027137 40.7644179, -8.7024996 40.7644235, -8.7023355 40.7644382, -8.7021965 40.7644539, -8.7020146 40.7644809, -8.7018768 40.7645032, -8.7017003 40.7645291, -8.7016125 40.7645301)",,,
501160779,True,2,Rua da Circunvalação,residential,False,23.327999999999996,"LINESTRING (-8.7013336 40.7645964, -8.7013257 40.7646309, -8.7013298 40.7646657, -8.7013456 40.7646986, -8.701372 40.7647272, -8.7014072 40.7647498, -8.701449 40.7647647)",roundabout,,
119755879,False,,Rua Professor Firmino Aresta,residential,False,12.094,"LINESTRING (-8.7093169 40.7630921, -8.7091733 40.7630926)",,,
232815825,False,,Rua 10 de Junho,residential,False,131.748,"LINESTRING (-8.708568 40.7630813, -8.7085446 40.764266)",,,
232815825,False,,Rua 10 de Junho,residential,True,37.145,"LINESTRING (-8.708568 40.7630813, -8.7085757 40.7627473)",,,
119755879,False,,Rua Professor Firmino Aresta,residential,False,91.19,"LINESTRING (-8.708568 40.7630813, -8.7080277 40.7630709, -8.7074856 40.7630604)",,,
119755879,False,,Rua Professor Firmino Aresta,residential,True,50.999,"LINESTRING (-8.708568 40.7630813, -8.7086799 40.7630859, -8.7091733 40.7630926)",,,
137051916,False,2,Rua dos Pescadores,residential,True,63.734,"LINESTRING (-8.7098843 40.758085, -8.7100774 40.7575308)",,50,
1005253183,False,,,residential,False,68.618,"LINESTRING (-8.7098843 40.758085, -8.7106988 40.7580977)",,,
137051916,False,2,Rua dos Pescadores,residential,False,46.141000000000005,"LINESTRING (-8.7098843 40.758085, -8.7098687 40.7581416, -8.7098557 40.7584986)",,50,
137051916,False,2,Rua dos Pescadores,residential,True,21.535,"LINESTRING (-8.7098399 40.7586919, -8.7098557 40.7584986)",,50,
160119956,False,,Rua da Branqueira,residential,False,97.255,"LINESTRING (-8.7098399 40.7586919, -8.7086862 40.7586558)",,,
137051916,False,2,Rua dos Pescadores,residential,False,65.299,"LINESTRING (-8.7098399 40.7586919, -8.7098281 40.7591633, -8.7098417 40.7592786)",,50,
160119956,False,,Rua da Branqueira,residential,True,97.255,"LINESTRING (-8.7086862 40.7586558, -8.7098399 40.7586919)",,,
232815863,False,,Largo do Chinchorro,residential,False,19.755,"LINESTRING (-8.7086862 40.7586558, -8.7086963 40.7584783)",,,
1004398207,False,,Rua do Chinchorro,residential,False,68.121,"LINESTRING (-8.7086862 40.7586558, -8.70867 40.7592683)",,,
160119956,False,,Rua da Branqueira,residential,False,136.243,"LINESTRING (-8.7086862 40.7586558, -8.7082581 40.7586439, -8.7070698 40.7586091)",,,
232815536,False,,Avenida dos Descobrimentos,residential,True,14.309,"LINESTRING (-8.7060001 40.7592218, -8.7061699 40.7592259)",,,
138164538,False,2,Avenida dos Descobrimentos,residential,False,42.608000000000004,"LINESTRING (-8.7060001 40.7592218, -8.7057051 40.7592154, -8.7054945 40.7592092)",,,
232815537,False,,Rua António Feliciano Castilho,residential,False,79.563,"LINESTRING (-8.7060001 40.7592218, -8.7060006 40.7592661, -8.705969 40.7599369)",,,
232815536,False,,Avenida dos Descobrimentos,residential,False,210.626,"LINESTRING (-8.70867 40.7592683, -8.7061699 40.7592259)",,,
232815536,False,,Avenida dos Descobrimentos,residential,True,98.694,"LINESTRING (-8.70867 40.7592683, -8.7098417 40.7592786)",,,
1004398207,False,,Rua do Chinchorro,residential,True,68.121,"LINESTRING (-8.70867 40.7592683, -8.7086862 40.7586558)",,,
