osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,bridge,maxspeed,junction,tunnel
154944769,Rua Manuel da Silva,residential,True,False,46.895,,,"LINESTRING (-9.1070487 38.7912915, -9.1071637 38.7917036)",,,,
154961014,Rua Manuel da Silva,residential,False,False,43.407,,,"LINESTRING (-9.1070487 38.7912915, -9.1069579 38.7910226, -9.1069212 38.790914)",,,,
38086942,Rua das Mirandas,residential,True,False,73.569,,,"LINESTRING (-9.1078022 38.7915207, -9.1077439 38.7915335, -9.1076897 38.7915375, -9.1076166 38.7915429, -9.1075038 38.791526, -9.1070487 38.7912915)",,,,
154961013,Largo do Mercado 1º de Maio,living_street,True,False,53.577999999999996,,,"LINESTRING (-9.107727 38.7919791, -9.1077362 38.7919576, -9.1078026 38.7918145, -9.1078497 38.7917009, -9.1078553 38.7916349, -9.1078022 38.7915207)",,,,
1146080958,Avenida Maria Luísa Braancamp,living_street,True,False,29.619,,,"LINESTRING (-9.107727 38.7919791, -9.1077814 38.7919893, -9.1078726 38.7920102, -9.1079262 38.7920332, -9.1080094 38.7921106)",,,,
194073447,,tertiary,True,False,29.381,,,"LINESTRING (-9.1101723 38.7939194, -9.110072 38.7938619, -9.1099452 38.7938212, -9.1098822 38.7937862)",,,,
392510006,Rua Padre Filinto Ramalho,tertiary,True,False,18.742,,,"LINESTRING (-9.1092618 38.793599, -9.1093746 38.7937428)",,,,
969782165,Rua Padre Filinto Ramalho,tertiary,False,False,186.835,,,"LINESTRING (-9.1092618 38.793599, -9.1091011 38.7935719, -9.1083432 38.793439, -9.1078006 38.7933439, -9.1072391 38.7932422, -9.1071597 38.7932265)",,,,
940248867,Praça da República,tertiary,True,False,8.337,,,"LINESTRING (-9.1050444 38.796059, -9.1049482 38.7960585)",,,,
1011113865,Praça da República,tertiary,True,False,65.426,,,"LINESTRING (-9.1050444 38.796059, -9.1050371 38.7961218, -9.1049591 38.7966436)",,,,
38086951,Praça da República,tertiary,True,False,24.208,,,"LINESTRING (-9.1049482 38.7960585, -9.1048632 38.7961223, -9.1047471 38.7962096)",,,,
193891520,Praça da República,tertiary,True,False,21.481,,,"LINESTRING (-9.1049482 38.7960585, -9.1048575 38.7960385, -9.1048046 38.7960268, -9.1047097 38.7960059)",,,,
152641880,,tertiary_link,True,False,12.441,,,"LINESTRING (-9.1046841 38.7967125, -9.1047846 38.7967924)",,,,
"[38086952, 736584030]",Rua Estado da Índia,primary,True,False,41.766,"['1', '2']",EN 10,"LINESTRING (-9.1046841 38.7967125, -9.1047125 38.7969356, -9.1047564 38.7970831)",,,,
152641875,,tertiary_link,True,False,20.416,,,"LINESTRING (-9.1050112 38.7968559, -9.1050867 38.7968312, -9.1051435 38.7968013, -9.1052031 38.7967539)",,,,
736584036,Rua Miguel Bombarda,secondary,True,False,42.36,1,EN 250,"LINESTRING (-9.1050112 38.7968559, -9.1051148 38.7969228, -9.1052127 38.7970223, -9.1052838 38.7970596, -9.105384 38.7970903)",,,,
940248869,,tertiary,True,False,5.385,,,"LINESTRING (-9.1052031 38.7967539, -9.105217 38.7967067)",,,,
136223123,Praça da República,tertiary,True,False,22.594,,,"LINESTRING (-9.1053051 38.7960602, -9.1050444 38.796059)",,,,
392510012,Praça da República,tertiary,False,True,102.10199999999999,,,"LINESTRING (-9.1053051 38.7960602, -9.105384 38.79548, -9.1054144 38.7952434, -9.1054187 38.7952103, -9.1054136 38.7951467)",,,,
392510012,Praça da República,tertiary,False,False,10.136,,,"LINESTRING (-9.1054377 38.7950575, -9.1054136 38.7951467)",,,,
392510012,Praça da República,tertiary,False,True,24.563,,,"LINESTRING (-9.1054377 38.7950575, -9.1056301 38.7948953)",,,,
