osmid,oneway,lanes,highway,reversed,length,geometry,name,junction,tunnel
58433619,True,1,secondary_link,False,22.974,"LINESTRING (-8.4315667 40.208012, -8.4314824 40.2080468, -8.4314326 40.2081065, -8.4314062 40.2081658)",,,
"[95544489, 902561228, 345413741, 901846479, 1155319891, 1124032990, 1124032991]",True,"['2', '3', '4']",secondary,False,184.63,"LINESTRING (-8.4315667 40.208012, -8.4314352 40.2078725, -8.4313399 40.2077978, -8.4312837 40.2077601, -8.4311633 40.2076833, -8.4310332 40.2076004, -8.4309352 40.2075345, -8.4307638 40.2074334, -8.430602 40.2073796, -8.4304944 40.2073655, -8.4304115 40.2073639, -8.4303351 40.2073665, -8.4302555 40.207355, -8.43019 40.2073383, -8.4300814 40.2072967, -8.4299397 40.2072292, -8.4298052 40.2071371)",Avenida Emídio Navarro,,
44623991,False,,residential,False,38.516,"LINESTRING (-8.4288619 40.2115117, -8.4288782 40.2115763, -8.4288928 40.2116359, -8.4287887 40.211841)",Rua Pedro Rocha,,
"[14007891, 1057361171, 959824749]",False,"['2', '3']",secondary,False,298.988,"LINESTRING (-8.4288619 40.2115117, -8.4281653 40.2116193, -8.4281149 40.2116188, -8.4279658 40.2116142, -8.4278851 40.2116041, -8.4278174 40.2115965, -8.4278011 40.2115947, -8.427731 40.2115848, -8.4276811 40.2115798, -8.4275453 40.2115763, -8.4273739 40.2115956, -8.4272633 40.2116144, -8.426323 40.2117578, -8.4261918 40.2117648, -8.425954 40.2117551, -8.4259092 40.2117521, -8.4253882 40.2116946)",Rua Olímpio Nicolau Rui Fernandes,,
"[1057361171, 345361603, 579400263]",False,2,secondary,True,279.8,"LINESTRING (-8.4288619 40.2115117, -8.429168 40.2114636, -8.4292898 40.2114859, -8.429362 40.2115345, -8.4294592 40.2116428, -8.4295229 40.2117137, -8.4300337 40.2122827, -8.4300917 40.2123472, -8.4302526 40.2125266, -8.4304017 40.2126926, -8.4305103 40.2128136, -8.4307806 40.2131146, -8.4309233 40.2132735)","['Rua da Sofia', 'Rua Olímpio Nicolau Rui Fernandes']",,
14007697,False,2,secondary,False,111.169,"LINESTRING (-8.4316677 40.2140959, -8.4314746 40.2138876, -8.4313198 40.2137152, -8.4309233 40.2132735)",Rua da Sofia,,
23189001,True,2,secondary,False,106.892,"LINESTRING (-8.4316677 40.2140959, -8.4319369 40.2143899, -8.4322868 40.2147777, -8.4324089 40.2148706)",Rua da Sofia,,
"[14033481, 1057361172]",True,"['2', '3']",secondary,False,80.743,"LINESTRING (-8.4253882 40.2116946, -8.4250768 40.2116009, -8.4249998 40.2115777, -8.4246787 40.2114811, -8.4245058 40.2114242)",Rua Olímpio Nicolau Rui Fernandes,,
"[1057361171, 14007891, 959824749]",False,"['2', '3']",secondary,True,298.988,"LINESTRING (-8.4253882 40.2116946, -8.4259092 40.2117521, -8.425954 40.2117551, -8.4261918 40.2117648, -8.426323 40.2117578, -8.4272633 40.2116144, -8.4273739 40.2115956, -8.4275453 40.2115763, -8.4276811 40.2115798, -8.427731 40.2115848, -8.4278011 40.2115947, -8.4278174 40.2115965, -8.4278851 40.2116041, -8.4279658 40.2116142, -8.4281149 40.2116188, -8.4281653 40.2116193, -8.4288619 40.2115117)",Rua Olímpio Nicolau Rui Fernandes,,
266491529,True,,residential,False,83.534,"LINESTRING (-8.4248135 40.2078732, -8.4248047 40.2078204, -8.424791 40.2077293, -8.4247008 40.2071269)",Rua de São Pedro,,
111475615,True,3,secondary,False,20.094,"LINESTRING (-8.4336716 40.2135748, -8.4337475 40.213658, -8.4338172 40.2137168)",Avenida Fernão de Magalhães,,
345361598,True,2,secondary,False,16.111,"LINESTRING (-8.4336716 40.2135748, -8.433712 40.213563, -8.4337898 40.2135161, -8.4338116 40.213484)",Avenida Fernão de Magalhães,roundabout,
"[15117448, 23289304]",True,,residential,False,171.53,"LINESTRING (-8.4253133 40.2103348, -8.4251771 40.2098585, -8.425061 40.2094822, -8.4250188 40.2092439, -8.425003 40.2091741, -8.4249439 40.2088198)","['Largo Doutor José Rodrigues', 'Couraça dos Apóstolos']",,
