osmid,highway,junction,oneway,reversed,length,lanes,name,geometry,maxspeed,ref,access,width,tunnel
33191086,secondary,roundabout,True,False,5.036,,,"LINESTRING (-7.908278 40.6530499, -7.9082247 40.6530295)",,,,,
"[621730562, 33106196]",primary,roundabout,True,False,12.024,2,Praça da República,"LINESTRING (-7.9141114 40.6569101, -7.9141338 40.6568791, -7.9141438 40.6568469, -7.9141425 40.6568138, -7.91414 40.6568075)",,,,,
287132173,primary,,True,False,13.516000000000002,1,Avenida Alberto Sampaio,"LINESTRING (-7.9141114 40.6569101, -7.9141536 40.656882, -7.9141845 40.656873, -7.9142212 40.65687, -7.914255 40.6568732)",,,,,
621730568,primary,roundabout,True,False,11.863999999999999,2,Praça da República,"LINESTRING (-7.9138757 40.6567346, -7.9138419 40.6567615, -7.9138199 40.6567946, -7.9138127 40.6568266)",,,,,
288284706,tertiary,,True,False,38.897000000000006,,Rua Dom António Alves Martins,"LINESTRING (-7.9092184 40.6566893, -7.9091733 40.6567093, -7.9091328 40.6567339, -7.9090843 40.6567681, -7.9090523 40.6567861, -7.9090139 40.6567998, -7.9089686 40.6568065, -7.9089258 40.6568088, -7.9088079 40.6568233)",,,,,
621717568,tertiary,,False,True,79.26899999999999,,Rua Dom António Alves Martins,"LINESTRING (-7.9092184 40.6566893, -7.909371 40.6565769, -7.9094612 40.656516, -7.9095399 40.6564714, -7.9095791 40.6564495, -7.909621 40.6564262, -7.9097721 40.656354, -7.909862 40.6563191, -7.9099691 40.6562777, -7.9099759 40.6562751)",,,,,
868255521,secondary,,False,True,19.442,,Rua 5 de Outubro,"LINESTRING (-7.9088079 40.6568233, -7.9089148 40.6568395, -7.9090339 40.6568576)",,,,,
626763294,primary,,True,False,3.474,,Avenida Doutor António José de Almeida,"LINESTRING (-7.9152991 40.6604851, -7.9152744 40.6604601)",,,,,
33085498,primary,roundabout,True,False,6.726,2,Avenida Doutor António José de Almeida,"LINESTRING (-7.9152991 40.6604851, -7.9152763 40.6604845, -7.9152563 40.660484, -7.9152227 40.6604956)",,,,,
33085498,primary,roundabout,True,False,3.159,2,Avenida Doutor António José de Almeida,"LINESTRING (-7.9152227 40.6604956, -7.9151924 40.6605123)",,,,,
