osmid,oneway,lanes,highway,reversed,length,geometry,name,maxspeed,ref,junction,tunnel
26719823,True,1,motorway_link,False,408.41999999999996,"LINESTRING (-8.6330115 41.240091, -8.6327218 41.2401364, -8.63161 41.2405911, -8.6306587 41.2410238, -8.6301169 41.2411955, -8.6294272 41.2413154, -8.6288007 41.2413897, -8.6285964 41.2413739, -8.6285216 41.2413643)",,,,,
26646779,False,2,secondary,False,70.387,"LINESTRING (-8.6297271 41.2339382, -8.6297088 41.2338963, -8.6295128 41.2334485, -8.629491 41.2333839, -8.6294726 41.233335)",Rua da Igreja,50,,,
"[1019264592, 26764571, 1019264591]",True,,secondary,False,284.82599999999996,"LINESTRING (-8.6297271 41.2339382, -8.6297059 41.2339691, -8.6296676 41.2340075, -8.6296134 41.23404, -8.6295722 41.234066, -8.6295505 41.2340877, -8.629544 41.2341267, -8.6295505 41.2341744, -8.6295744 41.2342329, -8.6297454 41.2346467, -8.6302494 41.2358663, -8.6303196 41.2360362, -8.6304214 41.2362824, -8.630466 41.2363373)",Rua Nossa Senhora do Bom Despacho,,,,
26646779,False,2,secondary,True,46.873000000000005,"LINESTRING (-8.6293359 41.2329262, -8.6293968 41.2331148, -8.6294726 41.233335)",Rua da Igreja,50,,,
26697159,False,,residential,False,38.951,"LINESTRING (-8.6258444 41.2347183, -8.6259385 41.2347572, -8.626024 41.2347915, -8.6261352 41.2348197, -8.6262789 41.2348285)",Rua Joaquim Dias de Almeida,,,,
1000515669,False,,residential,False,54.843999999999994,"LINESTRING (-8.6258444 41.2347183, -8.6259145 41.2345962, -8.6259473 41.2344524, -8.6259522 41.2342381)",Rua Simão Bolívar,,,,
26697159,False,,residential,True,38.951,"LINESTRING (-8.6262789 41.2348285, -8.6261352 41.2348197, -8.626024 41.2347915, -8.6259385 41.2347572, -8.6258444 41.2347183)",Rua Joaquim Dias de Almeida,,,,
285025062,True,,residential,False,44.402,"LINESTRING (-8.6262789 41.2348285, -8.6263796 41.2348545, -8.626498 41.2348684, -8.6265842 41.2348946, -8.6266187 41.23492, -8.6266549 41.2349719, -8.6266615 41.235036)",Rua Joaquim Dias de Almeida,,,,
26697160,True,1,trunk_link,False,50.472,"LINESTRING (-8.6269504 41.2343487, -8.6268941 41.2345477, -8.6268558 41.2346932, -8.6267642 41.2347686)",,,,,
459828969,True,2,trunk,False,212.664,"LINESTRING (-8.6269504 41.2343487, -8.6269422 41.2346637, -8.6268833 41.2350408, -8.6268402 41.2352635, -8.6267398 41.2356288, -8.6266577 41.2358912, -8.6265361 41.2362292)",,70,EN 14,,
