osmid,ref,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,bridge,junction
10501880,EM 15,Rua de Santa Marinha,primary,False,False,53.518,,,"LINESTRING (-7.181665 41.487199, -7.1820177 41.4876013)",,
10501954,EM 15,Rua da República,primary,False,False,143.014,2,50,"LINESTRING (-7.181665 41.487199, -7.1814168 41.4873425, -7.181246 41.4874203, -7.1811187 41.4874478, -7.1806608 41.4875184, -7.1800697 41.4876096)",,
126637526,,Rua Alexandre Herculano,residential,True,False,101.29199999999999,,,"LINESTRING (-7.181665 41.487199, -7.1814433 41.4868934, -7.181163 41.486443, -7.1811257 41.486383)",,
10501900,,Rua Joaquim Teófilo Braga,tertiary,False,True,87.712,2,,"LINESTRING (-7.1818674 41.4917891, -7.1812063 41.4911751)",,
126637416,,Rua Quinta dos Cordões,residential,False,False,93.391,,,"LINESTRING (-7.1818674 41.4917891, -7.1826833 41.491213)",,
10501954,EM 15,Rua da República,primary,False,True,253.904,2,50,"LINESTRING (-7.1776812 41.4899907, -7.1779936 41.4889902, -7.1781472 41.4886854, -7.1784289 41.488289, -7.1784716 41.4882409, -7.1786993 41.4879841, -7.1788021 41.4878987)",,
311479963,EM 15,Rua da República,primary,True,False,69.488,2,50,"LINESTRING (-7.1776812 41.4899907, -7.1774562 41.4904841, -7.1774401 41.4905189, -7.1774261 41.4905473, -7.1774073 41.4905809)",,
265891377,,Rua do Tanque,residential,True,False,25.485,,,"LINESTRING (-7.1789222 41.4876879, -7.1788021 41.4878987)",,
247329546,,Rua do Tanque,residential,True,False,15.045,,,"LINESTRING (-7.1789222 41.4876879, -7.1789568 41.4877587, -7.1790156 41.4877993)",,
123503854,,Rua de São Sebastião,residential,False,True,32.29,,,"LINESTRING (-7.1714999 41.4889247, -7.1718201 41.4890884)",,
123503854,,Rua de São Sebastião,residential,False,False,60.614,,,"LINESTRING (-7.173641 41.4899924, -7.1730341 41.4896916)",,
392526161,,,residential,False,False,39.84,,,"LINESTRING (-7.173641 41.4899924, -7.1739284 41.489706)",,
123503853,,Rua Fernando Morais,residential,False,True,138.32399999999998,,,"LINESTRING (-7.173641 41.4899924, -7.1735485 41.4901022, -7.1730241 41.4908272, -7.1729817 41.4909499, -7.1729991 41.4911122)",,
123503854,,Rua de São Sebastião,residential,False,True,139.32,,,"LINESTRING (-7.173641 41.4899924, -7.1738142 41.4900555, -7.1750861 41.4903729, -7.1752184 41.4904059)",,
123503855,,Rua Manuel Pinto de Azevedo,residential,False,True,7.515,,,"LINESTRING (-7.1774073 41.4905809, -7.1774975 41.4905792)",,
123503855,,Rua Manuel Pinto de Azevedo,residential,False,False,92.98199999999999,,,"LINESTRING (-7.1774073 41.4905809, -7.1772263 41.4905843, -7.1766007 41.4905987, -7.1765483 41.4906032, -7.1764933 41.4906135, -7.1764388 41.4906313, -7.1763859 41.4906566, -7.1763243 41.4906921)",,
184403210,EM 15,Avenida das Comunidades Europeias,primary,True,False,226.781,1,50,"LINESTRING (-7.1774073 41.4905809, -7.1773112 41.4907377, -7.1768335 41.4915239, -7.1762798 41.4924373)",,
123503855,,Rua Manuel Pinto de Azevedo,residential,False,False,14.334,,,"LINESTRING (-7.1763243 41.4906921, -7.1761914 41.490774)",,
392526160,,Rua de São Sebastião,residential,True,False,34.515,,,"LINESTRING (-7.1763243 41.4906921, -7.1759282 41.4906009)",,
