osmid,lanes,ref,highway,junction,oneway,reversed,length,geometry,bridge
872385973,2,EM 579,tertiary,roundabout,True,False,12.06,"LINESTRING (-7.9799245 41.14682, -7.9799587 41.1468283, -7.9799947 41.1468289, -7.9800294 41.1468216, -7.9800598 41.146807)",
872385973,2,EM 579,tertiary,roundabout,True,False,30.308999999999997,"LINESTRING (-7.9800598 41.146807, -7.9800856 41.1467838, -7.9801001 41.1467556, -7.9801019 41.1467253, -7.9800906 41.1466962, -7.9800675 41.1466714, -7.9800351 41.1466535, -7.9799967 41.1466444, -7.9799565 41.146645, -7.9799187 41.1466553)",
"[909681845, 909681846, 127882991]",2,EM 579,tertiary,,False,False,697.891,"LINESTRING (-7.9800598 41.146807, -7.9802495 41.1469425, -7.9810198 41.1472497, -7.9811894 41.1473985, -7.9814685 41.1477696, -7.9815067 41.1479731, -7.9814026 41.1483617, -7.9814389 41.1485678, -7.9815382 41.1486864, -7.9817199 41.1487648, -7.9819452 41.1487757, -7.9820047 41.1487428, -7.9820914 41.1486949, -7.9822553 41.1486043, -7.9825992 41.148203, -7.9827494 41.1481191, -7.9829893 41.1480716, -7.9838516 41.1480625, -7.9846147 41.1478673, -7.98476 41.1477524, -7.9852082 41.1470684, -7.9854578 41.1469033)",yes
872385972,2,EM 579,tertiary,,False,True,65.896,"LINESTRING (-7.9799187 41.1466553, -7.9798998 41.1466186, -7.9798256 41.1463643, -7.9798482 41.1460719)",
872385973,2,EM 579,tertiary,roundabout,True,False,22.398999999999997,"LINESTRING (-7.9799187 41.1466553, -7.9798887 41.1466731, -7.9798673 41.1466969, -7.9798565 41.1467246, -7.9798576 41.1467533, -7.9798702 41.1467805, -7.9798932 41.1468034, -7.9799245 41.14682)",
872385972,2,EM 579,tertiary,,False,False,153.218,"LINESTRING (-7.9798231 41.1447083, -7.9798983 41.1448503, -7.9799297 41.145018, -7.9798625 41.1458868, -7.9798482 41.1460719)",
872385972,2,EM 579,tertiary,,False,True,9.783000000000001,"LINESTRING (-7.9798231 41.1447083, -7.979811 41.1446732, -7.9797662 41.144634)",
872385975,,,residential,,False,False,134.033,"LINESTRING (-7.9798231 41.1447083, -7.979592 41.1447275, -7.9789977 41.1447355, -7.9784819 41.1447243, -7.9783545 41.1447307, -7.9782377 41.1447738)",
872385975,,,residential,,False,True,134.033,"LINESTRING (-7.9782377 41.1447738, -7.9783545 41.1447307, -7.9784819 41.1447243, -7.9789977 41.1447355, -7.979592 41.1447275, -7.9798231 41.1447083)",
872385972,2,EM 579,tertiary,,False,False,9.783000000000001,"LINESTRING (-7.9797662 41.144634, -7.979811 41.1446732, -7.9798231 41.1447083)",
872385972,2,EM 579,tertiary,,False,True,135.802,"LINESTRING (-7.9797662 41.144634, -7.9796173 41.1445036, -7.978484 41.1438931)",
872385979,,,residential,,False,True,58.334999999999994,"LINESTRING (-7.9797662 41.144634, -7.9798872 41.1446256, -7.9799544 41.1446319, -7.9799824 41.1446593, -7.9800216 41.1447226, -7.9801533 41.144982)",
872385980,,,residential,,False,True,14.887,"LINESTRING (-7.9801533 41.144982, -7.9801297 41.1451147)",
872385979,,,residential,,False,False,58.33500000000001,"LINESTRING (-7.9801533 41.144982, -7.9800216 41.1447226, -7.9799824 41.1446593, -7.9799544 41.1446319, -7.9798872 41.1446256, -7.9797662 41.144634)",
872385979,,,residential,,False,True,76.052,"LINESTRING (-7.9801533 41.144982, -7.9801897 41.145039, -7.9803549 41.1451908, -7.9806938 41.1454524, -7.9807153 41.1454746, -7.9807199 41.1455059)",
872385972,2,EM 579,tertiary,,False,False,65.896,"LINESTRING (-7.9798482 41.1460719, -7.9798256 41.1463643, -7.9798998 41.1466186, -7.9799187 41.1466553)",
872385972,2,EM 579,tertiary,,False,True,153.218,"LINESTRING (-7.9798482 41.1460719, -7.9798625 41.1458868, -7.9799297 41.145018, -7.9798983 41.1448503, -7.9798231 41.1447083)",
872385979,,,residential,,False,False,19.901,"LINESTRING (-7.9798482 41.1460719, -7.979974 41.1459966, -7.9800288 41.1459559)",
872385979,,,residential,,False,False,76.052,"LINESTRING (-7.9807199 41.1455059, -7.9807153 41.1454746, -7.9806938 41.1454524, -7.9803549 41.1451908, -7.9801897 41.145039, -7.9801533 41.144982)",
872385979,,,residential,,False,True,77.509,"LINESTRING (-7.9807199 41.1455059, -7.980705 41.1455262, -7.9806042 41.1456169, -7.9805006 41.145676, -7.9802849 41.1457603, -7.9801673 41.1458531, -7.9800288 41.1459559)",
982044991,,,unclassified,,False,False,75.45400000000001,"LINESTRING (-7.9807199 41.1455059, -7.9812482 41.1453556, -7.9815559 41.1452533)",
872385980,,,residential,,False,False,21.807,"LINESTRING (-7.9800288 41.1459559, -7.9800735 41.1457627)",
872385979,,,residential,,False,False,77.50899999999999,"LINESTRING (-7.9800288 41.1459559, -7.9801673 41.1458531, -7.9802849 41.1457603, -7.9805006 41.145676, -7.9806042 41.1456169, -7.980705 41.1455262, -7.9807199 41.1455059)",
872385979,,,residential,,False,True,19.901,"LINESTRING (-7.9800288 41.1459559, -7.979974 41.1459966, -7.9798482 41.1460719)",
872385980,,,residential,,False,True,21.807,"LINESTRING (-7.9800735 41.1457627, -7.9800288 41.1459559)",
872385980,,,residential,,False,False,72.284,"LINESTRING (-7.9800735 41.1457627, -7.9800791 41.1456225, -7.9800833 41.1454316, -7.9801099 41.1452259, -7.9801297 41.1451147)",
872385981,,,residential,,False,False,77.561,"LINESTRING (-7.9800735 41.1457627, -7.9802093 41.1455877, -7.9802457 41.1455107, -7.9802541 41.1453915, -7.9802289 41.1452913, -7.9801297 41.1451147)",
872385980,,,residential,,False,False,14.887,"LINESTRING (-7.9801297 41.1451147, -7.9801533 41.144982)",
872385980,,,residential,,False,True,72.28399999999999,"LINESTRING (-7.9801297 41.1451147, -7.9801099 41.1452259, -7.9800833 41.1454316, -7.9800791 41.1456225, -7.9800735 41.1457627)",
872385981,,,residential,,False,True,77.561,"LINESTRING (-7.9801297 41.1451147, -7.9802289 41.1452913, -7.9802541 41.1453915, -7.9802457 41.1455107, -7.9802093 41.1455877, -7.9800735 41.1457627)",
872385972,2,EM 579,tertiary,,False,False,135.802,"LINESTRING (-7.978484 41.1438931, -7.9796173 41.1445036, -7.9797662 41.144634)",
982044991,,,unclassified,,False,False,304.3620000000001,"LINESTRING (-7.9815559 41.1452533, -7.9818678 41.1451496, -7.9821146 41.1450607, -7.9823962 41.1450587, -7.9827234 41.1451153, -7.9828978 41.1450769, -7.9829702 41.1449678, -7.982938 41.1448123, -7.9827207 41.1446426, -7.9825893 41.1445871, -7.9824123 41.1446366, -7.9822889 41.1447174, -7.9821467 41.144885, -7.9819697 41.1450244, -7.9817337 41.1451436, -7.9815559 41.1452533)",
982044991,,,unclassified,,False,True,304.36199999999997,"LINESTRING (-7.9815559 41.1452533, -7.9817337 41.1451436, -7.9819697 41.1450244, -7.9821467 41.144885, -7.9822889 41.1447174, -7.9824123 41.1446366, -7.9825893 41.1445871, -7.9827207 41.1446426, -7.982938 41.1448123, -7.9829702 41.1449678, -7.9828978 41.1450769, -7.9827234 41.1451153, -7.9823962 41.1450587, -7.9821146 41.1450607, -7.9818678 41.1451496, -7.9815559 41.1452533)",
982044991,,,unclassified,,False,True,75.45400000000001,"LINESTRING (-7.9815559 41.1452533, -7.9812482 41.1453556, -7.9807199 41.1455059)",
"[909681845, 909681846, 127882991]",2,EM 579,tertiary,,False,True,697.891,"LINESTRING (-7.9854578 41.1469033, -7.9852082 41.1470684, -7.98476 41.1477524, -7.9846147 41.1478673, -7.9838516 41.1480625, -7.9829893 41.1480716, -7.9827494 41.1481191, -7.9825992 41.148203, -7.9822553 41.1486043, -7.9820914 41.1486949, -7.9820047 41.1487428, -7.9819452 41.1487757, -7.9817199 41.1487648, -7.9815382 41.1486864, -7.9814389 41.1485678, -7.9814026 41.1483617, -7.9815067 41.1479731, -7.9814685 41.1477696, -7.9811894 41.1473985, -7.9810198 41.1472497, -7.9802495 41.1469425, -7.9800598 41.146807)",yes
1141530027,,,residential,,False,True,97.137,"LINESTRING (-7.9854578 41.1469033, -7.9863519 41.1467027, -7.9865387 41.1467097, -7.9865614 41.1467346)",
1141530027,,,residential,,False,False,97.137,"LINESTRING (-7.9865614 41.1467346, -7.9865387 41.1467097, -7.9863519 41.1467027, -7.9854578 41.1469033)",
