osmid,lanes,highway,junction,oneway,reversed,length,geometry,name,maxspeed,bridge,tunnel,ref,access
95117796,2,secondary,roundabout,True,False,17.359,"LINESTRING (-8.608213 41.1261347, -8.6082496 41.126102, -8.6082683 41.1260656, -8.6082712 41.1260265, -8.6082599 41.1259924)",,,,,,
196689927,1,secondary,,True,False,28.607999999999997,"LINESTRING (-8.608213 41.1261347, -8.608295 41.1261131, -8.6083599 41.1261102, -8.6085493 41.1261027)",Rua de Pádua Correia,,,,,
95117796,2,secondary,roundabout,True,False,5.797000000000001,"LINESTRING (-8.6079952 41.1259475, -8.6079723 41.125967, -8.6079552 41.1259897)",,,,,,
196690111,,residential,,True,False,11.623,"LINESTRING (-8.6079967 41.1261322, -8.6080388 41.1262318)",Rua Oliveira e Silva,,,,,
1082054800,2,secondary,roundabout,True,False,14.924,"LINESTRING (-8.6079967 41.1261322, -8.60803 41.1261495, -8.6080679 41.1261603, -8.6081081 41.1261638, -8.6081639 41.1261561)",,,,,,
1082054799,2,secondary,roundabout,True,False,4.751,"LINESTRING (-8.6081639 41.1261561, -8.608213 41.1261347)",,,,,,
135405456,,residential,,True,False,135.662,"LINESTRING (-8.6068073 41.1270954, -8.6077127 41.1280039, -8.6077797 41.1280711)",Rua João de Deus,50,,,,
95117796,2,secondary,roundabout,True,False,7.808,"LINESTRING (-8.6082599 41.1259924, -8.6082364 41.1259621, -8.6082026 41.1259379)",,,,,,
743684116,2,secondary,roundabout,True,False,17.258,"LINESTRING (-8.6079552 41.1259897, -8.6079423 41.1260273, -8.6079454 41.126066, -8.6079641 41.1261021, -8.6079967 41.1261322)",,,,,,
97721344,2,secondary,roundabout,True,False,30.669,"LINESTRING (-8.6039336 41.1283285, -8.6039826 41.1283148, -8.6040236 41.1282903, -8.6040524 41.1282574, -8.6040662 41.1282194, -8.6040636 41.12818, -8.6040449 41.1281432, -8.604012 41.1281126)",,,,,,
97721339,2,unclassified,,False,True,75.989,"LINESTRING (-8.6026818 41.1283219, -8.6028321 41.1282357, -8.6029601 41.1282035, -8.6035435 41.1282039)",,,,,,
97721357,,residential,,False,False,31.909,"LINESTRING (-8.6026818 41.1283219, -8.6025555 41.1282113, -8.6024788 41.1280826)",Rua 14 de Outubro,,,,,
98753905,,residential,,True,False,135.891,"LINESTRING (-8.6026818 41.1283219, -8.6027804 41.1284043, -8.6031477 41.1285098, -8.6032735 41.1285509, -8.6033138 41.1286047, -8.6034567 41.1288533, -8.6035178 41.1289598, -8.6035719 41.1290539, -8.6036019 41.1291062, -8.6036729 41.1291949)",Rua 14 de Outubro,,,,,
98754440,,residential,,False,False,25.604,"LINESTRING (-8.6026818 41.1283219, -8.6026358 41.1283781, -8.6024888 41.1284431, -8.6024457 41.1284583)",Rua Joaquim Pereira de Sousa Grijó,,,,,
97721344,2,secondary,roundabout,True,False,7.066,"LINESTRING (-8.6038165 41.128098, -8.6037832 41.1281175, -8.6037575 41.1281427)",,,,,,
"[97721318, 97721327]",,motorway_link,,True,False,151.502,"LINESTRING (-8.603172 41.1269597, -8.6034079 41.126901, -8.6042544 41.1267004, -8.6044239 41.126644, -8.6044891 41.126563, -8.6044859 41.1264697, -8.6044435 41.126396, -8.6043913 41.1263052)",,40,yes,,,
97721397,,motorway_link,,True,False,162.08599999999998,"LINESTRING (-8.603172 41.1269597, -8.6034079 41.1269226, -8.6035716 41.126936, -8.6036687 41.1269755, -8.6037541 41.1270342, -8.6038039 41.127076, -8.6038476 41.1271669, -8.6038523 41.1272859, -8.6038402 41.1278238, -8.6038522 41.1279956)",,40,,,,
"[97721333, 97721311]",,motorway_link,,True,False,119.51500000000001,"LINESTRING (-8.6038216 41.1263504, -8.6036591 41.1264092, -8.603135 41.1265446, -8.6030353 41.1265863, -8.60296 41.1266732, -8.6029373 41.1267671, -8.6029438 41.1268438, -8.6029928 41.1269186, -8.6030759 41.1269622)",,40,yes,,,
"[1174689803, 97721366]","['1', '2']",motorway_link,,True,False,190.026,"LINESTRING (-8.6038216 41.1263504, -8.603639 41.1263542, -8.6032283 41.1264205, -8.6030561 41.1264706, -8.6029176 41.1265657, -8.6028076 41.1267222, -8.6026854 41.1268358, -8.6024613 41.1269493, -8.6020709 41.1271184, -8.6019632 41.1271909)",,,,,,
97721314,2,unclassified,,False,False,95.82600000000001,"LINESTRING (-8.6035093 41.1280014, -8.603476 41.1280766, -8.6033593 41.1280916, -8.6027456 41.1280037, -8.6025789 41.1280238, -8.6024788 41.1280826)",Rua Grupo Folclórico de Mafamude,,,,,
97721364,,motorway_link,,True,False,11.772,"LINESTRING (-8.6038522 41.1279956, -8.6038165 41.128098)",,40,,,,
198102426,,residential,,True,False,17.335,"LINESTRING (-8.6041839 41.1257069, -8.6040138 41.1257957)",,,,,,
1228960163,5,motorway_link,,False,False,17.381,"LINESTRING (-8.6041839 41.1257069, -8.604176 41.1258631)",,,,,,
97721332,1,unclassified,,True,False,19.586,"LINESTRING (-8.6035435 41.1282039, -8.6036701 41.1282346, -8.6037589 41.1282706)",,,,,,
97721339,2,unclassified,,False,False,75.989,"LINESTRING (-8.6035435 41.1282039, -8.6029601 41.1282035, -8.6028321 41.1282357, -8.6026818 41.1283219)",,,,,,
"[97721392, 95984862]",,motorway_link,,True,False,50.416999999999994,"LINESTRING (-8.6043913 41.1263052, -8.6043121 41.1262594, -8.6042389 41.126206, -8.6042088 41.126126, -8.6042147 41.1259706, -8.6041712 41.125917)",,,yes,,,
"[97721315, 97721335]",,motorway_link,,True,False,128.325,"LINESTRING (-8.6036677 41.1269563, -8.603773 41.1269072, -8.6043213 41.1267745, -8.6044907 41.1266959, -8.6045722 41.1265682, -8.6045722 41.1264479, -8.6045201 41.1263448, -8.6043913 41.1263052)",,,yes,,,
"[1174689805, 97721334]",,motorway_link,,True,False,127.428,"LINESTRING (-8.6036677 41.1269563, -8.6037612 41.126987, -8.6038718 41.1270341, -8.6039281 41.1271221, -8.6038811 41.1278242, -8.6038522 41.1279956)",,40,,,,
1174689799,,motorway_link,,True,False,57.521,"LINESTRING (-8.6036677 41.1269563, -8.6037988 41.1269454, -8.6040094 41.1269069, -8.604337 41.1268438)",,,,,,
97721344,2,secondary,roundabout,True,False,17.536,"LINESTRING (-8.604012 41.1281126, -8.6039681 41.1280912, -8.6039175 41.1280812, -8.6038652 41.1280835, -8.6038165 41.128098)",,,,,,
97721395,,motorway_link,,True,False,51.3,"LINESTRING (-8.604012 41.1281126, -8.6039663 41.1280411, -8.6039445 41.1279759, -8.6039383 41.1278439, -8.6039539 41.1276616)",,,,,,
839084267,2,motorway_link,,True,False,52.051,"LINESTRING (-8.6030759 41.1269622, -8.6031655 41.1270085, -8.6033614 41.1270166, -8.6036677 41.1269563)",,40,yes,,,
1228960163,5,motorway_link,,False,False,6.007,"LINESTRING (-8.604176 41.1258631, -8.6041712 41.125917)",,,,,,
1228960163,5,motorway_link,,False,True,17.381,"LINESTRING (-8.604176 41.1258631, -8.6041839 41.1257069)",,,,,,
198102425,,residential,,False,True,30.978,"LINESTRING (-8.6016376 41.1261886, -8.6019943 41.126115)",Rua de São Cristóvão de Mafamude,,,,,
"[97721353, 97721357, 417885574]",,residential,,False,True,149.628,"LINESTRING (-8.6016376 41.1261886, -8.6017517 41.1264983, -8.6019366 41.127013, -8.6021242 41.1273741, -8.6021726 41.1274707)",Rua 14 de Outubro,,yes,,,
"[97721304, 332760609]",,motorway_link,,True,False,77.941,"LINESTRING (-8.604337 41.1268438, -8.6045423 41.1267628, -8.6046694 41.1266155, -8.6047884 41.1264572, -8.6048333 41.1264184, -8.6049358 41.1263301)",,,,yes,,
