osmid,oneway,ref,highway,reversed,length,geometry,lanes,name,maxspeed,junction
1213128807,False,ER 314,primary,True,36.662,"LINESTRING (-7.4271782 41.5593754, -7.4267387 41.5593518)",,,,
184576274,True,ER 314,primary,False,67.297,"LINESTRING (-7.4271782 41.5593754, -7.4271996 41.5593832, -7.4272206 41.5593901, -7.4272477 41.5593971, -7.4272745 41.5594024, -7.4273021 41.5594065, -7.4273312 41.5594091, -7.4274618 41.5594167, -7.4275369 41.5594232, -7.4276024 41.5594339, -7.4276601 41.5594465, -7.4277153 41.5594636, -7.4277656 41.5594838, -7.4278079 41.5595068, -7.4278432 41.5595305, -7.4278752 41.5595558, -7.4279087 41.559585)",,,,
178415290,False,ER 314,primary,False,35.396,"LINESTRING (-7.4273451 41.5663263, -7.4272752 41.5666403)",2,Avenida Dom Dinis,50,
178415293,True,ER 314,primary,False,46.041999999999994,"LINESTRING (-7.4273451 41.5663263, -7.4274513 41.5660308, -7.4274651 41.5659918, -7.4274771 41.5659591, -7.4274992 41.5659296)",,,,
93693080,True,ER 314,primary,False,11.188,"LINESTRING (-7.4276151 41.5652347, -7.4275784 41.5652768, -7.4275618 41.5653256)",2,,50,roundabout
390324853,False,,residential,True,39.744,"LINESTRING (-7.4267387 41.5593518, -7.4264315 41.5596255)",,,,
1213128807,False,ER 314,primary,False,36.662,"LINESTRING (-7.4267387 41.5593518, -7.4271782 41.5593754)",,,,
77543554,True,ER 314,primary,False,19.019,"LINESTRING (-7.4279087 41.559585, -7.42791 41.5596135, -7.4279238 41.55964, -7.4279486 41.5596617, -7.4279815 41.5596761, -7.4280189 41.5596815, -7.4280566 41.5596773)",,,,roundabout
93693080,True,ER 314,primary,False,3.811,"LINESTRING (-7.4278562 41.565478, -7.4278951 41.5654599)",2,,50,roundabout
1213181065,True,ER 206,primary,False,16.064999999999998,"LINESTRING (-7.4281023 41.5654684, -7.4280489 41.5654268, -7.4280251 41.5654078, -7.4280022 41.565389, -7.427971 41.5653625)",1,,50,
1213181067,False,ER 206,primary,False,129.667,"LINESTRING (-7.4281023 41.5654684, -7.4282885 41.5655392, -7.4284199 41.5655783, -7.4285429 41.5656033, -7.4286767 41.5656142, -7.4287999 41.565614, -7.4289306 41.5656036, -7.4290717 41.5655824, -7.4292127 41.5655512, -7.429353 41.5655139, -7.4294753 41.5654775, -7.4295862 41.5654429)",2,Rua Doutor Francisco Sá Carneiro,50,
