osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,access,bridge,junction,maxspeed,tunnel
38503336,True,Rua Manuel Silva,residential,False,99.518,"LINESTRING (-8.7608806 41.3802863, -8.7615133 41.3795276)",,,,,,,
924448769,False,Rua da Cidade do Porto,tertiary,False,100.689,"LINESTRING (-8.7608806 41.3802863, -8.7608165 41.3803586, -8.7605417 41.3806684, -8.7602174 41.3810428)",,,,,,,
971024133,False,,primary,False,59.364000000000004,"LINESTRING (-8.7608806 41.3802863, -8.7609403 41.3803621, -8.7610921 41.3805551, -8.7612424 41.380746)",2,EN 13,,,,,
971024133,False,,primary,True,90.922,"LINESTRING (-8.7608806 41.3802863, -8.7603545 41.3796679, -8.7602942 41.3795971)",2,EN 13,,,,,
254833618,False,Avenida Mouzinho de Albuquerque,secondary,True,82.37,"LINESTRING (-8.7622956 41.3820906, -8.7624233 41.3820467, -8.7630217 41.3818405, -8.7631927 41.3817813)",1,,,,,,
459428873,False,Praça Marquês de Pombal,primary,True,173.425,"LINESTRING (-8.7622956 41.3820906, -8.7622393 41.3820219, -8.7616018 41.3812032, -8.7613194 41.380844, -8.7612424 41.380746)",,EN 13,,,,,
459428874,False,Rua Gomes de Amorim,primary,False,74.83800000000001,"LINESTRING (-8.7622956 41.3820906, -8.7623521 41.3821595, -8.7627501 41.382658, -8.7627578 41.3826674)",2,EN 13,,,,,
459428875,False,Avenida Mouzinho de Albuquerque,secondary,False,78.237,"LINESTRING (-8.7622956 41.3820906, -8.7621467 41.3821418, -8.7619625 41.3822051, -8.7614429 41.3823834)",1,,yes,,,,
459428874,False,Rua Gomes de Amorim,primary,False,71.972,"LINESTRING (-8.7632402 41.3832684, -8.7636937 41.383819)",2,EN 13,,,,,
459428874,False,Rua Gomes de Amorim,primary,True,66.274,"LINESTRING (-8.7632402 41.3832684, -8.762834 41.3827562)",2,EN 13,,,,,
213920976,True,Rua de Elias Garcia,residential,False,81.18299999999999,"LINESTRING (-8.7632402 41.3832684, -8.7633438 41.3832508, -8.7636545 41.3831703, -8.7641647 41.3830419)",,,,,,,
41890509,True,Rua Daniel Gomes Junqueira,residential,False,31.759,"LINESTRING (-8.7541452 41.3821639, -8.7540226 41.3818935)",,,,,,,
32111409,True,Rua da Igreja,residential,False,123.379,"LINESTRING (-8.7569304 41.380556, -8.7555308 41.3809142)",,,,,,,
32726742,True,Rua de São Pedro,residential,False,46.794,"LINESTRING (-8.7569304 41.380556, -8.7567394 41.3801946, -8.7567105 41.380171)",,,,,,,
202442759,True,Rua Padre José Leites Morais,residential,False,97.012,"LINESTRING (-8.7555308 41.3809142, -8.7555817 41.3814234, -8.7555777 41.3817852)",,,,,,,
169908845,True,,residential,False,14.699,"LINESTRING (-8.7556656 41.3825391, -8.7557888 41.3826336)",,,,,,,
169908869,False,,tertiary,False,7.776,"LINESTRING (-8.7556656 41.3825391, -8.7555724 41.3825389)",,,,,,,
42108266,True,,tertiary,False,63.99,"LINESTRING (-8.7567055 41.3825923, -8.7559397 41.3825604)",,,,,,,
169908966,True,Rua Padre José Brenha,residential,False,122.476,"LINESTRING (-8.7558975 41.38348, -8.7559853 41.3834393, -8.7563873 41.3831266, -8.756545 41.3829461, -8.7567055 41.3825923)",,,,,,,
32111426,True,Rua do Pinheiro,residential,False,146.14299999999997,"LINESTRING (-8.7551681 41.3796385, -8.7551765 41.3797865, -8.7554691 41.3804335, -8.7555308 41.3809142)",,,,,,,
"[169908885, 169908862, 82289655]",False,,residential,True,35.262,"LINESTRING (-8.7551681 41.3796385, -8.755093 41.3796043, -8.7549124 41.3795222, -8.7548067 41.3794741)",,,,yes,,,
441943802,False,Rua Primeiro de Maio,residential,True,66.70899999999999,"LINESTRING (-8.7551681 41.3796385, -8.7552819 41.3796088, -8.7556528 41.3795184, -8.7557822 41.3795436, -8.7558283 41.3795476, -8.7558796 41.3795447, -8.7559336 41.3795298)",,,,,,,
169908869,False,,tertiary,True,7.776,"LINESTRING (-8.7555724 41.3825389, -8.7556656 41.3825391)",,,,,,,
"[219534481, 459428871]",False,"['Rua Paulo Barreto', 'Praça do Almada']",primary,False,90.077,"LINESTRING (-8.7597169 41.3789126, -8.7597848 41.3789912, -8.7599113 41.3791377, -8.7600404 41.3792901, -8.7600585 41.3793114, -8.7600885 41.3793478, -8.7602942 41.3795971)",2,EN 13,,,,,
261461133,False,Praça do Almada,residential,True,110.09600000000002,"LINESTRING (-8.7597169 41.3789126, -8.7598342 41.3788567, -8.7602081 41.3786783, -8.7604648 41.3786051, -8.7607006 41.3785739, -8.7608803 41.3785756, -8.7609237 41.3785794)",,,,,,,
459428867,False,Rua Almirante Reis,primary,True,136.03,"LINESTRING (-8.7597169 41.3789126, -8.7596872 41.3788731, -8.7595812 41.3787321, -8.7592088 41.3782778, -8.7589971 41.3780087, -8.7588817 41.3778621)",2,EN 13,,,,,
459428869,False,Praça do Almada,residential,False,98.207,"LINESTRING (-8.7597169 41.3789126, -8.7596013 41.3789663, -8.7587782 41.3793481, -8.7587158 41.3793771)",,,,,,,
106462228,True,,residential,False,81.677,"LINESTRING (-8.7560806 41.3794337, -8.7559634 41.3791984, -8.7563682 41.3790025, -8.7564002 41.3789586, -8.7563872 41.3788874)",,,,,,,
273386523,True,Rua Primeiro de Maio,residential,False,78.852,"LINESTRING (-8.7560806 41.3794337, -8.7563583 41.3793787, -8.756526 41.3793535, -8.7566359 41.3793503, -8.7570016 41.3794186)",,,,,,,
441943800,True,Rua Primeiro de Maio,residential,False,16.267,"LINESTRING (-8.7559336 41.3795298, -8.7560806 41.3794337)",,,,,,,
441943802,False,Rua Primeiro de Maio,residential,False,66.70899999999999,"LINESTRING (-8.7559336 41.3795298, -8.7558796 41.3795447, -8.7558283 41.3795476, -8.7557822 41.3795436, -8.7556528 41.3795184, -8.7552819 41.3796088, -8.7551681 41.3796385)",,,,,,,
202442755,True,Rua Fernando Barbosa,residential,False,68.206,"LINESTRING (-8.7580274 41.3806489, -8.7580477 41.3812621)",,,,,,,
32111409,True,Rua da Igreja,residential,False,44.025,"LINESTRING (-8.7580274 41.3806489, -8.7579766 41.3806376, -8.7575052 41.3805958)",,,,,,,
173538931,True,Rua da Amadinha,residential,False,70.106,"LINESTRING (-8.7580274 41.3806489, -8.7585293 41.3806948, -8.758848 41.3806182)",,,,,,,
