osmid,lanes,name,highway,junction,oneway,reversed,length,geometry,maxspeed,ref,access,tunnel
237713095,2,Avenida Doutor Renato Araújo,secondary,roundabout,True,False,16.201,"LINESTRING (-8.4936849 40.894022, -8.4936547 40.8940151, -8.4936199 40.8940141, -8.493591 40.8940166, -8.4935649 40.8940206, -8.493526 40.8940313, -8.4934992 40.8940402)",,,,
54812803,2,Avenida Doutor Renato Araújo,secondary,roundabout,True,False,26.534000000000002,"LINESTRING (-8.4934148 40.894385, -8.4934527 40.894393, -8.4934837 40.8943942, -8.4935173 40.8943912, -8.4935474 40.8943855, -8.4935924 40.8943669, -8.4936225 40.8943506, -8.4936921 40.894305)",,,,
62574173,2,Avenida Doutor Renato Araújo,secondary,,True,False,318.946,"LINESTRING (-8.4934148 40.894385, -8.4934814 40.8944321, -8.4935067 40.8944657, -8.4935535 40.8945246, -8.4935769 40.8945965, -8.4935788 40.8946396, -8.4935623 40.8950428, -8.4934957 40.8953874, -8.4934232 40.8956835, -8.4931845 40.8965848, -8.4930727 40.8970937, -8.4930494 40.8971298, -8.4930146 40.8971686)",40,,,
1117624268,2,Avenida Doutor Renato Araújo,secondary,roundabout,True,False,11.62,"LINESTRING (-8.4934018 40.8941139, -8.4933227 40.8941996)",,,,
78314345,2,Rua Enedina Garcia,residential,,True,False,35.641999999999996,"LINESTRING (-8.4934018 40.8941139, -8.4932827 40.894046, -8.4931872 40.893971, -8.4931116 40.8938845)",,,,
237713095,2,Avenida Doutor Renato Araújo,secondary,roundabout,True,False,11.614,"LINESTRING (-8.4934992 40.8940402, -8.4934683 40.8940588, -8.4934018 40.8941139)",,,,
78314330,,Rua Padre António Maria Pinho,residential,,True,False,56.517,"LINESTRING (-8.493302 40.8942487, -8.4931916 40.8943373, -8.4931327 40.8943844, -8.492834 40.8946136)",,,,
1117624268,2,Avenida Doutor Renato Araújo,secondary,roundabout,True,False,18.676000000000002,"LINESTRING (-8.493302 40.8942487, -8.493305 40.8942718, -8.4933134 40.8942945, -8.4933288 40.8943197, -8.4933463 40.89434, -8.4933677 40.8943598, -8.4934148 40.894385)",,,,
1182556022,2,Avenida Doutor Renato Araújo,primary,roundabout,True,False,15.914000000000001,"LINESTRING (-8.4931737 40.8973483, -8.493199 40.8973116, -8.4932039 40.8972614, -8.4931789 40.8972136)",50,,,
62574205,2,Avenida da Liberdade,primary,roundabout,True,False,14.346,"LINESTRING (-8.4851247 40.8952422, -8.4850877 40.8952154, -8.4850293 40.8951994, -8.4849725 40.8951936)",50,,,
527530249,2,Rua Adelino Amaro da Costa,tertiary,,True,False,122.18900000000001,"LINESTRING (-8.4851247 40.8952422, -8.4851213 40.8951889, -8.485127 40.8951606, -8.4851371 40.8951341, -8.4851888 40.8950756, -8.4853136 40.8948942, -8.4853383 40.8948406, -8.485351 40.894783, -8.4853253 40.8946189, -8.485285 40.8943473, -8.485306 40.8942698, -8.4853376 40.8941917)",40,,,
1117622700,2,Avenida da Liberdade,primary,roundabout,True,False,19.701999999999998,"LINESTRING (-8.4866242 40.896534, -8.4866456 40.8965908, -8.4867058 40.8966284, -8.4867837 40.8966334)",50,EN 227,,
237713096,2,Avenida Doutor Renato Araújo,primary,roundabout,True,False,11.262,"LINESTRING (-8.4930146 40.8971686, -8.4929545 40.8971936, -8.4929174 40.8972343)",50,,,
1117622701,2,Avenida da Liberdade,primary,roundabout,True,False,6.826,"LINESTRING (-8.4851508 40.8955876, -8.4852313 40.8955795)",50,,,
62574211,2,Avenida da Liberdade,primary,roundabout,True,False,16.528,"LINESTRING (-8.4868861 40.8965268, -8.4868636 40.8964803, -8.4868142 40.8964477, -8.4867501 40.8964373)",50,,,
