osmid,highway,oneway,reversed,length,geometry,name,maxspeed,access,ref,junction
159101545,residential,False,False,208.11,"LINESTRING (-7.901286 40.5056835, -7.9012094 40.5051052, -7.9010748 40.5050943, -7.9008725 40.505105, -7.9008253 40.5051346, -7.9007737 40.5051669, -7.9007355 40.5053406, -7.9009138 40.5060882)",,,,,
159101545,residential,False,False,19.481,"LINESTRING (-7.9009138 40.5060882, -7.9009515 40.5061593, -7.9010131 40.506246)",,,,,
159101545,residential,False,True,208.11,"LINESTRING (-7.9009138 40.5060882, -7.9007355 40.5053406, -7.9007737 40.5051669, -7.9008253 40.5051346, -7.9008725 40.505105, -7.9010748 40.5050943, -7.9012094 40.5051052, -7.901286 40.5056835)",,,,,
808389054,residential,False,True,16.091,"LINESTRING (-7.9009138 40.5060882, -7.9009988 40.5061175, -7.9010958 40.5061173)",,,,,
219961998,tertiary,False,True,179.093,"LINESTRING (-7.8985224 40.5030719, -7.8972587 40.5043645)",Rua Dr. Abílio Monteiro,,,,
179488864,residential,False,True,255.93600000000004,"LINESTRING (-7.8985224 40.5030719, -7.8989319 40.5033702, -7.8991144 40.5034566, -7.8992174 40.5034949, -7.8992862 40.5035592, -7.8996228 40.5041569, -7.8996294 40.5042472, -7.8996247 40.5044371, -7.8995557 40.5050412)",Rua Maria Olívia Barbosa Reis,,,,
219961998,tertiary,False,False,245.183,"LINESTRING (-7.8985224 40.5030719, -7.8988873 40.5027269, -7.8991288 40.5025316, -7.9006184 40.5015571)",Rua Dr. Abílio Monteiro,,,,
372078038,tertiary,False,True,11.3,"LINESTRING (-7.9054002 40.5060442, -7.9052934 40.5059831)",Rua Doutor José Madeira Lobo,,,,
372078038,tertiary,False,False,222.735,"LINESTRING (-7.9054002 40.5060442, -7.9062855 40.5065232, -7.9064468 40.5066516, -7.9067062 40.5069271, -7.9068656 40.507163, -7.9070811 40.5075228)",Rua Doutor José Madeira Lobo,,,,
694327549,residential,False,True,174.119,"LINESTRING (-7.9054002 40.5060442, -7.9059595 40.5055124, -7.9062407 40.5053117, -7.9063279 40.5051909, -7.9064503 40.5050955, -7.9067611 40.5048788)",Travessa do Casal,,,,
372078038,tertiary,False,False,167.281,"LINESTRING (-7.9036638 40.5051299, -7.9052934 40.5059831)",Rua Doutor José Madeira Lobo,,,,
180851773,residential,False,True,113.93199999999999,"LINESTRING (-7.9036638 40.5051299, -7.9036036 40.5053308, -7.9035742 40.5055493, -7.9036141 40.5056589, -7.903733 40.5059296, -7.9038155 40.5061193)",Rua do Soito,,,,
372078038,tertiary,False,True,77.777,"LINESTRING (-7.9036638 40.5051299, -7.9036175 40.5050554, -7.9035787 40.5048773, -7.9036167 40.5046898, -7.9036998 40.5044512)",Rua Doutor José Madeira Lobo,,,,
372078038,tertiary,False,False,77.777,"LINESTRING (-7.9036998 40.5044512, -7.9036167 40.5046898, -7.9035787 40.5048773, -7.9036175 40.5050554, -7.9036638 40.5051299)",Rua Doutor José Madeira Lobo,,,,
372078038,tertiary,False,True,73.38499999999999,"LINESTRING (-7.9036998 40.5044512, -7.9036752 40.5041334, -7.9036653 40.5039657, -7.9037155 40.5037962)",Rua Doutor José Madeira Lobo,,,,
384397005,residential,False,True,49.026,"LINESTRING (-7.9036998 40.5044512, -7.9037456 40.504383, -7.903819 40.5042147, -7.9038584 40.5040301)",Rua do Carvalho,20,permissive,,
"[179486992, 372078041]",tertiary,False,False,337.77899999999994,"LINESTRING (-7.9044036 40.5009253, -7.904529 40.5011288, -7.904639 40.5013796, -7.9046739 40.5016081, -7.9046819 40.5018528, -7.9046524 40.5020873, -7.9045958 40.5022897, -7.9045129 40.5024259, -7.904247 40.5031582, -7.9041455 40.5032743, -7.9040841 40.5033313, -7.9037378 40.5036353, -7.9036971 40.5036777, -7.9037375 40.5037218)","['Largo Abreu Madeira', 'Avenida da Igreja']",,,,
179486992,tertiary,False,True,56.269000000000005,"LINESTRING (-7.9044036 40.5009253, -7.9042947 40.500769, -7.9041374 40.5006434, -7.9039909 40.5005346)",Avenida da Igreja,,,,
