osmid,oneway,ref,highway,reversed,length,geometry,junction,name,width
373416965,True,EM 312,secondary,False,87.889,"LINESTRING (-7.8480177 41.4724523, -7.8486988 41.4721674, -7.8489421 41.4720716)",,,
373416966,True,EM 312,secondary,False,6.529,"LINESTRING (-7.8513311 41.4710252, -7.8513147 41.4710519, -7.851311 41.4710811)",roundabout,,
373416968,True,EM 312,secondary,False,6.473,"LINESTRING (-7.8465766 41.4715753, -7.846578 41.4716335)",,,
157382689,False,EM 312,secondary,True,40.589,"LINESTRING (-7.8465766 41.4715753, -7.8465156 41.4715261, -7.846421 41.4714392, -7.846325 41.471392, -7.8462136 41.4713375)",,,
157382689,False,EM 312,secondary,False,40.589,"LINESTRING (-7.8462136 41.4713375, -7.846325 41.471392, -7.846421 41.4714392, -7.8465156 41.4715261, -7.8465766 41.4715753)",,,
157384206,False,,unclassified,True,63.536,"LINESTRING (-7.8462136 41.4713375, -7.8462298 41.471287, -7.8461457 41.4712147, -7.8456548 41.4710047)",,,
373416965,True,EM 312,secondary,False,16.789,"LINESTRING (-7.8478369 41.4725164, -7.8479079 41.472501, -7.8480177 41.4724523)",,,
373416971,True,CM 1135,tertiary,False,16.138,"LINESTRING (-7.8478369 41.4725164, -7.8478843 41.4725477, -7.8480021 41.4725898)",,,
157381131,False,,residential,True,154.55599999999998,"LINESTRING (-7.8496943 41.4702987, -7.8495701 41.4704579, -7.8491604 41.4709711, -7.8488125 41.4714092, -7.8487458 41.4714932)",,Rua 25 de Abril,
157384006,False,,residential,False,218.41400000000002,"LINESTRING (-7.8496943 41.4702987, -7.8494656 41.4702265, -7.8488715 41.4701027, -7.8487765 41.4701163, -7.8486883 41.4701712, -7.8481528 41.4712573)",,,
157384006,False,,residential,True,145.909,"LINESTRING (-7.8496943 41.4702987, -7.8498743 41.4703508, -7.8512306 41.4709257)",,,
157383984,False,,unclassified,True,189.829,"LINESTRING (-7.8457718 41.4706401, -7.846783 41.4708131, -7.847337 41.4706873, -7.8476053 41.4707716, -7.8476299 41.4708289, -7.8476232 41.4708782, -7.8476229 41.4710467)",,,
157384206,False,,unclassified,False,41.712,"LINESTRING (-7.8457718 41.4706401, -7.845739 41.4707244, -7.8456548 41.4710047)",,,
157384206,False,,unclassified,False,63.536,"LINESTRING (-7.8456548 41.4710047, -7.8461457 41.4712147, -7.8462298 41.471287, -7.8462136 41.4713375)",,,
157384206,False,,unclassified,True,41.712,"LINESTRING (-7.8456548 41.4710047, -7.845739 41.4707244, -7.8457718 41.4706401)",,,
157383984,False,,unclassified,False,189.829,"LINESTRING (-7.8476229 41.4710467, -7.8476232 41.4708782, -7.8476299 41.4708289, -7.8476053 41.4707716, -7.847337 41.4706873, -7.846783 41.4708131, -7.8457718 41.4706401)",,,
157384659,True,,residential,False,35.298,"LINESTRING (-7.8476229 41.4710467, -7.8474981 41.4710174, -7.8473402 41.4710201, -7.8472165 41.4710605)",,Avenida da Torre,
157384659,True,,residential,False,78.608,"LINESTRING (-7.8472165 41.4710605, -7.8466963 41.4715156, -7.8465766 41.4715753)",,Avenida da Torre,
373416316,True,,residential,False,72.83200000000001,"LINESTRING (-7.8472165 41.4710605, -7.847228 41.4711346, -7.8473913 41.4713054, -7.8476406 41.4715308, -7.8477302 41.4715696)",,,
157384659,True,,residential,False,49.976,"LINESTRING (-7.8481528 41.4712573, -7.8476229 41.4710467)",,Avenida da Torre,
157384006,False,,residential,True,218.41400000000002,"LINESTRING (-7.8481528 41.4712573, -7.8486883 41.4701712, -7.8487765 41.4701163, -7.8488715 41.4701027, -7.8494656 41.4702265, -7.8496943 41.4702987)",,,
157381131,False,,residential,False,154.55599999999998,"LINESTRING (-7.8487458 41.4714932, -7.8488125 41.4714092, -7.8491604 41.4709711, -7.8495701 41.4704579, -7.8496943 41.4702987)",,Rua 25 de Abril,
157384659,True,,residential,False,55.938,"LINESTRING (-7.8487458 41.4714932, -7.8482932 41.4713131, -7.8481528 41.4712573)",,Avenida da Torre,
157384659,True,,residential,False,78.274,"LINESTRING (-7.849576 41.4718227, -7.8493192 41.4717208, -7.8487458 41.4714932)",,Avenida da Torre,
373416967,False,EM 312,secondary,False,125.455,"LINESTRING (-7.849576 41.4718227, -7.8497629 41.4717442, -7.850898 41.4712826)",,,
