osmid,highway,oneway,reversed,length,geometry,ref,lanes,junction
120927350,tertiary,False,False,358.018,"LINESTRING (-8.4591032 39.7600495, -8.4591944 39.7584616, -8.459357 39.7581528, -8.4595769 39.7578, -8.4595643 39.7574153, -8.4596 39.7570513, -8.4596905 39.7569116)",,,
699481554,secondary,False,True,42.12,"LINESTRING (-8.4591032 39.7600495, -8.4590836 39.7601399, -8.4590991 39.7604268)",ER 356,,
699481555,secondary,False,False,277.033,"LINESTRING (-8.4591032 39.7600495, -8.4591718 39.7599642, -8.4604583 39.7586891, -8.4606673 39.7585234, -8.4609709 39.7583401, -8.4612412 39.7582013)",ER 356,,
699481555,secondary,False,False,19.421,"LINESTRING (-8.4623978 39.7579184, -8.4626064 39.7579876)",ER 356,,
164048226,residential,False,False,264.374,"LINESTRING (-8.4623978 39.7579184, -8.4623049 39.7577522, -8.4619884 39.7575254, -8.4614487 39.7572757, -8.4611623 39.7571253, -8.4607674 39.7568385, -8.4600831 39.7563835)",,,
699481555,secondary,False,True,109.22,"LINESTRING (-8.4623978 39.7579184, -8.4621333 39.7578808, -8.4619276 39.7578883, -8.4617774 39.757926, -8.4612412 39.7582013)",ER 356,,
101819142,secondary,False,False,10.708,"LINESTRING (-8.4596503 39.7622815, -8.4596203 39.762188)",ER 356,2,
101819142,secondary,False,True,234.641,"LINESTRING (-8.4596503 39.7622815, -8.4600396 39.7635541, -8.4601417 39.7637267, -8.4606431 39.7642037)",ER 356,2,
120474969,secondary,False,False,96.945,"LINESTRING (-8.4596503 39.7622815, -8.459987 39.7623269, -8.4607541 39.7624794)",,,
120474966,secondary,True,False,20.469,"LINESTRING (-8.461564 39.7626324, -8.4617607 39.7627374)",,,
120474969,secondary,False,True,71.298,"LINESTRING (-8.461564 39.7626324, -8.4612884 39.7625857, -8.4607541 39.7624794)",,,
120474962,secondary,True,False,19.906,"LINESTRING (-8.4617968 39.7626372, -8.461564 39.7626324)",,,
120474958,secondary,True,False,12.679000000000002,"LINESTRING (-8.4617968 39.7626372, -8.461784 39.7626444, -8.4617622 39.7626648, -8.4617508 39.7626897, -8.4617494 39.7627031, -8.4617553 39.762728, -8.4617607 39.7627374)",,,roundabout
120474958,secondary,True,False,6.925000000000001,"LINESTRING (-8.4619446 39.7626849, -8.4619237 39.7626529, -8.4618972 39.762636)",,,roundabout
120474958,secondary,True,False,6.257,"LINESTRING (-8.4617607 39.7627374, -8.4617852 39.7627606, -8.461815 39.7627737)",,,roundabout
120474961,secondary,True,False,15.824,"LINESTRING (-8.4619009 39.7627665, -8.4620807 39.7628004)",,,
120474958,secondary,True,False,10.429,"LINESTRING (-8.4619009 39.7627665, -8.4619227 39.7627523, -8.4619405 39.7627297, -8.4619472 39.7627029, -8.4619446 39.7626849)",,,roundabout
