osmid,lanes,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,width,tunnel,name
620076542,2,secondary,False,False,66.44800000000001,"LINESTRING (-7.8158159 37.0642022, -7.8153144 37.0643863, -7.815129 37.0644391)",,,,,,
1058789234,,residential,False,False,147.50599999999997,"LINESTRING (-7.8158159 37.0642022, -7.8160469 37.0644681, -7.8162038 37.0646319, -7.816413 37.0648743, -7.8164774 37.0649604, -7.8164885 37.0649692, -7.8165009 37.064977, -7.8165296 37.0649811, -7.8165586 37.0649823, -7.8166498 37.0649807, -7.8167041 37.0649845, -7.8167423 37.0650005, -7.8167577 37.0650198, -7.8167758 37.0650498, -7.8167852 37.0650813, -7.8167835 37.0651265, -7.8167587 37.0651683)",,,,,,
620076535,2,secondary,False,True,105.65299999999999,"LINESTRING (-7.8135891 37.0651402, -7.8133714 37.0653291, -7.8131967 37.0655219, -7.812932 37.0659256)",,,,,,
620076542,2,secondary,False,True,157.622,"LINESTRING (-7.8135891 37.0651402, -7.8137042 37.0650788, -7.8140416 37.0648989, -7.8143263 37.0647684, -7.814776 37.0645623, -7.815129 37.0644391)",,,,,,
635037247,2,tertiary,False,False,16.569,"LINESTRING (-7.8135891 37.0651402, -7.8135645 37.0651054, -7.8134963 37.0650109)",,,,,,
"[620081092, 620081093]","['1', '2']",primary,True,False,333.59299999999996,"LINESTRING (-7.8116439 37.0653244, -7.812031 37.0640725, -7.8121161 37.0637988, -7.812228 37.0632572, -7.8122878 37.0628292, -7.8123072 37.0623804)",EN 398,70,,,,
620076470,1,secondary,True,False,52.4,"LINESTRING (-7.812932 37.0659256, -7.8125426 37.0662799)",,,,,,
620076535,2,secondary,False,False,105.65299999999999,"LINESTRING (-7.812932 37.0659256, -7.8131967 37.0655219, -7.8133714 37.0653291, -7.8135891 37.0651402)",,,,,,
620076542,2,secondary,False,False,157.622,"LINESTRING (-7.815129 37.0644391, -7.814776 37.0645623, -7.8143263 37.0647684, -7.8140416 37.0648989, -7.8137042 37.0650788, -7.8135891 37.0651402)",,,,,,
620076542,2,secondary,False,True,66.44800000000001,"LINESTRING (-7.815129 37.0644391, -7.8153144 37.0643863, -7.8158159 37.0642022)",,,,,,
"[620081101, 620081103]",1,primary,True,False,199.89,"LINESTRING (-7.8111854 37.0670841, -7.8112638 37.0667147, -7.8116439 37.0653244)",EN 398,70,yes,,,
