osmid,oneway,name,highway,access,reversed,length,geometry,maxspeed,junction
135441242,False,Rua da Liberdade,residential,yes,False,53.226,"LINESTRING (-8.4119011 41.4369317, -8.4121252 41.4368633, -8.4125211 41.4368465)",,
176199020,False,Avenida Padre Benjamim Salgado,tertiary,yes,False,220.459,"LINESTRING (-8.4119011 41.4369317, -8.4121588 41.4373437, -8.4122595 41.4375228, -8.4123667 41.4377205, -8.4129032 41.4387656)",,
1168383803,False,Rua da Liberdade,tertiary,yes,True,58.039,"LINESTRING (-8.4119011 41.4369317, -8.4117492 41.4369595, -8.4115952 41.4369646, -8.4114673 41.4369472, -8.4112244 41.4368872)",,
1151959098,True,,residential,,False,10.18,"LINESTRING (-8.4160232 41.4360604, -8.4159048 41.4360828)",,
135441240,False,,residential,,True,84.802,"LINESTRING (-8.4160232 41.4360604, -8.4161497 41.4359061, -8.4164072 41.4355804, -8.4164769 41.4354638, -8.4165037 41.4353914)",,
135441240,False,,residential,,False,84.802,"LINESTRING (-8.4165037 41.4353914, -8.4164769 41.4354638, -8.4164072 41.4355804, -8.4161497 41.4359061, -8.4160232 41.4360604)",,
1168383803,False,Rua da Liberdade,tertiary,yes,False,58.039,"LINESTRING (-8.4112244 41.4368872, -8.4114673 41.4369472, -8.4115952 41.4369646, -8.4117492 41.4369595, -8.4119011 41.4369317)",,
167219016,False,,residential,,True,35.172,"LINESTRING (-8.4167172 41.4422869, -8.4163559 41.4424503)",,
167219019,False,Avenida Cristo Rei,residential,yes,False,90.362,"LINESTRING (-8.4167172 41.4422869, -8.4162439 41.4415558)",50,
176198964,False,Rua Padre Adão Salgado,residential,yes,True,107.418,"LINESTRING (-8.4167172 41.4422869, -8.4172184 41.4420739, -8.4178766 41.4418693)",,
176198983,False,,residential,,False,171.825,"LINESTRING (-8.4167172 41.4422869, -8.4169217 41.4426031, -8.4172343 41.4430665, -8.4174262 41.4433861, -8.417611 41.4436791)",,
167219019,False,Avenida Cristo Rei,residential,yes,True,149.114,"LINESTRING (-8.415075 41.4397493, -8.4158556 41.4409559)",50,
176199063,False,Rua do Divino Salvador,residential,yes,False,66.848,"LINESTRING (-8.415075 41.4397493, -8.4143131 41.4399369)",,
263290327,False,Rua do Divino Salvador,residential,yes,True,111.075,"LINESTRING (-8.415075 41.4397493, -8.4157304 41.4391354, -8.4158491 41.4389423)",,
263290317,False,Rua do Divino Salvador,residential,yes,True,57.015,"LINESTRING (-8.4158491 41.4389423, -8.4159327 41.4384334)",,
263290327,False,Rua do Divino Salvador,residential,yes,False,111.075,"LINESTRING (-8.4158491 41.4389423, -8.4157304 41.4391354, -8.415075 41.4397493)",,
263290373,False,,residential,,True,147.093,"LINESTRING (-8.4158491 41.4389423, -8.4165627 41.4392399, -8.4172759 41.4390952, -8.4173564 41.4392399)",,
