osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,width,maxspeed,bridge,junction,tunnel
75945243,True,2,EN 2,primary,False,27.282000000000004,"LINESTRING (-7.8070686 41.0992692, -7.8070214 41.0991155, -7.8069923 41.0990307)",,,,,,
879574551,True,1,,primary,False,31.918,"LINESTRING (-7.8087305 41.095497, -7.8087156 41.0956725, -7.8087099 41.0957308, -7.8086943 41.0957822)",Rua Alexandre Herculano,5,,,,
894651769,False,2,,primary,False,82.343,"LINESTRING (-7.8052653 41.0960539, -7.8059472 41.0965871)",Rua Macário de Castro,,,,,
894651769,False,2,,primary,True,82.343,"LINESTRING (-7.8059472 41.0965871, -7.8052653 41.0960539)",Rua Macário de Castro,,,,,
894651767,False,,,residential,True,58.672,"LINESTRING (-7.8059472 41.0965871, -7.8060585 41.0965147, -7.8064008 41.0963765, -7.8065582 41.0963397)",Rua Virgílio Correia,,,,,
894651769,False,2,,primary,False,83.94499999999998,"LINESTRING (-7.8059472 41.0965871, -7.8061113 41.0967194, -7.8065175 41.0970207, -7.8065451 41.0970411, -7.8065776 41.0970598, -7.8066138 41.0970722, -7.8066817 41.0970907)",Rua Macário de Castro,,,,,
46621337,False,,EN 226,primary,False,46.016999999999996,"LINESTRING (-7.8086901 41.0942809, -7.8084953 41.0942349, -7.8083019 41.0942032, -7.8081551 41.0941965)",,,,,,
122726583,False,,,residential,False,175.559,"LINESTRING (-7.8086901 41.0942809, -7.8086179 41.0943315, -7.8083748 41.0943443, -7.8082768 41.0943743, -7.8082194 41.0944179, -7.8082047 41.0945296, -7.8081968 41.0951543, -7.8082628 41.0953519, -7.80822 41.0954947, -7.8082511 41.0955843)",Rua da Mazeda,,,,,
46621337,False,,EN 226,primary,True,46.016999999999996,"LINESTRING (-7.8081551 41.0941965, -7.8083019 41.0942032, -7.8084953 41.0942349, -7.8086901 41.0942809)",,,,,,
127631658,False,,EN 226,primary,False,202.898,"LINESTRING (-7.8081551 41.0941965, -7.8081143 41.0941988, -7.8079534 41.0942299, -7.8069097 41.0945749, -7.8067315 41.0945988, -7.8058411 41.094655)",,,,,,
122726582,True,,,residential,False,32.846000000000004,"LINESTRING (-7.8056631 41.0946551, -7.8057979 41.0947298, -7.8060038 41.0947975)",Rua das Cameiras,,,,,
127631658,False,,EN 226,primary,True,14.933,"LINESTRING (-7.8056631 41.0946551, -7.8057974 41.0946578, -7.8058411 41.094655)",,,,,,
122727563,False,,,residential,False,25.691,"LINESTRING (-7.8115931 41.0997573, -7.8112865 41.0997577)",,,,,,
85784532,False,2,EM 226,primary,False,86.572,"LINESTRING (-7.8115931 41.0997573, -7.8111082 41.1000271, -7.8107619 41.1002197)",Avenida 5 de Outubro,,,,,
85784532,False,2,EM 226,primary,True,131.03300000000002,"LINESTRING (-7.8115931 41.0997573, -7.811627 41.0996937, -7.8116528 41.0995874, -7.8118071 41.0989531, -7.8117769 41.0988339, -7.8115852 41.0986478)",Avenida 5 de Outubro,,,,,
122726846,False,,,residential,True,256.451,"LINESTRING (-7.8115931 41.0997573, -7.8116781 41.0998742, -7.8119295 41.100043, -7.8120523 41.1000791, -7.8124291 41.1001444, -7.813434 41.1004937, -7.8141208 41.1006492, -7.8143222 41.1006769)",,,,,,
891948061,True,2,EM 226,primary,False,41.314,"LINESTRING (-7.8107619 41.1002197, -7.8103506 41.1004246)",Jardim da República,,,,,
85784532,False,2,EM 226,primary,True,86.572,"LINESTRING (-7.8107619 41.1002197, -7.8111082 41.1000271, -7.8115931 41.0997573)",Avenida 5 de Outubro,,,,,
122726847,True,,,residential,False,61.702999999999996,"LINESTRING (-7.8112078 41.1012831, -7.8113272 41.1012439, -7.8114236 41.1012122, -7.8115614 41.1012423, -7.8117571 41.1013963, -7.8118315 41.1013928)",,,,,,
122727964,True,,EM 539,tertiary,False,124.375,"LINESTRING (-7.8112078 41.1012831, -7.8111974 41.1011789, -7.8110302 41.1007999, -7.8109027 41.1004989, -7.8108157 41.1003264, -7.8107619 41.1002197)",Jardim da República,,,,,
122727838,True,1,EM 539,tertiary,False,148.95399999999998,"LINESTRING (-7.8102384 41.1015359, -7.8102697 41.1016137, -7.8102916 41.1016598, -7.8103342 41.1017602, -7.8105568 41.1022843, -7.8107286 41.102689, -7.8107615 41.1027462, -7.8107965 41.1028071)",,,,,,
127631681,False,,,residential,False,5.211,"LINESTRING (-7.8099395 41.1014245, -7.8098977 41.1014592)",Avenida Droutor António Osório da Mota,,,,,
89009010,True,,,residential,False,31.33,"LINESTRING (-7.8099395 41.1014245, -7.8100934 41.1014121, -7.8102384 41.1015359)",,,,,,
127631681,False,,,residential,False,15.695,"LINESTRING (-7.8089203 41.1023471, -7.8089632 41.1024845)",Avenida Droutor António Osório da Mota,,,,,
1000008536,True,,,residential,False,17.116,"LINESTRING (-7.8089203 41.1023471, -7.8087203 41.1023784)",,,,,,
127631681,False,,,residential,True,129.437,"LINESTRING (-7.8089203 41.1023471, -7.8089651 41.102234, -7.8098977 41.1014592)",Avenida Droutor António Osório da Mota,,,,,
122728230,False,,,residential,False,23.525,"LINESTRING (-7.8089632 41.1024845, -7.8087203 41.1023784)",,,,,,
127631681,False,,,residential,True,15.695,"LINESTRING (-7.8089632 41.1024845, -7.8089203 41.1023471)",Avenida Droutor António Osório da Mota,,,,,
122727656,False,2,EM 226,primary,True,23.109,"LINESTRING (-7.8093811 41.0999172, -7.8095118 41.1001002)",Rua Marquês de Pombal,,,,,
89009202,False,,EM 226,primary,False,43.368,"LINESTRING (-7.8093811 41.0999172, -7.8093063 41.0999572, -7.808959 41.1001429)",,7.5,,,,
122727784,True,,EM 226,primary,False,89.123,"LINESTRING (-7.8093811 41.0999172, -7.8094783 41.0998619, -7.8095588 41.0998161, -7.8096036 41.0997906, -7.8098156 41.0995739, -7.8098871 41.0993648, -7.8098979 41.0993334, -7.8099647 41.0992794)",Praça do Comércio,10,,,,
89009202,False,,EM 226,primary,True,38.828,"LINESTRING (-7.8085716 41.1003345, -7.808959 41.1001429)",,7.5,,,,
122727501,False,,,residential,False,42.184,"LINESTRING (-7.8085716 41.1003345, -7.8087021 41.1007009)",,,,,,
89009202,False,,EM 226,primary,False,38.828,"LINESTRING (-7.808959 41.1001429, -7.8085716 41.1003345)",,7.5,,,,
89009202,False,,EM 226,primary,True,43.368,"LINESTRING (-7.808959 41.1001429, -7.8093063 41.0999572, -7.8093811 41.0999172)",,7.5,,,,
122727503,False,,,residential,True,53.213,"LINESTRING (-7.808959 41.1001429, -7.8090964 41.1004693, -7.8092008 41.1005804)",,,,,,
995522138,False,,,residential,True,143.086,"LINESTRING (-7.808959 41.1001429, -7.8089148 41.0999576, -7.8090109 41.0999083, -7.8094239 41.0997265, -7.8093863 41.0996826, -7.8092526 41.0995252, -7.8091635 41.0994204, -7.8091867 41.0993768, -7.8091867 41.0992843, -7.8091172 41.0991465)",Rua do Castelo,,,,,
89982946,False,,,residential,True,87.628,"LINESTRING (-7.8153913 41.0954451, -7.8153466 41.0957025, -7.8156115 41.0961918)",,,,,,
122725937,True,,,residential,False,31.904,"LINESTRING (-7.8122996 41.0944495, -7.8120705 41.094392, -7.8119439 41.0943483)",Avenida Dom Jacinto Botelho,,,,,
127631417,False,2,,residential,False,382.625,"LINESTRING (-7.8122996 41.0944495, -7.8124863 41.094488, -7.8126236 41.0945414, -7.8128353 41.0946773, -7.813064 41.0948997, -7.8133676 41.0952208, -7.8137764 41.0956533, -7.8139105 41.095815, -7.814061 41.0960152, -7.8142011 41.0961559, -7.8144416 41.0962816, -7.8147129 41.0963379, -7.8149767 41.0963354, -7.8156857 41.0963287)",Avenida Dom Jacinto Botelho,,50,,,
89982933,False,2,,residential,True,383.073,"LINESTRING (-7.8118776 41.0978091, -7.8120232 41.0976782, -7.8121893 41.097529, -7.8123407 41.0974477, -7.8125462 41.0973786, -7.8133697 41.097385, -7.8144337 41.0973933, -7.8149024 41.097397, -7.8149669 41.0974171, -7.8153857 41.0975478, -7.8156646 41.0975428, -7.8157201 41.0975337, -7.815883 41.0975069, -7.8161313 41.0973889)",Rua de Fafel,,50,,,
96804839,True,,,residential,False,86.502,"LINESTRING (-7.8118776 41.0978091, -7.8116657 41.0980187, -7.8115828 41.0982028, -7.8115061 41.0983838, -7.8114748 41.098439, -7.8114355 41.0985024)",Rua de Fafel,,,,,
89982946,False,,,residential,False,16.443,"LINESTRING (-7.8156857 41.0963287, -7.8156115 41.0961918)",,,,,,
127631417,False,2,,residential,True,382.62499999999994,"LINESTRING (-7.8156857 41.0963287, -7.8149767 41.0963354, -7.8147129 41.0963379, -7.8144416 41.0962816, -7.8142011 41.0961559, -7.814061 41.0960152, -7.8139105 41.095815, -7.8137764 41.0956533, -7.8133676 41.0952208, -7.813064 41.0948997, -7.8128353 41.0946773, -7.8126236 41.0945414, -7.8124863 41.094488, -7.8122996 41.0944495)",Avenida Dom Jacinto Botelho,,50,,,
122726611,False,,,residential,True,30.009,"LINESTRING (-7.8102702 41.0961319, -7.8099949 41.0963045)",,,,,,
91041153,False,,,residential,False,70.8,"LINESTRING (-7.8102702 41.0961319, -7.8101358 41.0959908, -7.8098499 41.0956908, -7.8097774 41.0956147)",Rua Doutor Justino Pinto de Oliveira,,,,,
91041153,False,,,residential,True,64.295,"LINESTRING (-7.8102702 41.0961319, -7.8104814 41.0961497, -7.8110359 41.0961623)",Rua Doutor Justino Pinto de Oliveira,,,,,
127883027,False,,,residential,True,61.234,"LINESTRING (-7.8110359 41.0961623, -7.8110169 41.0967128)",Rua Doutor João da Silva Campos Neves,,,,,
91041153,False,,,residential,False,64.295,"LINESTRING (-7.8110359 41.0961623, -7.8104814 41.0961497, -7.8102702 41.0961319)",Rua Doutor Justino Pinto de Oliveira,,,,,
91041153,False,,,residential,True,111.84,"LINESTRING (-7.8110359 41.0961623, -7.8112569 41.0961645, -7.8115063 41.0962284, -7.8117416 41.0963497, -7.8119139 41.0964977, -7.8120522 41.0967016)",Rua Doutor Justino Pinto de Oliveira,,,,,
91041166,False,,,residential,True,56.784,"LINESTRING (-7.8137601 41.0968963, -7.8144243 41.0967951)",Rua Doutor Bernardo Pinheiro de Aragão,,,,,
91041159,False,,,residential,True,66.103,"LINESTRING (-7.8137601 41.0968963, -7.8135763 41.096871, -7.8129743 41.0968716)",,,,,,
91041166,False,,,residential,False,152.25900000000001,"LINESTRING (-7.8137601 41.0968963, -7.8135817 41.0970235, -7.8133119 41.0971497, -7.8131973 41.097173, -7.8129547 41.0972021, -7.8126404 41.0972297, -7.8122783 41.0972233, -7.8120716 41.0971917)",Rua Doutor Bernardo Pinheiro de Aragão,,,,,
91041153,False,,,residential,False,54.701,"LINESTRING (-7.8120716 41.0971917, -7.8120838 41.0968666, -7.8120522 41.0967016)",Rua Doutor Justino Pinto de Oliveira,,,,,
91041166,False,,,residential,False,42.479,"LINESTRING (-7.8120716 41.0971917, -7.8118839 41.0972181, -7.8116759 41.097315, -7.8116151 41.0973433)",Rua Doutor Bernardo Pinheiro de Aragão,,,,,
91041166,False,,,residential,True,152.25900000000001,"LINESTRING (-7.8120716 41.0971917, -7.8122783 41.0972233, -7.8126404 41.0972297, -7.8129547 41.0972021, -7.8131973 41.097173, -7.8133119 41.0971497, -7.8135817 41.0970235, -7.8137601 41.0968963)",Rua Doutor Bernardo Pinheiro de Aragão,,,,,
91041166,False,,,residential,False,56.784,"LINESTRING (-7.8144243 41.0967951, -7.8137601 41.0968963)",Rua Doutor Bernardo Pinheiro de Aragão,,,,,
91041174,False,,,residential,False,112.389,"LINESTRING (-7.8139543 41.0965756, -7.8136364 41.0966266, -7.8132579 41.096646, -7.8130832 41.0966508, -7.8129109 41.0966314, -7.8126315 41.0965794)",Rua Engenheiro Eugénio do Vale Teixeira Junior,,,,,
96805248,False,,,residential,False,35.404,"LINESTRING (-7.8116151 41.0973433, -7.8113572 41.0970911)",,,,,,
91041166,False,,,residential,False,90.944,"LINESTRING (-7.8116151 41.0973433, -7.8108379 41.0977753, -7.8107417 41.0978288)",Rua Doutor Bernardo Pinheiro de Aragão,,,,,
91041166,False,,,residential,True,42.479,"LINESTRING (-7.8116151 41.0973433, -7.8116759 41.097315, -7.8118839 41.0972181, -7.8120716 41.0971917)",Rua Doutor Bernardo Pinheiro de Aragão,,,,,
91041174,False,,,residential,False,50.958999999999996,"LINESTRING (-7.8126315 41.0965794, -7.8125403 41.0965744, -7.8124313 41.0965977, -7.8122445 41.0966489, -7.8120522 41.0967016)",Rua Engenheiro Eugénio do Vale Teixeira Junior,,,,,
91041174,False,,,residential,True,112.389,"LINESTRING (-7.8126315 41.0965794, -7.8129109 41.0966314, -7.8130832 41.0966508, -7.8132579 41.096646, -7.8136364 41.0966266, -7.8139543 41.0965756)",Rua Engenheiro Eugénio do Vale Teixeira Junior,,,,,
"[895250896, 895250893, 895250894]",False,2,,residential,False,269.44800000000004,"LINESTRING (-7.8126315 41.0965794, -7.8126577 41.0964826, -7.8126689 41.0964503, -7.8126867 41.096424, -7.8127137 41.0964002, -7.812761 41.09636, -7.8128266 41.0963044, -7.8128532 41.0962818, -7.8128728 41.0962428, -7.8128742 41.0961955, -7.812863 41.0961608, -7.8128345 41.096125, -7.8127965 41.0960849, -7.812292 41.0955512, -7.8122672 41.0955321, -7.8122467 41.0955211, -7.8122303 41.0955123, -7.8121676 41.0954918, -7.8112014 41.0952176, -7.8111526 41.0951978, -7.8111077 41.0951734, -7.8110675 41.0951447, -7.811018 41.0950927, -7.8109241 41.0949943)",Rua Dom Dinis,,50,yes,,
91041153,False,,,residential,False,111.84,"LINESTRING (-7.8120522 41.0967016, -7.8119139 41.0964977, -7.8117416 41.0963497, -7.8115063 41.0962284, -7.8112569 41.0961645, -7.8110359 41.0961623)",Rua Doutor Justino Pinto de Oliveira,,,,,
91041153,False,,,residential,True,54.701,"LINESTRING (-7.8120522 41.0967016, -7.8120838 41.0968666, -7.8120716 41.0971917)",Rua Doutor Justino Pinto de Oliveira,,,,,
