osmid,ref,highway,oneway,reversed,length,geometry,name,maxspeed,lanes,bridge
283779464,EN 10-3,primary,False,False,151.868,"LINESTRING (-9.0495528 38.6300371, -9.0496891 38.6302163, -9.0499332 38.6305, -9.0500772 38.6306633, -9.0505252 38.6311717)",,,,
880681034,,residential,False,False,59.371,"LINESTRING (-9.0495528 38.6300371, -9.0491578 38.6301681, -9.0489243 38.6302469)",,,,
74874360,,residential,False,True,34.001,"LINESTRING (-9.0422827 38.6349281, -9.0425159 38.6351737)",Rua da Estremadura,,,
172277237,,residential,False,False,40.076,"LINESTRING (-9.0422827 38.6349281, -9.0425594 38.6347845, -9.0426691 38.6347312)",Rua 15 Agosto,,,
110157438,,residential,False,False,157.00900000000001,"LINESTRING (-9.0484767 38.6371746, -9.0485114 38.6372159, -9.0490561 38.6378702, -9.0491235 38.6380309, -9.0492878 38.6384235)",Avenida dos Oceanos,50,,
112863487,,residential,False,False,165.512,"LINESTRING (-9.0484767 38.6371746, -9.0484068 38.6370956, -9.0480666 38.6367394, -9.0479086 38.6366224, -9.0478227 38.6365833, -9.047447 38.6364547, -9.047281 38.6363693, -9.0471271 38.6361795)",Avenida dos Oceanos,,,
112863489,,residential,False,True,39.589000000000006,"LINESTRING (-9.0484767 38.6371746, -9.048133 38.6373656, -9.0481053 38.637381)",Rua do Oceano Índico,,,
74874360,,residential,False,False,34.001,"LINESTRING (-9.0425159 38.6351737, -9.0422827 38.6349281)",Rua da Estremadura,,,
74874360,,residential,False,True,28.859,"LINESTRING (-9.0425159 38.6351737, -9.0427141 38.635382)",Rua da Estremadura,,,
75489577,,residential,False,False,45.471,"LINESTRING (-9.0428787 38.637815, -9.0423552 38.6378106)",Rua Primaveira,,,
76790345,,residential,False,False,40.977999999999994,"LINESTRING (-9.0428787 38.637815, -9.0429785 38.6378213, -9.0430315 38.6378507, -9.0431086 38.6379151, -9.0431751 38.6379834, -9.0432247 38.6380363)",Rua Beiras,,,
76790345,,residential,False,True,115.862,"LINESTRING (-9.0428787 38.637815, -9.042835 38.6368476, -9.042815 38.6367753)",Rua Beiras,,,
75489577,,residential,False,True,45.471,"LINESTRING (-9.0423552 38.6378106, -9.0428787 38.637815)",Rua Primaveira,,,
75489582,,residential,False,False,133.948,"LINESTRING (-9.0423552 38.6378106, -9.0424086 38.6366067)",Rua Amendoeiras,,,
443984169,,residential,False,True,85.376,"LINESTRING (-9.042815 38.6367753, -9.0436043 38.6363177)",,,,
76790345,,residential,False,False,115.862,"LINESTRING (-9.042815 38.6367753, -9.042835 38.6368476, -9.0428787 38.637815)",Rua Beiras,,,
74874360,,residential,False,False,204.773,"LINESTRING (-9.0450261 38.6377867, -9.0436043 38.6363177)",Rua da Estremadura,,,
112799193,,residential,False,True,40.239999999999995,"LINESTRING (-9.0450261 38.6377867, -9.0451933 38.6376921, -9.0453961 38.637569)",,,,
75489582,,residential,False,True,133.948,"LINESTRING (-9.0424086 38.6366067, -9.0423552 38.6378106)",Rua Amendoeiras,,,
110160460,EM 510,secondary,False,False,302.055,"LINESTRING (-9.0453961 38.637569, -9.0449965 38.6371518, -9.0444991 38.6366325, -9.0439518 38.6360436, -9.0436648 38.6357609, -9.043583 38.6356757, -9.0433128 38.6353942)",,,2,
112799193,,residential,False,False,40.239999999999995,"LINESTRING (-9.0453961 38.637569, -9.0451933 38.6376921, -9.0450261 38.6377867)",,,,
76790345,,residential,False,True,40.978,"LINESTRING (-9.0432247 38.6380363, -9.0431751 38.6379834, -9.0431086 38.6379151, -9.0430315 38.6378507, -9.0429785 38.6378213, -9.0428787 38.637815)",Rua Beiras,,,
972531876,,residential,False,False,60.852,"LINESTRING (-9.0432247 38.6380363, -9.043293 38.6380089, -9.0437946 38.6377192)",,,,
74874360,,residential,False,False,69.171,"LINESTRING (-9.0436043 38.6363177, -9.0431293 38.6358184)",Rua da Estremadura,,,
74874360,,residential,False,True,204.773,"LINESTRING (-9.0436043 38.6363177, -9.0450261 38.6377867)",Rua da Estremadura,,,
443984169,,residential,False,False,85.376,"LINESTRING (-9.0436043 38.6363177, -9.042815 38.6367753)",,,,
109490795,,residential,False,False,78.331,"LINESTRING (-9.0421913 38.6339837, -9.0428937 38.6335419)",Praceta António Gedeão,,,
109490797,,residential,False,False,59.84,"LINESTRING (-9.0428481 38.6346393, -9.0434 38.6343172)",Praceta Manuel Alegre,,,
109490797,,residential,False,True,59.84,"LINESTRING (-9.0434 38.6343172, -9.0428481 38.6346393)",Praceta Manuel Alegre,,,
