osmid,oneway,ref,name,highway,access,reversed,length,geometry,lanes,maxspeed,bridge
121922180,False,801,Avenida Central,tertiary,yes,True,69.631,"LINESTRING (-82.8519524 9.6251514, -82.8514638 9.6255515)",,,
121928900,False,,Calle Central,residential,,False,131.792,"LINESTRING (-82.8519524 9.6251514, -82.8527525 9.626036)",,,
121922180,False,801,Avenida Central,tertiary,yes,False,81.39,"LINESTRING (-82.8519524 9.6251514, -82.8522487 9.6249418, -82.8525487 9.6247155)",,,
572938016,False,,Calle 9,residential,,False,78.967,"LINESTRING (-82.8492326 9.6255674, -82.8491154 9.6262681)",,,
121922180,False,801,Avenida Central,tertiary,yes,False,109.48800000000001,"LINESTRING (-82.8492326 9.6255674, -82.8493425 9.6256188, -82.8494667 9.6256671, -82.8496276 9.6257676, -82.8497993 9.6259051, -82.8499871 9.6260743, -82.8500495 9.6261196)",,,
121928912,False,,Calle La Pera,residential,,False,42.236999999999995,"LINESTRING (-82.8557211 9.6240665, -82.8558624 9.6240776, -82.855961 9.6241085, -82.8560942 9.6241512)",,,
252550932,False,801,Avenida Central,tertiary,yes,False,27.939,"LINESTRING (-82.8557211 9.6240665, -82.8557783 9.6240053, -82.8558095 9.6239447, -82.8558315 9.623847)",2,40,
"[121922180, 252550931, 252550932]",False,801,Avenida Central,tertiary,yes,True,128.577,"LINESTRING (-82.8557211 9.6240665, -82.8554493 9.6240983, -82.8549883 9.6241569, -82.8546915 9.6241901, -82.8545567 9.6242045)",2,40,yes
121928913,False,,Calle 2,residential,,False,103.553,"LINESTRING (-82.8525487 9.6247155, -82.8531538 9.6254306)",,,
121922180,False,801,Avenida Central,tertiary,yes,False,59.422,"LINESTRING (-82.8525487 9.6247155, -82.8527685 9.6245632, -82.8529977 9.6244163)",,,
121922180,False,801,Avenida Central,tertiary,yes,True,81.39,"LINESTRING (-82.8525487 9.6247155, -82.8522487 9.6249418, -82.8519524 9.6251514)",,,
121928898,False,,Calle La Pera,residential,,False,44.425,"LINESTRING (-82.8558315 9.623847, -82.8560942 9.6241512)",,,
252550932,False,801,Avenida Central,tertiary,yes,True,27.939,"LINESTRING (-82.8558315 9.623847, -82.8558095 9.6239447, -82.8557783 9.6240053, -82.8557211 9.6240665)",2,40,
"[252550931, 121922180, 252550932]",False,801,Avenida Central,tertiary,yes,False,128.577,"LINESTRING (-82.8545567 9.6242045, -82.8546915 9.6241901, -82.8549883 9.6241569, -82.8554493 9.6240983, -82.8557211 9.6240665)",2,40,yes
121922180,False,801,Avenida Central,tertiary,yes,True,173.392,"LINESTRING (-82.8545567 9.6242045, -82.8535461 9.624282, -82.8531928 9.6243405, -82.8529977 9.6244163)",,,
121928905,False,,Calle 4,residential,,True,183.566,"LINESTRING (-82.8545567 9.6242045, -82.8545551 9.6247359, -82.8545631 9.6250082, -82.8545416 9.6251193, -82.8544424 9.6253626, -82.8542657 9.6256976, -82.8542019 9.6257676)",,,
121928897,False,,Avenida 1,residential,,True,77.222,"LINESTRING (-82.8527525 9.626036, -82.853344 9.6256589)",,,
121928900,False,,Calle Central,residential,,False,46.437,"LINESTRING (-82.8527525 9.626036, -82.8530226 9.6263577)",,,
121928900,False,,Calle Central,residential,,True,131.792,"LINESTRING (-82.8527525 9.626036, -82.8519524 9.6251514)",,,
121928897,False,,Avenida 1,residential,,False,77.222,"LINESTRING (-82.853344 9.6256589, -82.8527525 9.626036)",,,
121928913,False,,Calle 2,residential,,False,111.883,"LINESTRING (-82.853344 9.6256589, -82.8539918 9.6264364)",,,
121928913,False,,Calle 2,residential,,True,32.852,"LINESTRING (-82.853344 9.6256589, -82.8531538 9.6254306)",,,
121928905,False,,Calle 4,residential,,True,35.56,"LINESTRING (-82.8542019 9.6257676, -82.8539778 9.6259988)",,,
121928907,False,,Calle 2A,residential,,False,119.407,"LINESTRING (-82.8542019 9.6257676, -82.8532192 9.6253045)",,,
121928905,False,,Calle 4,residential,,False,183.56599999999997,"LINESTRING (-82.8542019 9.6257676, -82.8542657 9.6256976, -82.8544424 9.6253626, -82.8545416 9.6251193, -82.8545631 9.6250082, -82.8545551 9.6247359, -82.8545567 9.6242045)",,,
121928900,False,,Calle Central,residential,,True,52.709,"LINESTRING (-82.8533396 9.6267141, -82.8530226 9.6263577)",,,
622021914,False,,Avenida 3,residential,,False,77.883,"LINESTRING (-82.8533396 9.6267141, -82.8539918 9.6264364)",,,
906579896,False,,,residential,,False,87.504,"LINESTRING (-82.8533396 9.6267141, -82.8525956 9.6269991)",,,
366601568,False,,Calle Buenavista,residential,,False,270.908,"LINESTRING (-82.8533396 9.6267141, -82.8544313 9.6279405, -82.8549259 9.6285805)",,,
121922180,False,801,Avenida Central,tertiary,yes,False,69.631,"LINESTRING (-82.8514638 9.6255515, -82.8519524 9.6251514)",,,
121922180,False,801,Avenida Central,tertiary,yes,True,186.169,"LINESTRING (-82.8514638 9.6255515, -82.8507846 9.6261086, -82.8506352 9.6262099, -82.8504852 9.6262684, -82.850354 9.6262672, -82.8501921 9.6262063, -82.8500495 9.6261196)",,,
121928904,False,,Calle 1,residential,,False,123.98,"LINESTRING (-82.8514638 9.6255515, -82.8520078 9.6261882, -82.8521801 9.6264139)",,,
121928903,False,,Avenida 0A,residential,,True,15.748,"LINESTRING (-82.8532192 9.6253045, -82.8531538 9.6254306)",,,
121928907,False,,Calle 2A,residential,,True,119.407,"LINESTRING (-82.8532192 9.6253045, -82.8542019 9.6257676)",,,
"[428121613, 428121614]",False,,"['Calle 2A', 'Avenida 0A']",residential,,False,116.971,"LINESTRING (-82.8532192 9.6253045, -82.8533324 9.6249484, -82.8533441 9.6248759, -82.85335 9.6247782, -82.8533153 9.6247253, -82.8531308 9.6245904, -82.8529977 9.6244163)",,,
121928898,False,,Calle La Pera,residential,,True,44.425,"LINESTRING (-82.8560942 9.6241512, -82.8558315 9.623847)",,,
121928912,False,,Calle La Pera,residential,,True,42.237,"LINESTRING (-82.8560942 9.6241512, -82.855961 9.6241085, -82.8558624 9.6240776, -82.8557211 9.6240665)",,,
121922180,False,801,Avenida Central,tertiary,yes,False,173.392,"LINESTRING (-82.8529977 9.6244163, -82.8531928 9.6243405, -82.8535461 9.624282, -82.8545567 9.6242045)",,,
121922180,False,801,Avenida Central,tertiary,yes,True,59.422,"LINESTRING (-82.8529977 9.6244163, -82.8527685 9.6245632, -82.8525487 9.6247155)",,,
"[428121613, 428121614]",False,,"['Calle 2A', 'Avenida 0A']",residential,,True,116.971,"LINESTRING (-82.8529977 9.6244163, -82.8531308 9.6245904, -82.8533153 9.6247253, -82.85335 9.6247782, -82.8533441 9.6248759, -82.8533324 9.6249484, -82.8532192 9.6253045)",,,
121928905,False,,Calle 4,residential,,False,35.56,"LINESTRING (-82.8539778 9.6259988, -82.8542019 9.6257676)",,,
121928903,False,,Avenida 0A,residential,,False,15.748,"LINESTRING (-82.8531538 9.6254306, -82.8532192 9.6253045)",,,
121928913,False,,Calle 2,residential,,False,32.852,"LINESTRING (-82.8531538 9.6254306, -82.853344 9.6256589)",,,
121928913,False,,Calle 2,residential,,True,103.553,"LINESTRING (-82.8531538 9.6254306, -82.8525487 9.6247155)",,,
270445093,False,,Avenida 1,residential,,False,50.705,"LINESTRING (-82.8521801 9.6264139, -82.8518134 9.6266918)",,,
"[121928904, 270445094]",False,,"['Calle 1', 'Avenida 1A']",residential,,False,125.63300000000001,"LINESTRING (-82.8521801 9.6264139, -82.8524793 9.6267638, -82.8530226 9.6263577)",,,
121928904,False,,Calle 1,residential,,True,123.98,"LINESTRING (-82.8521801 9.6264139, -82.8520078 9.6261882, -82.8514638 9.6255515)",,,
270445093,False,,Avenida 1,residential,,True,50.705,"LINESTRING (-82.8518134 9.6266918, -82.8521801 9.6264139)",,,
121928900,False,,Calle Central,residential,,False,52.709,"LINESTRING (-82.8530226 9.6263577, -82.8533396 9.6267141)",,,
121928900,False,,Calle Central,residential,,True,46.437,"LINESTRING (-82.8530226 9.6263577, -82.8527525 9.626036)",,,
270445094,False,,Avenida 1A,residential,,False,33.206,"LINESTRING (-82.8530226 9.6263577, -82.8532488 9.6261591)",,,
"[121928904, 270445094]",False,,"['Calle 1', 'Avenida 1A']",residential,,True,125.63300000000001,"LINESTRING (-82.8530226 9.6263577, -82.8524793 9.6267638, -82.8521801 9.6264139)",,,
121928913,False,,Calle 2,residential,,True,111.883,"LINESTRING (-82.8539918 9.6264364, -82.853344 9.6256589)",,,
622021914,False,,Avenida 3,residential,,True,77.883,"LINESTRING (-82.8539918 9.6264364, -82.8533396 9.6267141)",,,
428121612,False,,Avenida 3,residential,,False,124.97699999999998,"LINESTRING (-82.8539918 9.6264364, -82.8540002 9.6264569, -82.8540571 9.626487, -82.8541425 9.626497, -82.854234 9.626483, -82.8543183 9.6264439, -82.854529 9.6263305, -82.8545923 9.6263001, -82.8546489 9.626304, -82.854701 9.6263078, -82.8547454 9.6263078, -82.8548071 9.6263135, -82.8548554 9.6263268, -82.8549017 9.6263477, -82.854948 9.6263763, -82.8549807 9.6263858, -82.8550463 9.6263839)",,,
121922180,False,801,Avenida Central,tertiary,yes,False,186.16899999999998,"LINESTRING (-82.8500495 9.6261196, -82.8501921 9.6262063, -82.850354 9.6262672, -82.8504852 9.6262684, -82.8506352 9.6262099, -82.8507846 9.6261086, -82.8514638 9.6255515)",,,
121922180,False,801,Avenida Central,tertiary,yes,True,109.488,"LINESTRING (-82.8500495 9.6261196, -82.8499871 9.6260743, -82.8497993 9.6259051, -82.8496276 9.6257676, -82.8494667 9.6256671, -82.8493425 9.6256188, -82.8492326 9.6255674)",,,
316592653,False,,Calle 7,residential,,False,81.43499999999999,"LINESTRING (-82.8500495 9.6261196, -82.8498506 9.626259, -82.849667 9.6263907, -82.8495209 9.6264962, -82.8494497 9.6265515)",,,
316592653,False,,Calle 7,residential,,True,81.435,"LINESTRING (-82.8494497 9.6265515, -82.8495209 9.6264962, -82.849667 9.6263907, -82.8498506 9.626259, -82.8500495 9.6261196)",,,
572938016,False,,Calle 9,residential,,True,78.967,"LINESTRING (-82.8491154 9.6262681, -82.8492326 9.6255674)",,,
906579896,False,,,residential,,True,86.109,"LINESTRING (-82.8518592 9.6272685, -82.8525956 9.6269991)",,,
906579896,False,,,residential,,False,86.109,"LINESTRING (-82.8525956 9.6269991, -82.8518592 9.6272685)",,,
906579896,False,,,residential,,True,87.504,"LINESTRING (-82.8525956 9.6269991, -82.8533396 9.6267141)",,,
622021915,False,,,residential,,False,218.02700000000002,"LINESTRING (-82.8525956 9.6269991, -82.8530148 9.627594, -82.8530265 9.6276677, -82.8530125 9.6277437, -82.8529705 9.6278242, -82.8529097 9.6279347, -82.8528841 9.6280268, -82.8528841 9.6281189, -82.8529214 9.6282156, -82.8529681 9.6282916, -82.8530358 9.6283514, -82.8531059 9.6283928, -82.8531993 9.6284366, -82.8534141 9.6284803)",,,
622021915,False,,,residential,,True,218.027,"LINESTRING (-82.8534141 9.6284803, -82.8531993 9.6284366, -82.8531059 9.6283928, -82.8530358 9.6283514, -82.8529681 9.6282916, -82.8529214 9.6282156, -82.8528841 9.6281189, -82.8528841 9.6280268, -82.8529097 9.6279347, -82.8529705 9.6278242, -82.8530125 9.6277437, -82.8530265 9.6276677, -82.8530148 9.627594, -82.8525956 9.6269991)",,,
428121612,False,,Avenida 3,residential,,True,124.97699999999999,"LINESTRING (-82.8550463 9.6263839, -82.8549807 9.6263858, -82.854948 9.6263763, -82.8549017 9.6263477, -82.8548554 9.6263268, -82.8548071 9.6263135, -82.8547454 9.6263078, -82.854701 9.6263078, -82.8546489 9.626304, -82.8545923 9.6263001, -82.854529 9.6263305, -82.8543183 9.6264439, -82.854234 9.626483, -82.8541425 9.626497, -82.8540571 9.626487, -82.8540002 9.6264569, -82.8539918 9.6264364)",,,
906584796,False,,,residential,,False,146.052,"LINESTRING (-82.8549259 9.6285805, -82.8542291 9.6297)",,,
366601568,False,,Calle Buenavista,residential,,True,270.908,"LINESTRING (-82.8549259 9.6285805, -82.8544313 9.6279405, -82.8533396 9.6267141)",,,
906584796,False,,,residential,,True,146.052,"LINESTRING (-82.8542291 9.6297, -82.8549259 9.6285805)",,,
270445094,False,,Avenida 1A,residential,,True,33.206,"LINESTRING (-82.8532488 9.6261591, -82.8530226 9.6263577)",,,
