osmid,oneway,name,highway,reversed,length,ref,lanes,maxspeed,geometry,bridge
335160580,True,Avenida Central Dominga Herrera,tertiary,False,100.446,,,,"LINESTRING (-84.4314513 10.323626, -84.4305337 10.3236586)",
369313545,True,Calle 2;Vía 141,secondary,False,94.627,141,,,"LINESTRING (-84.4314513 10.323626, -84.4314324 10.3227752)",
30102815,False,Avenida 11,residential,False,104.503,,,,"LINESTRING (-84.4307305 10.3291237, -84.4316851 10.3290878)",
718197412,True,Calle Central Neftalí Quesada,secondary,False,32.547,141,2,40,"LINESTRING (-84.4307305 10.3291237, -84.4307383 10.3294163)",
290408787,True,Avenida 3,residential,False,95.246,,,,"LINESTRING (-84.4315099 10.3253892, -84.43238 10.3253582)",
369313589,True,Calle 2,secondary,False,96.111,141,,,"LINESTRING (-84.4315099 10.3253892, -84.431485 10.3245252)",
70946385,False,Calle 5,residential,True,92.843,,,,"LINESTRING (-84.428275 10.3236108, -84.4283438 10.3231662, -84.4283332 10.3230672, -84.4282973 10.3227837)",
1220610954,False,Avenida Central Dominga Herrera,secondary,False,92.542,140,2,40,"LINESTRING (-84.428275 10.3236108, -84.4282066 10.3236242, -84.4279532 10.3238336, -84.4276201 10.3241243)",
"[369313547, 1220610954, 616620291]",False,Avenida Central Dominga Herrera,secondary,True,152.29,140,2,40,"LINESTRING (-84.428275 10.3236108, -84.4283442 10.3236206, -84.4284936 10.3236365, -84.42918 10.3237041, -84.4296617 10.3236849)",yes
37959602,True,Avenida 9,residential,False,102.628,,,,"LINESTRING (-84.4306915 10.3280357, -84.4316289 10.3279986)",
718197412,True,Calle Central Neftalí Quesada,secondary,False,101.24,141,2,40,"LINESTRING (-84.4306915 10.3280357, -84.4307181 10.3289458)",
37959602,True,Avenida 9,residential,False,94.136,,,,"LINESTRING (-84.4316289 10.3279986, -84.4324886 10.3279616)",
369313589,True,Calle 2,secondary,False,97.031,141,,,"LINESTRING (-84.4316289 10.3279986, -84.4315955 10.3271266)",
795579144,False,Avenida 9,residential,False,70.565,,,,"LINESTRING (-84.4324886 10.3279616, -84.4331329 10.3279309)",
298217801,False,Calle 4,residential,False,128.241,,,,"LINESTRING (-84.4324886 10.3279616, -84.4325161 10.3285442, -84.4325403 10.3286347, -84.43259 10.3287128, -84.4326594 10.328797, -84.4327072 10.3288637, -84.4327419 10.3289355, -84.4327804 10.3290439)",
298217801,False,Calle 4,residential,True,96.459,,,,"LINESTRING (-84.4324886 10.3279616, -84.4324633 10.3272529, -84.4324567 10.3270947)",
131171552,True,Calle Central Neftalí Quesada,residential,False,99.384,,2,40,"LINESTRING (-84.4305337 10.3236586, -84.4305664 10.3245518)",
298217807,False,Calle Central Neftalí Quesada,residential,False,94.93,,2,40,"LINESTRING (-84.4305337 10.3236586, -84.4304955 10.3228057)",
335160580,True,Avenida Central Dominga Herrera,tertiary,False,95.439,,,,"LINESTRING (-84.4305337 10.3236586, -84.4300693 10.3236704, -84.4296617 10.3236849)",
298217801,False,Calle 4,residential,True,96.002,,,,"LINESTRING (-84.4324193 10.3262207, -84.43238 10.3253582)",
298217801,False,Calle 4,residential,False,97.271,,,,"LINESTRING (-84.4324193 10.3262207, -84.4324542 10.3270332, -84.4324567 10.3270947)",
317288405,True,Avenida 5 Ricardo Quesada Cabezas,residential,False,95.381,,,,"LINESTRING (-84.4324193 10.3262207, -84.4318985 10.3262394, -84.4315481 10.3262551)",
"[184673164, 991351639]",False,"['Avenida 5 Ricardo Quesada Cabezas', 'Calle 6']",residential,"[False, True]",138.643,,,,"LINESTRING (-84.4324193 10.3262207, -84.4331089 10.3261961, -84.4331852 10.3262108, -84.4332227 10.3262873, -84.433255 10.3266926)",
131171558,True,Avenida 2,tertiary,False,102.549,,2,,"LINESTRING (-84.4304955 10.3228057, -84.4314324 10.3227752)",
298217807,False,Calle Central Neftalí Quesada,residential,True,94.93,,2,40,"LINESTRING (-84.4304955 10.3228057, -84.4305337 10.3236586)",
1220610954,False,Avenida Central Dominga Herrera,secondary,True,14.923,140,2,40,"LINESTRING (-84.427519 10.3242144, -84.4276201 10.3241243)",
"[397707296, 482580243, 710310051]",False,"['Avenida 1', 'Calle 5', 'Calle 3']",residential,True,278.69800000000004,,,,"LINESTRING (-84.427519 10.3242144, -84.4276722 10.3243912, -84.4277348 10.3243846, -84.4278276 10.324363, -84.428356 10.3242106, -84.428552 10.3242031, -84.4287718 10.3242071, -84.4288974 10.3242486, -84.4289896 10.3243302, -84.4290422 10.3244269, -84.4290661 10.324512, -84.4290712 10.3246816, -84.4290471 10.3248901, -84.4289822 10.3252215)",
718197411,False,Calle 1 Guillermo Quesada Rodríguez,secondary,False,97.445,141,2,40,"LINESTRING (-84.429692 10.3245771, -84.429726 10.3254528)",
718197411,False,Calle 1 Guillermo Quesada Rodríguez,secondary,True,99.26400000000001,141,2,40,"LINESTRING (-84.429692 10.3245771, -84.4296727 10.3240184, -84.4296617 10.3236849)",
131171557,True,Avenida  1,residential,False,100.533,,2,,"LINESTRING (-84.431485 10.3245252, -84.4305664 10.3245518)",
369313545,True,Calle 2;Vía 141,secondary,False,100.054,141,,,"LINESTRING (-84.431485 10.3245252, -84.4314683 10.3240786, -84.4314513 10.323626)",
298217801,False,Calle 4,residential,False,96.002,,,,"LINESTRING (-84.43238 10.3253582, -84.4324193 10.3262207)",
795603842,True,Calle 4,residential,False,95.488,,,,"LINESTRING (-84.43238 10.3253582, -84.4323716 10.3244995)",
558080707,False,Avenida 2,residential,False,104.932,,,,"LINESTRING (-84.4282973 10.3227837, -84.4273391 10.3228267)",
70946385,False,Calle 5,residential,False,92.84299999999999,,,,"LINESTRING (-84.4282973 10.3227837, -84.4283332 10.3230672, -84.4283438 10.3231662, -84.428275 10.3236108)",
"[184673149, 616620292, 616620293]",False,Avenida 2,residential,True,98.54700000000001,,,,"LINESTRING (-84.4282973 10.3227837, -84.4285646 10.3227901, -84.4289001 10.3228207, -84.4291962 10.3228362)",yes
616620286,False,Avenida Central Dominga Herrera,residential,False,64.645,,,,"LINESTRING (-84.4341701 10.3227802, -84.4347475 10.3226565)",
133299025,False,Calle 10,residential,True,148.879,,,,"LINESTRING (-84.4341701 10.3227802, -84.4342959 10.3232338, -84.4345128 10.3240759)",
184673149,False,Avenida 2,residential,True,46.734,,,,"LINESTRING (-84.4291962 10.3228362, -84.4296234 10.3228339)",
"[616620293, 616620292, 184673149]",False,Avenida 2,residential,False,98.547,,,,"LINESTRING (-84.4291962 10.3228362, -84.4289001 10.3228207, -84.4285646 10.3227901, -84.4282973 10.3227837)",yes
131171557,True,Avenida  1,residential,False,97.031,,2,,"LINESTRING (-84.4323716 10.3244995, -84.431485 10.3245252)",
133298070,False,Avenida 1,residential,False,64.815,,,,"LINESTRING (-84.4323716 10.3244995, -84.4326542 10.3244836, -84.4328007 10.3244612, -84.4329573 10.3244237)",
133298070,False,Avenida 1,residential,True,64.815,,,,"LINESTRING (-84.4329573 10.3244237, -84.4328007 10.3244612, -84.4326542 10.3244836, -84.4323716 10.3244995)",
369314123,False,Avenida 15,residential,False,73.87,,,,"LINESTRING (-84.4308207 10.3307691, -84.4314884 10.3306699)",
369314123,False,Avenida 15,residential,True,93.356,,,,"LINESTRING (-84.4308207 10.3307691, -84.4299839 10.3309339)",
369314123,False,Avenida 15,residential,True,73.87,,,,"LINESTRING (-84.4314884 10.3306699, -84.4308207 10.3307691)",
29101383,False,Calle 2,secondary,False,89.116,141,,,"LINESTRING (-84.4314884 10.3306699, -84.4314769 10.3305535, -84.4314981 10.3303958, -84.4316249 10.3298854)",
