osmid,highway,oneway,reversed,length,geometry,name,maxspeed,lanes
292166498,residential,False,True,220.055,"LINESTRING (24.6750962 54.7854786, 24.674848 54.7855393, 24.6744221 54.7855718, 24.674195 54.785578, 24.67207 54.7856783, 24.6716979 54.7856954)",Draugystės g.,50,
26241359,residential,False,True,213.003,"LINESTRING (24.6649423 54.784837, 24.6649662 54.7849916, 24.6649694 54.785144, 24.6650216 54.7856702, 24.6650314 54.7857603, 24.6650404 54.7859584, 24.6650783 54.7863924, 24.6650832 54.7864599, 24.6650883 54.7865315, 24.6650953 54.7866273, 24.6651041 54.78675)",Taikos g.,50,
292166498,residential,False,False,152.12500000000003,"LINESTRING (24.6649423 54.784837, 24.665144 54.7848228, 24.6656196 54.784794, 24.6657832 54.7847831, 24.6668762 54.7846952, 24.6670935 54.7846844, 24.6672982 54.784683)",Draugystės g.,50,
257575801,residential,False,True,94.27,"LINESTRING (24.6725798 54.783645, 24.6720488 54.7840106, 24.6719668 54.7840637, 24.6716889 54.7842226, 24.6715817 54.7842635)",,,
307405149,tertiary,False,False,129.228,"LINESTRING (24.675265 54.7884714, 24.6752872 54.7885904, 24.6752965 54.7886401, 24.6754154 54.7892766, 24.6754271 54.7893392, 24.6754763 54.7896029, 24.6754808 54.7896269)",,50,2
"[1270589673, 204022809]",tertiary,False,True,138.862,"LINESTRING (24.675265 54.7884714, 24.6750005 54.7884941, 24.6749079 54.7885032, 24.6742004 54.7885722, 24.6731287 54.7886768)",Sabališkių g.,50,"['2', '3']"
307405152,tertiary,False,True,88.092,"LINESTRING (24.6782422 54.7895031, 24.6777101 54.789517, 24.6773692 54.7895282, 24.6768701 54.7895445)",,50,1
307405152,tertiary,False,False,21.127,"LINESTRING (24.6754808 54.7896269, 24.6758086 54.7896075)",,50,1
307405149,tertiary,False,True,129.22799999999998,"LINESTRING (24.6754808 54.7896269, 24.6754763 54.7896029, 24.6754271 54.7893392, 24.6754154 54.7892766, 24.6752965 54.7886401, 24.6752872 54.7885904, 24.675265 54.7884714)",,50,2
307405152,tertiary,False,True,129.70600000000002,"LINESTRING (24.6754808 54.7896269, 24.6751934 54.789644, 24.6746738 54.7896772, 24.6741365 54.7897217, 24.6739599 54.7897422, 24.673481 54.7897976)",,50,1
307405152,tertiary,False,False,129.70600000000002,"LINESTRING (24.673481 54.7897976, 24.6739599 54.7897422, 24.6741365 54.7897217, 24.6746738 54.7896772, 24.6751934 54.789644, 24.6754808 54.7896269)",,50,1
307405150,motorway_link,True,False,65.378,"LINESTRING (24.6725055 54.7899689, 24.673481 54.7897976)",,120,1
307405152,tertiary,False,True,68.416,"LINESTRING (24.6768701 54.7895445, 24.6758086 54.7896075)",,50,1
307405152,tertiary,False,False,88.09199999999998,"LINESTRING (24.6768701 54.7895445, 24.6773692 54.7895282, 24.6777101 54.789517, 24.6782422 54.7895031)",,50,1
307405152,tertiary,False,False,68.416,"LINESTRING (24.6758086 54.7896075, 24.6768701 54.7895445)",,50,1
307405152,tertiary,False,True,21.127,"LINESTRING (24.6758086 54.7896075, 24.6754808 54.7896269)",,50,1
336952422,tertiary_link,True,False,15.264,"LINESTRING (24.6758086 54.7896075, 24.6758803 54.7894766)",,,
461163585,tertiary_link,True,False,18.326999999999998,"LINESTRING (24.6766458 54.7894425, 24.676743 54.789483, 24.6768701 54.7895445)",,,
292166498,residential,False,False,220.055,"LINESTRING (24.6716979 54.7856954, 24.67207 54.7856783, 24.674195 54.785578, 24.6744221 54.7855718, 24.674848 54.7855393, 24.6750962 54.7854786)",Draugystės g.,50,
292166498,residential,False,True,46.235,"LINESTRING (24.6716979 54.7856954, 24.6716144 54.7856993, 24.671167 54.7857173, 24.6709784 54.7857121)",Draugystės g.,50,
1245037569,residential,False,False,159.394,"LINESTRING (24.6716979 54.7856954, 24.6716873 54.785579, 24.6716831 54.785527, 24.6715817 54.7842635)",Draugystės g.,50,
257575801,residential,False,False,94.27,"LINESTRING (24.6715817 54.7842635, 24.6716889 54.7842226, 24.6719668 54.7840637, 24.6720488 54.7840106, 24.6725798 54.783645)",,,
257575801,residential,False,True,367.281,"LINESTRING (24.6715817 54.7842635, 24.6715521 54.7842748, 24.6714523 54.7843045, 24.6713531 54.7843133, 24.6712477 54.7843001, 24.6711729 54.7842772, 24.6711058 54.7842367, 24.6710432 54.7841821, 24.6709064 54.7840175, 24.6707638 54.7838458, 24.6706707 54.7837455, 24.6705913 54.7836953, 24.6704768 54.7836539, 24.6703455 54.7836407, 24.670215 54.7836486, 24.670057 54.7836803, 24.6697979 54.783795, 24.6697567 54.7838132, 24.6693992 54.7839838, 24.66912 54.7840846, 24.6688597 54.784169, 24.6686466 54.7842321, 24.6685899 54.7842489, 24.668343 54.7843114, 24.6679649 54.7843793, 24.6677041 54.7844122, 24.6675727 54.7844288, 24.6672425 54.7844735, 24.6672702 54.7845627, 24.6672982 54.784683)",,,
1245037569,residential,False,True,159.39400000000003,"LINESTRING (24.6715817 54.7842635, 24.6716831 54.785527, 24.6716873 54.785579, 24.6716979 54.7856954)",Draugystės g.,50,
