osmid,name,highway,oneway,reversed,length,ref,geometry,lanes
113081990,P. Cvirkos g.,residential,False,True,30.999,,"LINESTRING (24.9949346 54.1685076, 24.9945457 54.1686685)",
113337832,Rodūnės g.,primary,False,False,18.079,105,"LINESTRING (24.9949346 54.1685076, 24.99516 54.1684126)",
113337829,,residential,False,False,298.22999999999996,,"LINESTRING (24.9949346 54.1685076, 24.9945241 54.1680368, 24.994413 54.1678281, 24.9942854 54.1674888, 24.9942183 54.167225, 24.994179 54.167159, 24.994081 54.1670965, 24.9939859 54.1670377, 24.9938485 54.1669387, 24.9937534 54.1667995, 24.9933203 54.1660328)",
113337832,Rodūnės g.,primary,False,True,156.464,105,"LINESTRING (24.9949346 54.1685076, 24.9953064 54.1690246, 24.9953263 54.1690512, 24.9958164 54.1697108, 24.9958819 54.1698008)",
25431086,Vilniaus g.,primary,False,False,67.54,105,"LINESTRING (24.9959614 54.1699102, 24.9963713 54.1704682)",
113337832,Rodūnės g.,primary,False,False,13.22,105,"LINESTRING (24.9959614 54.1699102, 24.9958819 54.1698008)",
113081293,Malūno g.,residential,False,True,51.361000000000004,,"LINESTRING (24.9959614 54.1699102, 24.995473 54.1700438, 24.9953081 54.170118, 24.9952767 54.1701343)",
113337832,Rodūnės g.,primary,False,True,417.359,105,"LINESTRING (25.0001298 54.166045, 25.0000562 54.1660942, 24.9997348 54.1662804, 24.9961333 54.167959, 24.9951952 54.1683962, 24.99516 54.1684126)",
839729216,Naujojo Plano g.,secondary,False,True,13.254,3916,"LINESTRING (25.0001298 54.166045, 25.0002205 54.1660685, 25.0003232 54.1660795)",2
113081293,Malūno g.,residential,False,False,61.028999999999996,,"LINESTRING (24.9945448 54.170477, 24.9951101 54.1702206, 24.9952767 54.1701343)",
113081293,Malūno g.,residential,False,True,129.95,,"LINESTRING (24.9945448 54.170477, 24.9932357 54.1708296, 24.9927191 54.170949)",
113081300,Vytauto g.,residential,False,True,158.36100000000002,,"LINESTRING (24.9945448 54.170477, 24.9950613 54.1716819, 24.9951352 54.1718586)",
113081293,Malūno g.,residential,False,False,129.95,,"LINESTRING (24.9927191 54.170949, 24.9932357 54.1708296, 24.9945448 54.170477)",
113081995,Gegužės 3-osios g.,residential,False,False,28.217,,"LINESTRING (24.9958819 54.1698008, 24.9962622 54.169679)",
