osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,tunnel
103187298,3,Aušros al.,secondary,50,False,False,54.852,"LINESTRING (23.3081027 55.9383473, 23.3087039 55.9379868)",,
"[864277936, 953967513]",3,Aušros al.,secondary,"['50', '30']",False,False,117.601,"LINESTRING (23.3150581 55.9343413, 23.3151245 55.9343042, 23.3153841 55.9341589, 23.3156384 55.9340166, 23.3163884 55.9335908)",,
"[953967512, 99246541]","['2', '3']",Dvaro g.,secondary,50,False,False,301.204,"LINESTRING (23.3150581 55.9343413, 23.3151204 55.9343751, 23.3155475 55.9346272, 23.3159396 55.9348899, 23.3160413 55.9349626, 23.3163073 55.935137, 23.316457 55.9352355, 23.3169472 55.9355858, 23.3170087 55.9356225, 23.3173363 55.9358597, 23.3174457 55.9359353, 23.3175208 55.9359896, 23.3176858 55.9361145, 23.3177572 55.9361654, 23.3180713 55.9364053, 23.3181134 55.9364379)",,
"[953967514, 153198163]",3,Dvaro g.,residential,30,False,True,581.943,"LINESTRING (23.3150581 55.9343413, 23.3147459 55.9341721, 23.314529 55.9340545, 23.3139806 55.9337572, 23.3138752 55.9337001, 23.31321 55.9333409, 23.3130374 55.9332477, 23.3128464 55.9331445, 23.3124277 55.9329179, 23.3120902 55.9327354, 23.3120021 55.9326878, 23.3115781 55.9324582, 23.3108355 55.9320555, 23.3107684 55.9320208, 23.3101616 55.9316919, 23.3099305 55.9315667, 23.3096421 55.9314104, 23.3091132 55.931122, 23.3086892 55.9308908, 23.3085134 55.9307949, 23.3083435 55.9307023)",,
"[864278825, 864278826, 953967515, 864277935]","['4', '3', '2']",Aušros al.,secondary,"['50', '30']",False,True,294.09,"LINESTRING (23.3150581 55.9343413, 23.3142968 55.934787, 23.3141204 55.9348903, 23.3140497 55.9349317, 23.3135245 55.9352391, 23.3132719 55.935387, 23.3128681 55.9356234, 23.3124101 55.9358864, 23.3118899 55.9361851, 23.3117822 55.936246)",,
38594143,,Aušros tak.,residential,,False,False,34.479,"LINESTRING (23.3190013 55.9320827, 23.3194471 55.9322665)",,
129801965,3,Aušros al.,residential,30,False,True,108.947,"LINESTRING (23.3190013 55.9320827, 23.3188904 55.9321456, 23.3185696 55.9323276, 23.3183533 55.9324503, 23.3178922 55.9327124, 23.3177724 55.9327799)",,
"[1018248072, 928907702]",,Vasario 16-osios g.,residential,30,False,True,100.35900000000001,"LINESTRING (23.3190013 55.9320827, 23.3185153 55.9318316, 23.3180282 55.9315727, 23.3178348 55.9314604)",,
38594143,,Aušros tak.,residential,,False,True,34.479,"LINESTRING (23.3194471 55.9322665, 23.3190013 55.9320827)",,
1168490038,2,Vytauto g.,trunk,50,True,False,120.40500000000002,"LINESTRING (23.3099011 55.9300611, 23.3093009 55.9303082, 23.3084156 55.9306726, 23.3083435 55.9307023)",A11,
