osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,access,tunnel
37406831,5103,Kudirkos Naumiesčio g.,secondary,50,False,False,523.261,"LINESTRING (22.7573736 54.6420063, 22.754827 54.6418621, 22.7546324 54.6418511, 22.7525483 54.6417331, 22.7508773 54.6416307, 22.7504146 54.6416003, 22.7492844 54.6415259)",,,,
122404927,5130,Dariaus ir Girėno g.,secondary,50,False,True,101.149,"LINESTRING (22.7573736 54.6420063, 22.7573769 54.6421103, 22.7573721 54.6423553, 22.7573834 54.6424869, 22.7574129 54.6426002, 22.7574693 54.6427151, 22.757578 54.6428995)",2,,,
136214789,,Draugystės g.,residential,,False,False,158.605,"LINESTRING (22.7492844 54.6415259, 22.7500154 54.6428881)",,,,
37406831,5103,Kudirkos Naumiesčio g.,secondary,50,False,False,35.097,"LINESTRING (22.7492844 54.6415259, 22.7488778 54.6415086, 22.7487404 54.641503)",,,,
37406831,5103,Kudirkos Naumiesčio g.,secondary,50,False,True,523.261,"LINESTRING (22.7492844 54.6415259, 22.7504146 54.6416003, 22.7508773 54.6416307, 22.7525483 54.6417331, 22.7546324 54.6418511, 22.754827 54.6418621, 22.7573736 54.6420063)",,,,
122404927,5130,Dariaus ir Girėno g.,secondary,50,False,False,9.076,"LINESTRING (22.7582657 54.644057, 22.7582189 54.64398)",2,,,
122404927,5130,Dariaus ir Girėno g.,secondary,50,False,True,61.092,"LINESTRING (22.7582657 54.644057, 22.7585624 54.6445789)",2,,,
"[287110564, 187099150]","['A7', '27А-006']",27А-006,trunk,,False,True,24.124,"LINESTRING (22.7439445 54.6417208, 22.7439263 54.6417077, 22.7438462 54.6416502, 22.7437092 54.6415519)",2,yes,,
"[633014664, 633014665, 161735603]",A7,,trunk,,True,False,223.711,"LINESTRING (22.7439445 54.6417208, 22.7444126 54.6418827, 22.7446344 54.641956, 22.7449861 54.642072, 22.7451079 54.6421121, 22.7451377 54.6421227, 22.7452215 54.6421507, 22.7453053 54.6421787, 22.7455684 54.6422688, 22.7457186 54.6422837, 22.7458354 54.6422675, 22.7459431 54.6422305, 22.7460396 54.6421701, 22.7461837 54.6420514, 22.7462729 54.6419542, 22.7463032 54.6419168, 22.7464384 54.6417739, 22.7466967 54.6417452)",2,,yes,building_passage
"[287110564, 187099150]","['A7', '27А-006']",27А-006,trunk,,False,False,24.124,"LINESTRING (22.7437092 54.6415519, 22.7438462 54.6416502, 22.7439263 54.6417077, 22.7439445 54.6417208)",2,yes,,
256432279,,Darvino g.,residential,,False,True,25.11,"LINESTRING (22.7567913 54.6381238, 22.7569138 54.6383382)",,,,
256432279,,Darvino g.,residential,,False,False,133.869,"LINESTRING (22.7575775 54.6394792, 22.7575007 54.6393472, 22.7569859 54.6384622, 22.7569138 54.6383382)",,,,
"[1158400201, 1158400203, 1158400198]",A7,J. Basanavičiaus g.,trunk,50,False,False,140.39000000000001,"LINESTRING (22.7575775 54.6394792, 22.7572555 54.6395474, 22.7571321 54.6395735, 22.75633 54.6397475, 22.7556269 54.6399, 22.7555331 54.6399199)","['2', '3']",,,
256432279,,Darvino g.,residential,,False,False,25.11,"LINESTRING (22.7569138 54.6383382, 22.7567913 54.6381238)",,,,
256432279,,Darvino g.,residential,,False,True,133.869,"LINESTRING (22.7569138 54.6383382, 22.7569859 54.6384622, 22.7575007 54.6393472, 22.7575775 54.6394792)",,,,
256432284,,Mindaugo g.,residential,,False,False,146.013,"LINESTRING (22.7555331 54.6399199, 22.755428 54.6397738, 22.7550315 54.6392222, 22.7546924 54.6387503, 22.7546616 54.6387075)",,,,
1158400202,A7,J. Basanavičiaus g.,trunk,50,False,False,149.113,"LINESTRING (22.7555331 54.6399199, 22.7554302 54.6399402, 22.7537017 54.6402777, 22.7533421 54.6403561)",2,,,
