osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,maxspeed,bridge,junction
84835034,Palangos g.,residential,False,True,14.933,,"LINESTRING (21.9205811 55.7197736, 21.9204482 55.7198851)",,,,
143238874,Žemaičių g.,primary,False,True,46.778999999999996,197,"LINESTRING (21.9205811 55.7197736, 21.9202016 55.7197543, 21.9198395 55.7197248)",,,,
166821144,,primary,False,True,452.727,197,"LINESTRING (21.9205811 55.7197736, 21.9208802 55.7197811, 21.9212246 55.7197854, 21.9215126 55.7197837, 21.9217979 55.7197754, 21.9220725 55.7197618, 21.9223464 55.7197453, 21.9232298 55.7196842, 21.9234486 55.7196676, 21.9277617 55.719353)",,,,
"[261384032, 261384033, 1266115322]",Plungės g.,primary,False,False,163.51299999999998,164,"LINESTRING (21.9284917 55.7270244, 21.9286318 55.7268947, 21.9296218 55.7259783, 21.9296804 55.7259244, 21.9297502 55.7258598, 21.9298491 55.7257682)",2,50,yes,
84725321,Oginskių g.,residential,False,True,280.274,,"LINESTRING (21.9298491 55.7257682, 21.9299304 55.7257916, 21.9300116 55.725815, 21.9312234 55.7257822, 21.9337805 55.7257271, 21.9342993 55.7256995)",,50,,
261384032,Plungės g.,primary,False,False,27.891,164,"LINESTRING (21.9298491 55.7257682, 21.9299636 55.7256607, 21.9300782 55.7255531)",2,50,,
"[261384032, 261384033, 1266115322]",Plungės g.,primary,False,True,163.513,164,"LINESTRING (21.9298491 55.7257682, 21.9297502 55.7258598, 21.9296804 55.7259244, 21.9296218 55.7259783, 21.9286318 55.7268947, 21.9284917 55.7270244)",2,50,yes,
84726855,Paupio g.,residential,False,True,117.55000000000001,,"LINESTRING (21.9300782 55.7255531, 21.9299868 55.7255296, 21.9296281 55.7254373, 21.9292738 55.7253456, 21.9283716 55.7251128)",,,,
261384032,Plungės g.,primary,False,False,130.312,164,"LINESTRING (21.9300782 55.7255531, 21.9302441 55.7253975, 21.9305639 55.7251028, 21.9306029 55.7250654, 21.9307109 55.7249596, 21.930961 55.7247292, 21.9311484 55.7245481)",2,50,,
261384032,Plungės g.,primary,False,True,27.891,164,"LINESTRING (21.9300782 55.7255531, 21.9299636 55.7256607, 21.9298491 55.7257682)",2,50,,
261384032,Plungės g.,primary,False,False,52.421,164,"LINESTRING (21.9316736 55.7239571, 21.9316757 55.7237217, 21.9316703 55.723543, 21.9316686 55.7234857)",2,50,,
261384032,Plungės g.,primary,False,True,74.142,164,"LINESTRING (21.9316736 55.7239571, 21.9316492 55.7240368, 21.931628 55.7240849, 21.9315646 55.7241498, 21.9314525 55.7242644, 21.9313157 55.7243888, 21.9312501 55.7244498, 21.9311484 55.7245481)",2,50,,
838387060,Laisvės a.,residential,False,True,32.422,,"LINESTRING (21.9316736 55.7239571, 21.9318882 55.7239587, 21.9321913 55.7239607)",,50,,
