osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,junction,lanes,tunnel,access
2783786,True,A1,Route de la Liberation,trunk_link,30 mph,False,177.186,"LINESTRING (-2.1126544 49.183385, -2.1128795 49.1835105, -2.1129049 49.183526, -2.113222 49.1836901, -2.1134884 49.1838504, -2.1137559 49.18404, -2.1139413 49.1842405, -2.1140294 49.1843689, -2.1141054 49.1845023, -2.1141006 49.1846033)",,,,
332931794,True,A1,Route de la Liberation,trunk,30 mph,False,35.254999999999995,"LINESTRING (-2.1126544 49.183385, -2.1126561 49.1834484, -2.1126293 49.1835094, -2.1125765 49.1835625, -2.1125022 49.1836033, -2.1124129 49.1836281)",roundabout,,,
905380365,True,A1,Route de la Liberation,trunk,30 mph,False,16.134,"LINESTRING (-2.1121659 49.1832348, -2.1122699 49.1832095, -2.1123809 49.1832083)",roundabout,,,
332931795,False,,Esplanade,secondary,20 mph,True,33.31,"LINESTRING (-2.1111887 49.1843095, -2.111059 49.1842333, -2.1108479 49.1841092)",,,,
905380364,False,B92,Castle Street,secondary,20 mph,True,33.394999999999996,"LINESTRING (-2.1111887 49.1843095, -2.1112415 49.1842689, -2.1114029 49.1841529, -2.1114942 49.1840852)",,3,,
938432606,False,B92,Castle Street,secondary,20 mph,True,44.168,"LINESTRING (-2.1111887 49.1843095, -2.1110675 49.1843838, -2.1107454 49.1845812)",,4,,
"[166551657, 940075348]",False,,Esplanade,secondary,20 mph,True,66.404,"LINESTRING (-2.1111887 49.1843095, -2.1113425 49.1844023, -2.1117463 49.184646, -2.11186 49.1847146)",,"['2', '3']",,
866390792,True,A1,Route de la Liberation,trunk_link,30 mph,False,130.708,"LINESTRING (-2.1120059 49.1834514, -2.1117854 49.183378, -2.1104341 49.1828805)",,,,
946974742,True,A1,Route de la Liberation,trunk,30 mph,False,28.287999999999997,"LINESTRING (-2.1120059 49.1834514, -2.1120062 49.1833878, -2.1120351 49.1833271, -2.1120899 49.1832745, -2.1121659 49.1832348)",roundabout,,,
905380366,True,A1,Route de la Liberation,trunk,30 mph,False,8.767,"LINESTRING (-2.1120447 49.1835257, -2.11202 49.1834897, -2.1120059 49.1834514)",roundabout,,,
332939584,True,A9,Gloucester Street,trunk,,False,13.139,"LINESTRING (-2.1143959 49.1861272, -2.1145551 49.1860712)",,2,,
2783810,True,A1,La Route de La Liberation,trunk,30 mph,False,44.925000000000004,"LINESTRING (-2.1143959 49.1861272, -2.1142651 49.1859622, -2.1142115 49.185874, -2.1141559 49.1857562)",,3,,
8048246,True,B92,Castle Street,secondary,20 mph,False,21.905,"LINESTRING (-2.1122502 49.1836284, -2.1121211 49.1836708, -2.1119826 49.183719)",,1,,
946974743,True,A1,Route de la Liberation,trunk,30 mph,False,19.266000000000002,"LINESTRING (-2.1122502 49.1836284, -2.1121682 49.1836068, -2.112098 49.1835717, -2.1120447 49.1835257)",roundabout,,,
333042041,True,A1,Esplanade,trunk,30 mph,False,7.48,"LINESTRING (-2.1168477 49.1876377, -2.1167673 49.1875957)",,3,,
2783783,True,,,tertiary,30 mph,False,18.146,"LINESTRING (-2.1166857 49.187398, -2.1167098 49.1874917, -2.1167056 49.1875225, -2.1166921 49.1875587)",,1,,
8048259,True,,Esplanade,primary,30 mph,False,29.149,"LINESTRING (-2.1166857 49.187398, -2.116791 49.1875454, -2.1168477 49.1876377)",,1,,
8048328,True,,La Route du Port Elizabeth,unclassified,,False,17.974,"LINESTRING (-2.1135142 49.1817878, -2.1136412 49.1816491)",,,,
2783800,True,,,tertiary,30 mph,False,10.151,"LINESTRING (-2.1135142 49.1817878, -2.1135603 49.1817835, -2.1136063 49.1817881, -2.1136484 49.1818011)",roundabout,,,
2783800,True,,,tertiary,30 mph,False,18.978,"LINESTRING (-2.1134104 49.1819247, -2.1134002 49.1818912, -2.113407 49.1818574, -2.1134302 49.1818268, -2.1134673 49.1818027, -2.1135142 49.1817878)",roundabout,,,
2783750,False,B92,Castle Street,secondary,20 mph,False,54.021,"LINESTRING (-2.1119826 49.183719, -2.1117192 49.1839192, -2.1114942 49.1840852)",,2,,
8048247,True,B92,Castle Street,secondary,20 mph,False,21.963,"LINESTRING (-2.1119826 49.183719, -2.1120138 49.1836224, -2.1120447 49.1835257)",,2,,
2783800,True,,,tertiary,30 mph,False,6.495,"LINESTRING (-2.1136484 49.1818011, -2.1136816 49.1818206, -2.1137053 49.1818454)",roundabout,,,
8048326,True,,La Route du Port Elizabeth,unclassified,,False,16.91,"LINESTRING (-2.1136412 49.1816491, -2.1136484 49.1818011)",,,,
866390790,True,A1,La Route de La Liberation,trunk,30 mph,False,1.892,"LINESTRING (-2.1141006 49.1846033, -2.1141056 49.18462)",,3,,
2783800,True,,,tertiary,30 mph,False,20.777,"LINESTRING (-2.1136484 49.1819744, -2.1136053 49.1819876, -2.1135581 49.181992, -2.113511 49.1819871, -2.1134683 49.1819733, -2.1134338 49.1819518, -2.1134104 49.1819247)",roundabout,,,
