osmid,oneway,highway,access,reversed,length,ref,geometry,bridge
375500682,False,residential,yes,True,126.944,,"LINESTRING (48.8067796 -19.8960147, 48.8055656 -19.8960297)",
570713452,False,tertiary,,False,70.819,N 11a,"LINESTRING (48.8067796 -19.8960147, 48.8073503 -19.8963577)",
570713452,False,tertiary,,True,54.174,N 11a,"LINESTRING (48.8079843 -19.8967146, 48.8075267 -19.8964861)",
570713452,False,tertiary,,False,54.709,N 11a,"LINESTRING (48.8079843 -19.8967146, 48.8081313 -19.8968565, 48.8082893 -19.8971101)",
375500679,False,residential,yes,False,118.353,,"LINESTRING (48.8092272 -19.8998966, 48.8095326 -19.9009215)",
570675397,False,tertiary,,True,58.317,N 11a,"LINESTRING (48.8092272 -19.8998966, 48.8090491 -19.8993996)",
1030425317,False,tertiary,,False,38.451,N 11a,"LINESTRING (48.8092272 -19.8998966, 48.8095935 -19.8998659)",
375500679,False,residential,yes,True,62.217,,"LINESTRING (48.8092272 -19.8998966, 48.8093344 -19.9000394, 48.8094508 -19.9000819, 48.8095348 -19.9000284, 48.8095496 -19.8999812, 48.8095669 -19.8999244, 48.8095935 -19.8998659)",
375500676,False,residential,yes,False,155.522,,"LINESTRING (48.8055656 -19.8960297, 48.8058089 -19.8974095)",
375500682,False,residential,yes,False,126.944,,"LINESTRING (48.8055656 -19.8960297, 48.8067796 -19.8960147)",
375500675,False,residential,,False,29.156,,"LINESTRING (48.8073503 -19.8963577, 48.8074106 -19.8966137)",
570713452,False,tertiary,,False,23.324,N 11a,"LINESTRING (48.8073503 -19.8963577, 48.8075267 -19.8964861)",
570713452,False,tertiary,,True,70.819,N 11a,"LINESTRING (48.8073503 -19.8963577, 48.8067796 -19.8960147)",
375500683,False,residential,yes,True,83.228,,"LINESTRING (48.8082893 -19.8971101, 48.8075016 -19.8972179)",
570675397,False,tertiary,,False,105.172,N 11a,"LINESTRING (48.8082893 -19.8971101, 48.8086277 -19.8980008)",
570713452,False,tertiary,,True,54.709,N 11a,"LINESTRING (48.8082893 -19.8971101, 48.8081313 -19.8968565, 48.8079843 -19.8967146)",
375500675,False,residential,,True,67.854,,"LINESTRING (48.8075016 -19.8972179, 48.8074106 -19.8966137)",
375500683,False,residential,yes,False,83.228,,"LINESTRING (48.8075016 -19.8972179, 48.8082893 -19.8971101)",
375500683,False,residential,yes,True,178.262,,"LINESTRING (48.8075016 -19.8972179, 48.8058089 -19.8974095)",
375500675,False,residential,,False,88.086,,"LINESTRING (48.8075016 -19.8972179, 48.8075411 -19.8972541, 48.8076269 -19.89799)",
375500676,False,residential,yes,False,97.881,,"LINESTRING (48.8058089 -19.8974095, 48.8059825 -19.8982745)",
375500676,False,residential,yes,True,155.522,,"LINESTRING (48.8058089 -19.8974095, 48.8055656 -19.8960297)",
375500683,False,residential,yes,False,178.262,,"LINESTRING (48.8058089 -19.8974095, 48.8075016 -19.8972179)",
375500675,False,residential,,False,35.463,,"LINESTRING (48.8076269 -19.89799, 48.8076857 -19.8983041)",
375500670,False,residential,yes,False,140.716,,"LINESTRING (48.8076269 -19.89799, 48.8073233 -19.8980397, 48.8063051 -19.8982278)",
375500675,False,residential,,True,88.086,,"LINESTRING (48.8076269 -19.89799, 48.8075411 -19.8972541, 48.8075016 -19.8972179)",
375500659,False,residential,yes,False,104.106,,"LINESTRING (48.8086277 -19.8980008, 48.8076857 -19.8983041)",
570675397,False,tertiary,,False,76.193,N 11a,"LINESTRING (48.8086277 -19.8980008, 48.8088325 -19.8986584)",
570675397,False,tertiary,,True,105.172,N 11a,"LINESTRING (48.8086277 -19.8980008, 48.8082893 -19.8971101)",
375500662,False,residential,yes,False,99.718,,"LINESTRING (48.8063051 -19.8982278, 48.8066037 -19.8990795)",
375500670,False,residential,yes,False,34.127,,"LINESTRING (48.8063051 -19.8982278, 48.8059825 -19.8982745)",
375500670,False,residential,yes,True,140.716,,"LINESTRING (48.8063051 -19.8982278, 48.8073233 -19.8980397, 48.8076269 -19.89799)",
375500659,False,residential,yes,True,104.106,,"LINESTRING (48.8076857 -19.8983041, 48.8086277 -19.8980008)",
375500675,False,residential,,False,60.39,,"LINESTRING (48.8076857 -19.8983041, 48.8077654 -19.898842)",
375500675,False,residential,,True,35.463,,"LINESTRING (48.8076857 -19.8983041, 48.8076269 -19.89799)",
375500670,False,residential,yes,False,129.536,,"LINESTRING (48.8059825 -19.8982745, 48.8047614 -19.8984713)",
375500670,False,residential,yes,True,34.127,,"LINESTRING (48.8059825 -19.8982745, 48.8063051 -19.8982278)",
375500676,False,residential,yes,True,97.881,,"LINESTRING (48.8059825 -19.8982745, 48.8058089 -19.8974095)",
375500676,False,residential,yes,False,104.977,,"LINESTRING (48.8059825 -19.8982745, 48.8059801 -19.898401, 48.8061457 -19.8992036)",
375500661,False,residential,,False,115.738,,"LINESTRING (48.8047614 -19.8984713, 48.8049592 -19.8994954)",
375500670,False,residential,yes,True,129.536,,"LINESTRING (48.8047614 -19.8984713, 48.8059825 -19.8982745)",
570675397,False,tertiary,,False,48.27,N 11a,"LINESTRING (48.8088325 -19.8986584, 48.8089536 -19.8990773)",
570675397,False,tertiary,,True,76.193,N 11a,"LINESTRING (48.8088325 -19.8986584, 48.8086277 -19.8980008)",
375500657,False,residential,yes,False,113.428,,"LINESTRING (48.8088325 -19.8986584, 48.8083989 -19.898729, 48.8077654 -19.898842)",
375500675,False,residential,,True,60.39,,"LINESTRING (48.8077654 -19.898842, 48.8076857 -19.8983041)",
375500657,False,residential,yes,False,124.605,,"LINESTRING (48.8077654 -19.898842, 48.807663 -19.8988406, 48.8066037 -19.8990795)",
375500657,False,residential,yes,True,113.428,,"LINESTRING (48.8077654 -19.898842, 48.8083989 -19.898729, 48.8088325 -19.8986584)",
