osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,width
231289404,Main Road,primary,40,False,False,358.1460000000001,"LINESTRING (172.9817273 1.3294081, 172.9808881 1.3293843, 172.9799722 1.3293482, 172.97949 1.3293285, 172.9793571 1.3293398, 172.9792227 1.3293742, 172.9790948 1.3294078, 172.9789905 1.3294617, 172.9787021 1.3296084, 172.9785826 1.3296767)",,,
335697020,Beach Road,residential,30,False,True,209.363,"LINESTRING (172.9817273 1.3294081, 172.9816835 1.3295563, 172.9815164 1.3296306, 172.9812694 1.3296992, 172.9811092 1.3297281, 172.9808313 1.3297783, 172.9803895 1.3298611, 172.9801903 1.3299006, 172.9800974 1.3299873, 172.9800844 1.330031, 172.980079 1.3300493)",1,,
865394590,Stadium Road,residential,30,False,False,86.975,"LINESTRING (172.9749198 1.3319462, 172.9749888 1.3317739, 172.9750256 1.3316673, 172.9750197 1.3316286, 172.9748356 1.3312238)",2,,
335697020,Beach Road,residential,30,False,False,423.882,"LINESTRING (172.9759444 1.3307929, 172.9779204 1.3305511, 172.9791488 1.3304814, 172.9795006 1.3304581, 172.9797309 1.3303928)",1,,
335697020,Beach Road,residential,30,False,True,133.674,"LINESTRING (172.9759444 1.3307929, 172.9757166 1.3309609, 172.9748356 1.3312238)",1,,
335697743,,residential,,False,False,96.119,"LINESTRING (172.9759444 1.3307929, 172.9759342 1.3303406, 172.9759153 1.3302415, 172.9758101 1.3299487)",,,
90807012,Stadium Road,residential,30,False,True,605.562,"LINESTRING (172.9785826 1.3296767, 172.9785321 1.3293221, 172.9784848 1.3292005, 172.9783631 1.3291059, 172.9781722 1.3290333, 172.9778167 1.3289126, 172.9774192 1.3286068, 172.9770146 1.3283984, 172.976839 1.3283643, 172.9766402 1.3283444, 172.976142 1.3283837, 172.9759726 1.3283932, 172.9756738 1.3283786, 172.9754246 1.3282874, 172.9747098 1.3277061, 172.974412 1.3276605, 172.9739964 1.3277811)",2,,
231289404,Main Road,primary,40,False,False,318.022,"LINESTRING (172.9785826 1.3296767, 172.9784561 1.3297529, 172.978349 1.329816, 172.9781502 1.3298306, 172.977155 1.3298137, 172.9765095 1.3297242, 172.9762764 1.3297495, 172.9761564 1.3297867, 172.9758101 1.3299487)",,,
231289404,Main Road,primary,40,False,True,358.14599999999996,"LINESTRING (172.9785826 1.3296767, 172.9787021 1.3296084, 172.9789905 1.3294617, 172.9790948 1.3294078, 172.9792227 1.3293742, 172.9793571 1.3293398, 172.97949 1.3293285, 172.9799722 1.3293482, 172.9808881 1.3293843, 172.9817273 1.3294081)",,,
90807010,,residential,65,False,False,97.06899999999999,"LINESTRING (172.9739964 1.3277811, 172.9738194 1.3278294, 172.9736558 1.3278401, 172.9734466 1.3277811, 172.9733521 1.3278096, 172.9733272 1.3278452, 172.9732891 1.3278997, 172.9732939 1.3279993)",2,yes,2
90807012,Stadium Road,residential,30,False,False,605.5620000000001,"LINESTRING (172.9739964 1.3277811, 172.974412 1.3276605, 172.9747098 1.3277061, 172.9754246 1.3282874, 172.9756738 1.3283786, 172.9759726 1.3283932, 172.976142 1.3283837, 172.9766402 1.3283444, 172.976839 1.3283643, 172.9770146 1.3283984, 172.9774192 1.3286068, 172.9778167 1.3289126, 172.9781722 1.3290333, 172.9783631 1.3291059, 172.9784848 1.3292005, 172.9785321 1.3293221, 172.9785826 1.3296767)",2,,
90807012,Stadium Road,residential,30,False,True,159.911,"LINESTRING (172.9739964 1.3277811, 172.9742378 1.3283577, 172.9743423 1.3291031, 172.9743466 1.3291633)",2,,
335697020,Beach Road,residential,30,False,False,209.363,"LINESTRING (172.980079 1.3300493, 172.9800844 1.330031, 172.9800974 1.3299873, 172.9801903 1.3299006, 172.9803895 1.3298611, 172.9808313 1.3297783, 172.9811092 1.3297281, 172.9812694 1.3296992, 172.9815164 1.3296306, 172.9816835 1.3295563, 172.9817273 1.3294081)",1,,
335697020,Beach Road,residential,30,False,True,62.139,"LINESTRING (172.980079 1.3300493, 172.9800075 1.3302906, 172.9799591 1.3303397, 172.9798829 1.3303788, 172.9797309 1.3303928)",1,,
335697021,MFED Road,residential,,False,False,95.47399999999999,"LINESTRING (172.980079 1.3300493, 172.9799461 1.3299515, 172.9798731 1.3299279, 172.9797076 1.3299472, 172.9796926 1.3299837, 172.9797309 1.3303928)",,,
335697020,Beach Road,residential,30,False,False,62.139,"LINESTRING (172.9797309 1.3303928, 172.9798829 1.3303788, 172.9799591 1.3303397, 172.9800075 1.3302906, 172.980079 1.3300493)",1,,
335697021,MFED Road,residential,,False,True,95.47399999999999,"LINESTRING (172.9797309 1.3303928, 172.9796926 1.3299837, 172.9797076 1.3299472, 172.9798731 1.3299279, 172.9799461 1.3299515, 172.980079 1.3300493)",,,
335697020,Beach Road,residential,30,False,True,423.882,"LINESTRING (172.9797309 1.3303928, 172.9795006 1.3304581, 172.9791488 1.3304814, 172.9779204 1.3305511, 172.9759444 1.3307929)",1,,
"[231289404, 865394591]",Main Road,primary,40,False,False,143.251,"LINESTRING (172.9758101 1.3299487, 172.9755883 1.3300395, 172.9751278 1.3301964, 172.974695 1.3303533, 172.9745966 1.3303804)",,,
231289404,Main Road,primary,40,False,True,318.022,"LINESTRING (172.9758101 1.3299487, 172.9761564 1.3297867, 172.9762764 1.3297495, 172.9765095 1.3297242, 172.977155 1.3298137, 172.9781502 1.3298306, 172.978349 1.329816, 172.9784561 1.3297529, 172.9785826 1.3296767)",,,
335697743,,residential,,False,True,96.119,"LINESTRING (172.9758101 1.3299487, 172.9759153 1.3302415, 172.9759342 1.3303406, 172.9759444 1.3307929)",,,
390382289,,residential,,False,False,126.553,"LINESTRING (172.9754796 1.3290523, 172.9743466 1.3291633)",,,
90807012,Stadium Road,residential,30,False,True,41.511,"LINESTRING (172.9743466 1.3291633, 172.9744076 1.3295316)",2,,
390382289,,residential,,False,True,126.553,"LINESTRING (172.9743466 1.3291633, 172.9754796 1.3290523)",,,
90807012,Stadium Road,residential,30,False,False,159.911,"LINESTRING (172.9743466 1.3291633, 172.9743423 1.3291031, 172.9742378 1.3283577, 172.9739964 1.3277811)",2,,
90807012,Stadium Road,residential,30,False,False,41.511,"LINESTRING (172.9744076 1.3295316, 172.9743466 1.3291633)",2,,
90807012,Stadium Road,residential,30,False,True,53.346999999999994,"LINESTRING (172.9744076 1.3295316, 172.9744252 1.3296653, 172.9744636 1.3298848, 172.974496 1.3300025)",2,,
472769477,,unclassified,,False,False,175.90699999999998,"LINESTRING (172.9744076 1.3295316, 172.9747805 1.3294596, 172.9748448 1.3294757, 172.9749038 1.3295186, 172.9749682 1.3295668, 172.9750219 1.329607, 172.9759311 1.3294971)",,,
472769477,,unclassified,,False,True,175.907,"LINESTRING (172.9759311 1.3294971, 172.9750219 1.329607, 172.9749682 1.3295668, 172.9749038 1.3295186, 172.9748448 1.3294757, 172.9747805 1.3294596, 172.9744076 1.3295316)",,,
335697020,Beach Road,residential,30,False,False,133.674,"LINESTRING (172.9748356 1.3312238, 172.9757166 1.3309609, 172.9759444 1.3307929)",1,,
865394590,Stadium Road,residential,30,False,False,97.65100000000001,"LINESTRING (172.9748356 1.3312238, 172.9748082 1.3311636, 172.974788 1.3311208, 172.9746812 1.3307002, 172.9745966 1.3303804)",2,,
865394590,Stadium Road,residential,30,False,True,86.975,"LINESTRING (172.9748356 1.3312238, 172.9750197 1.3316286, 172.9750256 1.3316673, 172.9749888 1.3317739, 172.9749198 1.3319462)",2,,
865394591,Main Road,primary,40,False,True,53.371,"LINESTRING (172.9741338 1.3305081, 172.9745966 1.3303804)",,,
1144333296,,unclassified,,False,False,75.868,"LINESTRING (172.9741338 1.3305081, 172.9742834 1.3304417, 172.9743912 1.3303669, 172.9744424 1.3303029, 172.9744686 1.3301972, 172.974496 1.3300025)",,,
90807012,Stadium Road,residential,30,False,False,53.346999999999994,"LINESTRING (172.974496 1.3300025, 172.9744636 1.3298848, 172.9744252 1.3296653, 172.9744076 1.3295316)",2,,
"[90807012, 865394590]",Stadium Road,residential,30,False,True,43.485,"LINESTRING (172.974496 1.3300025, 172.974541 1.3301665, 172.9745741 1.3302955, 172.9745966 1.3303804)",2,,
1144333296,,unclassified,,False,True,75.868,"LINESTRING (172.974496 1.3300025, 172.9744686 1.3301972, 172.9744424 1.3303029, 172.9743912 1.3303669, 172.9742834 1.3304417, 172.9741338 1.3305081)",,,
865394591,Main Road,primary,40,False,False,53.371,"LINESTRING (172.9745966 1.3303804, 172.9741338 1.3305081)",,,
"[90807012, 865394590]",Stadium Road,residential,30,False,False,43.485,"LINESTRING (172.9745966 1.3303804, 172.9745741 1.3302955, 172.974541 1.3301665, 172.974496 1.3300025)",2,,
865394590,Stadium Road,residential,30,False,True,97.651,"LINESTRING (172.9745966 1.3303804, 172.9746812 1.3307002, 172.974788 1.3311208, 172.9748082 1.3311636, 172.9748356 1.3312238)",2,,
"[231289404, 865394591]",Main Road,primary,40,False,True,143.251,"LINESTRING (172.9745966 1.3303804, 172.974695 1.3303533, 172.9751278 1.3301964, 172.9755883 1.3300395, 172.9758101 1.3299487)",,,
90807010,,residential,65,False,True,97.069,"LINESTRING (172.9732939 1.3279993, 172.9732891 1.3278997, 172.9733272 1.3278452, 172.9733521 1.3278096, 172.9734466 1.3277811, 172.9736558 1.3278401, 172.9738194 1.3278294, 172.9739964 1.3277811)",2,yes,2
