osmid,highway,oneway,reversed,length,geometry,ref,name,lanes
48571975,residential,False,False,90.791,"LINESTRING (-72.5179855 19.2607613, -72.5179782 19.2606695, -72.5179657 19.2605756, -72.5179439 19.2604431, -72.5179081 19.2602184, -72.5178851 19.2600562, -72.5178719 19.2599521)",,,
48571975,residential,False,True,89.156,"LINESTRING (-72.5179855 19.2607613, -72.5179759 19.2608337, -72.5180483 19.2611957, -72.5180858 19.2615544)",,,
964986598,secondary,False,False,103.186,"LINESTRING (-72.5179855 19.2607613, -72.5182672 19.2607023, -72.5189358 19.2605251)",RC 107A,Route Communale 107A,
"[765717315, 964986598]",secondary,False,True,156.845,"LINESTRING (-72.5179855 19.2607613, -72.517245 19.2608678, -72.5169028 19.2609222, -72.5165047 19.2609202)",RC 107A,Route Communale 107A,
108438513,residential,False,False,62.958,"LINESTRING (-72.5147217 19.2605619, -72.5148299 19.2611188)",,,
178254566,tertiary,False,False,74.071,"LINESTRING (-72.5147217 19.2605619, -72.5140233 19.260657)",,Rue Canal,2
178254566,tertiary,False,True,77.531,"LINESTRING (-72.5147217 19.2605619, -72.5154532 19.2604655)",,Rue Canal,2
"[108438513, 576647275]",residential,False,"[False, True]",192.375,"LINESTRING (-72.5147217 19.2605619, -72.5146122 19.2596127, -72.5145856 19.2594005, -72.5144414 19.2594146, -72.5139939 19.2594584)",,,
30026602,residential,False,False,74.625,"LINESTRING (-72.5133204 19.2613403, -72.5132186 19.2606761)",,Rue Innocent,
30026602,residential,False,True,86.632,"LINESTRING (-72.5133204 19.2613403, -72.5134292 19.2621126)",,Rue Innocent,
216000066,unclassified,False,True,79.526,"LINESTRING (-72.5133204 19.2613403, -72.5140655 19.2612109)",,,
48725067,residential,False,True,110.393,"LINESTRING (-72.5189358 19.2605251, -72.5189576 19.2607362, -72.5190298 19.2615139)",,,
964986598,secondary,False,False,126.235,"LINESTRING (-72.5189358 19.2605251, -72.5192189 19.2604482, -72.5193517 19.26041, -72.519528 19.2603644, -72.5200801 19.260178)",RC 107A,Route Communale 107A,
964986598,secondary,False,True,103.186,"LINESTRING (-72.5189358 19.2605251, -72.5182672 19.2607023, -72.5179855 19.2607613)",RC 107A,Route Communale 107A,
95459979,secondary,False,False,76.851,"LINESTRING (-72.5184605 19.26434, -72.5177368 19.2644446)",RD 107,Rue Turling,
95459979,secondary,False,True,93.54,"LINESTRING (-72.5184605 19.26434, -72.5193491 19.2642768)",RD 107,Rue Turling,
48571978,residential,False,True,211.686,"LINESTRING (-72.5184605 19.26434, -72.5184646 19.2644678, -72.5184944 19.2647366, -72.5185418 19.2649988, -72.5185825 19.2650979, -72.5187001 19.2652773, -72.5188177 19.2654446, -72.5190189 19.265533, -72.5195517 19.2656292)",,,
50163857,residential,False,False,79.539,"LINESTRING (-72.5184605 19.26434, -72.5184144 19.2640873, -72.5183299 19.2636354)",,,
30026602,residential,False,False,86.632,"LINESTRING (-72.5134292 19.2621126, -72.5133204 19.2613403)",,Rue Innocent,
30026602,residential,False,True,54.369,"LINESTRING (-72.5134292 19.2621126, -72.5134888 19.2625983)",,Rue Innocent,
48571984,residential,False,False,81.347,"LINESTRING (-72.5134292 19.2621126, -72.5141961 19.2620074)",,,
48725068,residential,False,False,63.663,"LINESTRING (-72.5155439 19.2610316, -72.5154532 19.2604655)",,Rue Pascal Best,
48725068,residential,False,True,88.82,"LINESTRING (-72.5155439 19.2610316, -72.5156391 19.2618253)",,Rue Pascal Best,
216000068,residential,False,False,101.614,"LINESTRING (-72.5155439 19.2610316, -72.5165047 19.2609202)",,,
216000068,residential,False,True,75.574,"LINESTRING (-72.5155439 19.2610316, -72.5148299 19.2611188)",,,
