osmid,oneway,highway,reversed,length,lanes,name,geometry,maxspeed,ref,junction
489763179,True,secondary,False,19.951,,,"LINESTRING (30.2479403 50.5166551, 30.2480222 50.5164834)",,,
558071656,True,tertiary,False,10.924,2,вулиця Миколи Бажана,"LINESTRING (30.2479403 50.5166551, 30.2480764 50.5167016)",,,
35783744,False,tertiary,False,117.478,2,вулиця Івана Драча,"LINESTRING (30.2479403 50.5166551, 30.2478437 50.516627, 30.2477787 50.5166174, 30.2463283 50.5164044)",,,
59462536,True,tertiary,False,145.79700000000003,2,вулиця Поезії,"LINESTRING (30.2441183 50.5225575, 30.2455729 50.5227663, 30.2460347 50.5228326, 30.24613 50.5228463)",50,,
59462553,False,residential,False,244.881,,вулиця Паламарчука,"LINESTRING (30.2441183 50.5225575, 30.2441436 50.5224893, 30.2443066 50.5220496, 30.2446686 50.521073, 30.2448093 50.5206933, 30.2449076 50.5204132)",,,
"[489763177, 890925909, 890925910]",False,secondary,True,646.9369999999999,2,Центральна вулиця,"LINESTRING (30.24613 50.5228463, 30.24632 50.5221111, 30.246498 50.5214225, 30.2467725 50.5203604, 30.2467962 50.5202688, 30.2468042 50.5202376, 30.2469213 50.5197397, 30.2469337 50.5196951, 30.2471199 50.5190248, 30.2471256 50.5190043, 30.2471937 50.5187592, 30.2472511 50.5185527, 30.2472911 50.5184085, 30.247375 50.5181064, 30.2475086 50.5176257, 30.24761 50.517342, 30.2477025 50.5171405, 30.2477128 50.5171181)",50,,
890925908,False,secondary,False,183.92499999999998,2,Центральна вулиця,"LINESTRING (30.24613 50.5228463, 30.2461102 50.522937, 30.245767 50.5244842)",50,,
890925902,False,primary,False,164.899,,Соборна вулиця,"LINESTRING (30.2389523 50.5201583, 30.2393806 50.5189459, 30.2393913 50.5189157, 30.2394629 50.5187113)",50,О101325,
890925902,False,primary,True,182.89800000000002,,Соборна вулиця,"LINESTRING (30.2389523 50.5201583, 30.238617 50.5211464, 30.2384348 50.5216527, 30.2384289 50.5216692, 30.2383958 50.5217646)",50,О101325,
59462538,True,residential,False,170.329,,вулиця Академіка Заріфи Алієвої,"LINESTRING (30.2397452 50.5236093, 30.239253 50.5251088)",,,
59462574,True,residential,False,138.44,,вулиця Демʼяна Попова,"LINESTRING (30.2397452 50.5236093, 30.2394583 50.5235671, 30.2378372 50.5233289)",,,
59462553,False,residential,True,244.881,,вулиця Паламарчука,"LINESTRING (30.2449076 50.5204132, 30.2448093 50.5206933, 30.2446686 50.521073, 30.2443066 50.5220496, 30.2441436 50.5224893, 30.2441183 50.5225575)",,,
59462574,True,residential,False,223.391,,вулиця Демʼяна Попова,"LINESTRING (30.245767 50.5244842, 30.2456874 50.5244759, 30.2426762 50.5240662)",,,
890925908,False,secondary,True,183.92499999999998,2,Центральна вулиця,"LINESTRING (30.245767 50.5244842, 30.2461102 50.522937, 30.24613 50.5228463)",50,,
59462536,True,tertiary,False,63.27,2,вулиця Поезії,"LINESTRING (30.2432417 50.5224428, 30.2441183 50.5225575)",50,,
890925907,False,primary,False,84.11,,Соборна вулиця,"LINESTRING (30.2381314 50.5225021, 30.2381688 50.5223977, 30.2382401 50.5221987, 30.2383958 50.5217646)",50,О101325,
890925907,False,primary,True,94.25899999999999,,Соборна вулиця,"LINESTRING (30.2381314 50.5225021, 30.2380836 50.5226364, 30.2378372 50.5233289)",50,О101325,
531947551,True,tertiary,False,137.64000000000001,,вулиця Поезії,"LINESTRING (30.2383958 50.5217646, 30.2396435 50.5219322, 30.23965 50.521933, 30.2401847 50.5220048, 30.2403007 50.5220204)",,,
890925902,False,primary,False,182.89800000000002,,Соборна вулиця,"LINESTRING (30.2383958 50.5217646, 30.2384289 50.5216692, 30.2384348 50.5216527, 30.238617 50.5211464, 30.2389523 50.5201583)",50,О101325,
890925907,False,primary,True,84.11000000000001,,Соборна вулиця,"LINESTRING (30.2383958 50.5217646, 30.2382401 50.5221987, 30.2381688 50.5223977, 30.2381314 50.5225021)",50,О101325,
890925907,False,primary,False,94.25899999999999,,Соборна вулиця,"LINESTRING (30.2378372 50.5233289, 30.2380836 50.5226364, 30.2381314 50.5225021)",50,О101325,
59462536,True,tertiary,False,84.972,2,вулиця Поезії,"LINESTRING (30.2403007 50.5220204, 30.2414731 50.5221888)",50,,
59462538,True,residential,False,180.98999999999998,,вулиця Академіка Заріфи Алієвої,"LINESTRING (30.2403007 50.5220204, 30.2402755 50.5220925, 30.2397452 50.5236093)",,,
531947552,False,residential,False,172.349,,вулиця Академіка Заріфи Алієвої,"LINESTRING (30.2403007 50.5220204, 30.2403128 50.5219884, 30.2408707 50.5205134)",,,
59462574,True,residential,False,131.902,,вулиця Демʼяна Попова,"LINESTRING (30.2426762 50.5240662, 30.2416502 50.5239002, 30.2408689 50.5237714)",,,
947497613,True,residential,False,184.888,,вулиця 8 Березня,"LINESTRING (30.2426762 50.5240662, 30.2432198 50.5225066, 30.2432417 50.5224428)",,,
540153402,False,tertiary,False,12.579,2,Садова вулиця,"LINESTRING (30.239253 50.5251088, 30.239079 50.5250851)",50,,
61009925,True,secondary,False,24.563,,вулиця Личака,"LINESTRING (30.2480222 50.5164834, 30.2480593 50.5166326, 30.2480764 50.5167016)",,,
77042231,False,residential,False,297.669,,Східна вулиця,"LINESTRING (30.2463283 50.5164044, 30.2453916 50.5190143)",,,
35783744,False,tertiary,True,117.478,2,вулиця Івана Драча,"LINESTRING (30.2463283 50.5164044, 30.2477787 50.5166174, 30.2478437 50.516627, 30.2479403 50.5166551)",,,
77042231,False,residential,True,297.669,,Східна вулиця,"LINESTRING (30.2453916 50.5190143, 30.2463283 50.5164044)",,,
106090000,True,residential,False,139.796,,Словʼянська вулиця,"LINESTRING (30.2408707 50.5205134, 30.2427949 50.520803)",,,
531947552,False,residential,False,171.5,,вулиця Академіка Заріфи Алієвої,"LINESTRING (30.2408707 50.5205134, 30.2414019 50.5190085)",,,
531947552,False,residential,True,172.349,,вулиця Академіка Заріфи Алієвої,"LINESTRING (30.2408707 50.5205134, 30.2403128 50.5219884, 30.2403007 50.5220204)",,,
