osmid,ref,name,highway,maxspeed,oneway,reversed,length,junction,geometry
1197033708,Т-19-10,Першотравнева площа,secondary,50,False,True,56.956,,"LINESTRING (33.8286031 51.1960359, 33.8278262 51.1958767)"
644897248,Т-19-10,,secondary,50,True,False,17.216,roundabout,"LINESTRING (33.8286031 51.1960359, 33.828627 51.1959865, 33.8286809 51.1959475, 33.8287554 51.1959255)"
528472691,,вулиця Пилипа Орлика,residential,,False,True,112.584,,"LINESTRING (33.8331535 51.1992847, 33.83228 51.2001365)"
528541269,Т-19-10,вулиця Незалежності,secondary,50,False,False,165.288,,"LINESTRING (33.8331535 51.1992847, 33.8338712 51.1994591, 33.8353597 51.199831)"
528541269,Т-19-10,вулиця Незалежності,secondary,50,False,True,180.28199999999998,,"LINESTRING (33.8331535 51.1992847, 33.8312581 51.1987188, 33.8308177 51.1985873)"
241629372,Т-19-14,вулиця Успенський Шлях,secondary,50,False,False,201.566,,"LINESTRING (33.8273689 51.1939301, 33.8273724 51.1941226, 33.8275738 51.1945343, 33.8277881 51.1950157, 33.8280554 51.195389, 33.8282561 51.1956399)"
241036106,,вулиця Свободи,residential,,False,False,224.426,,"LINESTRING (33.8355488 51.1938564, 33.8344367 51.1938472, 33.8328801 51.193733, 33.8325933 51.1936868, 33.8323906 51.1936005)"
230368701,,Ярмаркова вулиця,residential,,False,False,327.34799999999996,,"LINESTRING (33.8323906 51.1936005, 33.8318448 51.1942757, 33.8313143 51.1949942, 33.8306502 51.1957391, 33.8305032 51.1958181, 33.8303686 51.1958473, 33.8301348 51.1958723, 33.8298466 51.1959006)"
241036106,,вулиця Свободи,residential,,False,True,224.426,,"LINESTRING (33.8323906 51.1936005, 33.8325933 51.1936868, 33.8328801 51.193733, 33.8344367 51.1938472, 33.8355488 51.1938564)"
528541873,Т-19-10,Першотравнева площа,secondary,50,False,False,51.218,,"LINESTRING (33.8288846 51.1961588, 33.8292475 51.1963868, 33.8293814 51.1964971)"
644897248,Т-19-10,,secondary,50,True,False,28.695999999999998,roundabout,"LINESTRING (33.8288846 51.1961588, 33.8288044 51.1961705, 33.8287235 51.1961608, 33.8286559 51.1961313, 33.8286133 51.1960871, 33.8286031 51.1960359)"
528541269,Т-19-10,вулиця Незалежності,secondary,50,False,True,165.288,,"LINESTRING (33.8353597 51.199831, 33.8338712 51.1994591, 33.8331535 51.1992847)"
528472691,,вулиця Пилипа Орлика,residential,,False,False,112.584,,"LINESTRING (33.83228 51.2001365, 33.8331535 51.1992847)"
528541269,Т-19-10,вулиця Незалежності,secondary,50,False,False,180.28199999999998,,"LINESTRING (33.8308177 51.1985873, 33.8312581 51.1987188, 33.8331535 51.1992847)"
528541269,Т-19-10,вулиця Незалежності,secondary,50,False,True,238.973,,"LINESTRING (33.8308177 51.1985873, 33.8304641 51.1984478, 33.8302279 51.198295, 33.8300914 51.1981401, 33.8297308 51.1973707, 33.8294804 51.1966929)"
241036127,,Калиновий провулок,residential,,False,False,326.413,,"LINESTRING (33.8261389 51.1957424, 33.8260038 51.19587, 33.8239532 51.1978072, 33.8237141 51.1982397)"
366623020,Т-19-10,,secondary,50,False,False,118.53399999999999,,"LINESTRING (33.8261389 51.1957424, 33.827714 51.1958721, 33.8278262 51.1958767)"
241036099,,,unclassified,,False,False,343.62,,"LINESTRING (33.8294804 51.1966929, 33.829187 51.1967768, 33.8290414 51.196957, 33.8283858 51.1978578, 33.8277786 51.1986602, 33.827388 51.1991195, 33.8271049 51.1993459)"
528541269,Т-19-10,вулиця Незалежності,secondary,50,False,False,238.973,,"LINESTRING (33.8294804 51.1966929, 33.8297308 51.1973707, 33.8300914 51.1981401, 33.8302279 51.198295, 33.8304641 51.1984478, 33.8308177 51.1985873)"
528541873,Т-19-10,Першотравнева площа,secondary,50,False,True,22.853,,"LINESTRING (33.8294804 51.1966929, 33.8294307 51.1965826, 33.8293814 51.1964971)"
241036105,,Зарічна вулиця,residential,,False,False,276.91700000000003,,"LINESTRING (33.8237141 51.1982397, 33.8255538 51.1986792, 33.8268551 51.1990279, 33.8269842 51.1990974, 33.8270784 51.1992192, 33.8271049 51.1993459)"
241036127,,Калиновий провулок,residential,,False,True,326.413,,"LINESTRING (33.8237141 51.1982397, 33.8239532 51.1978072, 33.8260038 51.19587, 33.8261389 51.1957424)"
241036099,,,unclassified,,False,False,56.934,,"LINESTRING (33.8271049 51.1993459, 33.8269701 51.1998509)"
241036099,,,unclassified,,False,True,343.61999999999995,,"LINESTRING (33.8271049 51.1993459, 33.827388 51.1991195, 33.8277786 51.1986602, 33.8283858 51.1978578, 33.8290414 51.196957, 33.829187 51.1967768, 33.8294804 51.1966929)"
241036105,,Зарічна вулиця,residential,,False,True,276.91700000000003,,"LINESTRING (33.8271049 51.1993459, 33.8270784 51.1992192, 33.8269842 51.1990974, 33.8268551 51.1990279, 33.8255538 51.1986792, 33.8237141 51.1982397)"
