osmid,highway,oneway,reversed,length,name,geometry,ref,bridge,junction
287900796,residential,False,False,126.478,,"LINESTRING (23.3936293 49.9414616, 23.3925702 49.9423722)",,,
152822676,residential,False,True,145.10000000000002,вулиця Романа Шухевича,"LINESTRING (23.3936293 49.9414616, 23.3938227 49.94163, 23.3939434 49.941796, 23.3943319 49.9426733)",,,
360141916,primary,False,True,47.263000000000005,Святоюрська вулиця,"LINESTRING (23.3864612 49.9418339, 23.38689 49.9420689, 23.3869608 49.9421118)",Р-40,,
152822645,residential,False,True,161.435,вулиця Павла Тичини,"LINESTRING (23.3869608 49.9421118, 23.385106 49.9429382)",,,
360141916,primary,False,False,47.263000000000005,Святоюрська вулиця,"LINESTRING (23.3869608 49.9421118, 23.38689 49.9420689, 23.3864612 49.9418339)",Р-40,,
360141916,primary,False,True,98.363,Святоюрська вулиця,"LINESTRING (23.3869608 49.9421118, 23.3870843 49.9421757, 23.3871391 49.9422041, 23.3879136 49.9426049, 23.3880259 49.9426707)",Р-40,,
152822623,residential,False,True,161.38299999999998,вулиця Гребля,"LINESTRING (23.3943319 49.9426733, 23.3932539 49.9431441, 23.3931107 49.9432088, 23.3924742 49.9434961)",,,
152822676,residential,False,False,145.10000000000002,вулиця Романа Шухевича,"LINESTRING (23.3943319 49.9426733, 23.3939434 49.941796, 23.3938227 49.94163, 23.3936293 49.9414616)",,,
152822645,residential,False,False,161.435,вулиця Павла Тичини,"LINESTRING (23.385106 49.9429382, 23.3869608 49.9421118)",,,
152822645,residential,False,True,6.788,вулиця Павла Тичини,"LINESTRING (23.385106 49.9429382, 23.3850258 49.9429708)",,,
152822611,residential,False,True,233.528,вулиця Максима Рильського,"LINESTRING (23.388817 49.9431973, 23.3883731 49.943428, 23.3880043 49.9436757, 23.3865532 49.9444835, 23.3863391 49.9445549)",,,
360141916,primary,False,False,81.517,Святоюрська вулиця,"LINESTRING (23.388817 49.9431973, 23.3883218 49.9428467, 23.3880259 49.9426707)",Р-40,,
360141916,primary,False,True,108.31700000000001,Святоюрська вулиця,"LINESTRING (23.388817 49.9431973, 23.3890122 49.9433309, 23.3891676 49.9434819, 23.3894205 49.9437526, 23.3895937 49.9440244)",Р-40,,
152822645,residential,False,False,65.824,вулиця Павла Тичини,"LINESTRING (23.3842469 49.9432857, 23.3850258 49.9429708)",,,
