osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,access
206894349,вулиця Франка,residential,False,False,5.25,,,"LINESTRING (25.2474627 50.1283724, 25.2475271 50.1283953)",
334472177,Почаївська вулиця,primary,False,False,107.425,Н-02,50,"LINESTRING (25.2474627 50.1283724, 25.2481752 50.1275211)",
672919124,,residential,False,False,53.068,,,"LINESTRING (25.2474627 50.1283724, 25.2468228 50.1281285)",
334472177,Почаївська вулиця,primary,False,True,215.111,Н-02,50,"LINESTRING (25.2474627 50.1283724, 25.2474248 50.1284159, 25.2466094 50.1294115, 25.2460378 50.1300776)",
115604624,вулиця Четвертного,residential,True,False,103.169,,,"LINESTRING (25.2491539 50.1262779, 25.2504652 50.1266705)",
176988671,вулиця Четвертного,residential,False,True,101.07300000000001,,,"LINESTRING (25.2491539 50.1262779, 25.2486368 50.1261535, 25.2483149 50.1260833, 25.2478147 50.12598)",
334472177,Почаївська вулиця,primary,False,False,156.961,Н-02,50,"LINESTRING (25.2491539 50.1262779, 25.250069 50.1251622, 25.2501786 50.1250285)",
334472177,Почаївська вулиця,primary,False,True,154.848,Н-02,50,"LINESTRING (25.2491539 50.1262779, 25.2487182 50.1268396, 25.2481752 50.1275211)",
115604566,Тиха вулиця,residential,False,True,270.15899999999993,,,"LINESTRING (25.2479878 50.1235816, 25.2477998 50.1239881, 25.2477354 50.1241895, 25.2477123 50.1243718, 25.2477301 50.1246731, 25.2477515 50.1250338, 25.2477059 50.1252075, 25.2476942 50.1253019, 25.247688 50.1253522, 25.24773 50.1256167, 25.2477887 50.1258969, 25.2478147 50.12598)",
115604506,Піскова вулиця,residential,False,False,223.76799999999997,,,"LINESTRING (25.2519335 50.1308814, 25.2528396 50.1308324, 25.2528908 50.1308352, 25.252946 50.1308446, 25.2533531 50.1309262, 25.2537685 50.1310093, 25.2539697 50.1310623, 25.2548746 50.1313938)",
206896880,вулиця Невського,secondary,False,False,140.381,Т-18-16,,"LINESTRING (25.2519335 50.1308814, 25.2519626 50.1309579, 25.2519987 50.1310343, 25.252127 50.1312537, 25.2524967 50.131823, 25.2526484 50.1320565)",
206896880,вулиця Невського,secondary,False,True,54.837999999999994,Т-18-16,,"LINESTRING (25.2519335 50.1308814, 25.2518577 50.130643, 25.2518031 50.1303956)",
512833588,Почаївська вулиця,primary,False,False,83.633,Н-02,50,"LINESTRING (25.2453367 50.1306762, 25.2455726 50.1305119, 25.2457034 50.1304208, 25.245884 50.1302517, 25.2460003 50.13012, 25.2460378 50.1300776)",
512833598,Кременецька вулиця,secondary,False,False,39.962999999999994,Т-18-16,,"LINESTRING (25.2453367 50.1306762, 25.2454462 50.130627, 25.245501 50.1306041, 25.2455601 50.1305878, 25.2456619 50.1305748, 25.2457464 50.1305694, 25.2458548 50.1305714)",
512833599,Почаївська вулиця,primary,False,True,125.908,Н-02,50,"LINESTRING (25.2453367 50.1306762, 25.245039 50.1308773, 25.2444973 50.1312653, 25.2441279 50.1315014)",
115604560,вулиця Четвертного,residential,False,True,59.221000000000004,,,"LINESTRING (25.2523562 50.1281814, 25.2525296 50.128417, 25.2523673 50.1286684)",
669643471,вулиця Четвертного,residential,False,False,106.80800000000002,,,"LINESTRING (25.2523562 50.1281814, 25.252249 50.1280672, 25.2526991 50.1275264, 25.2528421 50.1273327)",
512833599,Почаївська вулиця,primary,False,False,125.908,Н-02,50,"LINESTRING (25.2441279 50.1315014, 25.2444973 50.1312653, 25.245039 50.1308773, 25.2453367 50.1306762)",
115604594,провулок Невського,residential,False,True,143.488,,,"LINESTRING (25.2526484 50.1320565, 25.252285 50.1321032, 25.2507027 50.1323855)",
206896880,вулиця Невського,secondary,False,True,140.381,Т-18-16,,"LINESTRING (25.2526484 50.1320565, 25.2524967 50.131823, 25.252127 50.1312537, 25.2519987 50.1310343, 25.2519626 50.1309579, 25.2519335 50.1308814)",
115604617,вулиця Невського,residential,False,False,80.922,,,"LINESTRING (25.2512833 50.1284523, 25.2519376 50.1285833, 25.2523673 50.1286684)",
115604617,вулиця Невського,residential,False,True,136.70000000000002,,,"LINESTRING (25.2512833 50.1284523, 25.2507292 50.1282696, 25.2505781 50.1282223, 25.2495661 50.1279052)",
"[690520691, 168608117]",вулиця Невського,residential,False,False,108.77000000000001,,,"LINESTRING (25.2512833 50.1284523, 25.2514108 50.1285148, 25.2514701 50.1285575, 25.2515272 50.1286114, 25.2515703 50.1286773, 25.2515975 50.1287458, 25.2516205 50.1288431, 25.2516859 50.1293538)",
206894348,вулиця Франка,residential,False,False,89.692,,,"LINESTRING (25.2516859 50.1293538, 25.2529411 50.1292975)",
690520691,вулиця Невського,residential,False,False,14.117,,,"LINESTRING (25.2516859 50.1293538, 25.2516957 50.1294806)",
"[690520691, 168608117]",вулиця Невського,residential,False,True,108.77000000000001,,,"LINESTRING (25.2516859 50.1293538, 25.2516205 50.1288431, 25.2515975 50.1287458, 25.2515703 50.1286773, 25.2515272 50.1286114, 25.2514701 50.1285575, 25.2514108 50.1285148, 25.2512833 50.1284523)",
669643471,вулиця Четвертного,residential,False,True,106.80799999999999,,,"LINESTRING (25.2528421 50.1273327, 25.2526991 50.1275264, 25.252249 50.1280672, 25.2523562 50.1281814)",
690520086,вулиця Четвертного,residential,True,False,140.64100000000002,,,"LINESTRING (25.2528421 50.1273327, 25.2532479 50.1272308, 25.2536833 50.1271247, 25.2546764 50.1268671)",
115604587,Садова вулиця,residential,False,False,193.234,,,"LINESTRING (25.2547515 50.1237122, 25.2544816 50.1247652, 25.2544855 50.1251814, 25.2545003 50.12524, 25.2545653 50.1254306)",
168608118,Кременецька вулиця,residential,False,False,180.349,,,"LINESTRING (25.2518031 50.1303956, 25.251932 50.1303945, 25.2520657 50.1303941, 25.2543306 50.1304639)",
