osmid,name,highway,oneway,reversed,length,ref,geometry,maxspeed,bridge,lanes
317438471,Центральна вулиця,residential,False,False,162.553,,"LINESTRING (33.3607937 48.9219399, 33.3586071 48.9222096)",,,
176955666,Центральна вулиця,secondary,False,False,277.195,Т-12-03,"LINESTRING (33.3607937 48.9219399, 33.3608706 48.9219287, 33.3642817 48.9214316, 33.3644869 48.9213776)",,,
"[300927698, 563968779, 300927699]",вулиця Сухомлинського,trunk,False,False,228.946,М-22,"LINESTRING (33.3607937 48.9219399, 33.3606451 48.9214954, 33.3603955 48.9207823, 33.3603555 48.9206649, 33.3602916 48.9205, 33.36005 48.9199404)",40,yes,2
563968779,вулиця Сухомлинського,trunk,False,True,134.93300000000002,М-22,"LINESTRING (33.3607937 48.9219399, 33.3608108 48.9219956, 33.3611598 48.9231293)",40,,
210935991,вулиця Станіслава Кохна,unclassified,False,False,314.251,,"LINESTRING (33.36005 48.9199404, 33.358905 48.9194731, 33.3562075 48.9186837)",,,
300927699,вулиця Сухомлинського,trunk,False,False,107.982,М-22,"LINESTRING (33.36005 48.9199404, 33.3598678 48.9194628, 33.3597951 48.9192147, 33.3597754 48.918989)",40,,2
"[563968779, 300927698, 300927699]",вулиця Сухомлинського,trunk,False,True,228.946,М-22,"LINESTRING (33.36005 48.9199404, 33.3602916 48.9205, 33.3603555 48.9206649, 33.3603955 48.9207823, 33.3606451 48.9214954, 33.3607937 48.9219399)",40,yes,2
300928964,Калинова вулиця,tertiary,False,False,295.719,О-121704,"LINESTRING (33.3597754 48.918989, 33.3632224 48.9175955)",,,
300927699,вулиця Сухомлинського,trunk,False,True,107.982,М-22,"LINESTRING (33.3597754 48.918989, 33.3597951 48.9192147, 33.3598678 48.9194628, 33.36005 48.9199404)",40,,2
317438471,Центральна вулиця,residential,False,True,162.553,,"LINESTRING (33.3586071 48.9222096, 33.3607937 48.9219399)",,,
"[564111108, 317438471]","['Центральна вулиця', 'Поштова вулиця']",residential,False,False,417.54699999999997,,"LINESTRING (33.3586071 48.9222096, 33.358337 48.9222543, 33.3573149 48.922398, 33.3564539 48.9224608, 33.35498 48.9226308, 33.3554202 48.9239318)",,,
505271235,,residential,False,False,138.137,,"LINESTRING (33.3586071 48.9222096, 33.3586759 48.9224927, 33.3588709 48.9231552, 33.3589355 48.9234328)",,,
312786318,,residential,False,True,169.88,,"LINESTRING (33.3554202 48.9239318, 33.355821 48.9254367)",,,
803180024,Поштова вулиця,tertiary,False,False,262.761,О-121702,"LINESTRING (33.3554202 48.9239318, 33.3589355 48.9234328)",,,
"[564111108, 317438471]","['Центральна вулиця', 'Поштова вулиця']",residential,False,True,417.547,,"LINESTRING (33.3554202 48.9239318, 33.35498 48.9226308, 33.3564539 48.9224608, 33.3573149 48.922398, 33.358337 48.9222543, 33.3586071 48.9222096)",,,
803180024,Поштова вулиця,tertiary,False,False,161.119,О-121702,"LINESTRING (33.3589997 48.9234209, 33.3611598 48.9231293)",,,
