osmid,bridge,highway,oneway,reversed,length,name,geometry,ref
143068820,,residential,False,True,99.504,вулиця Котляревського,"LINESTRING (31.6543818 48.7950004, 31.65574 48.7949848)",
"[143545410, 143068820]",,residential,False,False,406.769,вулиця Котляревського,"LINESTRING (31.6543818 48.7950004, 31.6542719 48.7949558, 31.6501551 48.7950395, 31.6498195 48.7954541, 31.6492276 48.7954625)",
143085483,,residential,False,False,171.59900000000002,вулиця Євгенія Присяжного,"LINESTRING (31.6543818 48.7950004, 31.6544501 48.7950974, 31.6554683 48.7962314, 31.6554372 48.7963484)",
143085483,,residential,False,True,78.935,вулиця Євгенія Присяжного,"LINESTRING (31.6543818 48.7950004, 31.654272 48.7948497, 31.653915 48.7944421, 31.6538633 48.7943785)",
143068821,,residential,False,False,41.96,вулиця Гастелло,"LINESTRING (31.6573189 48.7987159, 31.6573437 48.7990929)",
143220948,,unclassified,False,True,29.078,,"LINESTRING (31.6573189 48.7987159, 31.6569242 48.798744)",
143068821,,residential,False,True,200.311,вулиця Гастелло,"LINESTRING (31.6573189 48.7987159, 31.6574369 48.7985745, 31.6582303 48.7972092, 31.6582925 48.7970358)",
143085483,,residential,False,False,54.539,вулиця Євгенія Присяжного,"LINESTRING (31.6554372 48.7963484, 31.6548246 48.7966272)",
220212964,,residential,False,True,32.217,,"LINESTRING (31.6554372 48.7963484, 31.6556006 48.7966174)",
143085483,,residential,False,True,171.599,вулиця Євгенія Присяжного,"LINESTRING (31.6554372 48.7963484, 31.6554683 48.7962314, 31.6544501 48.7950974, 31.6543818 48.7950004)",
143065331,,secondary,False,True,123.601,вулиця Євгенія Присяжного,"LINESTRING (31.6522327 48.7928552, 31.6531287 48.7937971)",Т-24-01
143085524,,residential,False,False,174.886,вулиця Поповкіна,"LINESTRING (31.6522327 48.7928552, 31.6520475 48.792912, 31.6516644 48.7928653, 31.6500505 48.7928497, 31.6498711 48.7928524)",
143085483,,residential,False,True,54.539,вулиця Євгенія Присяжного,"LINESTRING (31.6548246 48.7966272, 31.6554372 48.7963484)",
949808399,,tertiary,False,True,140.756,вулиця Соборності,"LINESTRING (31.6490927 48.793144, 31.6491425 48.7943772, 31.6491438 48.7944094)",
143098614,,residential,False,False,81.797,вулиця Ціолковського,"LINESTRING (31.6465049 48.8008922, 31.6473171 48.8003873)",
143098679,,residential,False,False,198.79899999999998,вулиця Назаревського,"LINESTRING (31.6465049 48.8008922, 31.6462903 48.8006943, 31.6464298 48.799924, 31.6462747 48.799299, 31.6460712 48.7992786)",
161710146,,residential,False,False,88.041,вулиця Ціолковського,"LINESTRING (31.6519583 48.7995476, 31.6528027 48.7989841)",
161710146,,residential,False,True,24.376,вулиця Ціолковського,"LINESTRING (31.6519583 48.7995476, 31.6516303 48.7995847)",
"[143098656, 143098572]",,"['residential', 'unclassified']",False,"[False, True]",349.749,Виноградівський провулок,"LINESTRING (31.6519583 48.7995476, 31.6532834 48.8002237, 31.6542455 48.7996642, 31.654551 48.7998604, 31.6547521 48.8002848, 31.6549621 48.8007343)",
143220948,,unclassified,False,False,112.033,,"LINESTRING (31.6554415 48.7984965, 31.6569242 48.798744)",
