osmid,name,highway,oneway,reversed,length,lanes,ref,width,geometry
115841656,Терешкової провулок,residential,False,False,63.768,,,,"LINESTRING (37.4180965 47.6985588, 37.4173006 47.698354)"
333542434,Терешкової провулок,tertiary,False,False,155.934,2,С050516,8,"LINESTRING (37.4180965 47.6985588, 37.4200336 47.6990754)"
333542436,Ювілейна вулиця,tertiary,False,True,159.624,2,С050516,8,"LINESTRING (37.4180965 47.6985588, 37.4188708 47.6972212)"
333542435,Ювілейна вулиця,tertiary,False,True,315.628,,,,"LINESTRING (37.4180965 47.6985588, 37.4174788 47.6996122, 37.416931 47.7005624, 37.416552 47.7012001)"
115841656,Терешкової провулок,residential,False,False,120.706,,,,"LINESTRING (37.4161705 47.6979521, 37.4146426 47.6976044)"
115841656,Терешкової провулок,residential,False,True,10.367,,,,"LINESTRING (37.4161705 47.6979521, 37.4162431 47.6980315)"
333542432,Садова вулиця,residential,False,True,152.05100000000002,,,,"LINESTRING (37.4161705 47.6979521, 37.4162218 47.6978372, 37.4163418 47.6976441, 37.4169939 47.6967033)"
115841657,Гагаріна вулиця,residential,False,False,157.62,,,,"LINESTRING (37.4196428 47.7035369, 37.4203994 47.702214)"
115848118,Лермонтова провулок,residential,False,False,155.513,,,,"LINESTRING (37.4196428 47.7035369, 37.4176998 47.7030407)"
115848130,Перемоги провулок,residential,False,False,63.367,,,,"LINESTRING (37.416552 47.7012001, 37.415764 47.7009915)"
115848130,Перемоги провулок,residential,False,True,153.31,,,,"LINESTRING (37.416552 47.7012001, 37.4184586 47.7017046)"
333542435,Ювілейна вулиця,tertiary,False,True,157.02,,,,"LINESTRING (37.416552 47.7012001, 37.4158058 47.7025199)"
333542435,Ювілейна вулиця,tertiary,False,False,315.628,,,,"LINESTRING (37.416552 47.7012001, 37.416931 47.7005624, 37.4174788 47.6996122, 37.4180965 47.6985588)"
115841657,Гагаріна вулиця,residential,False,False,153.195,,,,"LINESTRING (37.4226895 47.6982153, 37.4234114 47.6969261)"
115841657,Гагаріна вулиця,residential,False,True,156.659,,,,"LINESTRING (37.4226895 47.6982153, 37.4219566 47.699535)"
115848133,Чкалова провулок,residential,False,False,154.335,,,,"LINESTRING (37.4226895 47.6982153, 37.4207663 47.6977143)"
115848133,Чкалова провулок,residential,False,True,157.236,,,,"LINESTRING (37.4226895 47.6982153, 37.4246347 47.6987497)"
115848118,Лермонтова провулок,residential,False,False,153.106,,,,"LINESTRING (37.4176998 47.7030407, 37.4158058 47.7025199)"
