osmid,oneway,ref,highway,reversed,length,name,geometry,lanes,bridge
175056136,True,М-14,trunk,False,22.888,,"LINESTRING (35.6394317 46.7302818, 35.6397242 46.7302352)",,
415728914,False,,tertiary,True,43.471,Центральна вулиця,"LINESTRING (35.6394317 46.7302818, 35.6391252 46.7299521)",,
175056136,True,М-14,trunk,False,48.941,,"LINESTRING (35.6408487 46.730181, 35.6410365 46.7301846, 35.6414855 46.7302318)",,
175056139,True,,residential,False,18.196,,"LINESTRING (35.6408487 46.730181, 35.6409205 46.7302357, 35.6409527 46.7302816, 35.6409644 46.7303199)",1,
175056137,True,М-14,trunk,False,40.907,,"LINESTRING (35.6414855 46.7302318, 35.6409644 46.7303199)",,
175056136,True,М-14,trunk,False,32.477,,"LINESTRING (35.6386449 46.7305428, 35.6390162 46.7303995)",,
"[487841921, 487841922, 37900403]",False,М-14,trunk,True,310.129,Горького вулиця,"LINESTRING (35.6386449 46.7305428, 35.6383067 46.7306447, 35.637967 46.730777, 35.6375213 46.731052, 35.6373009 46.7312266, 35.6369621 46.7314803, 35.6356989 46.732426)",,yes
175056137,True,М-14,trunk,False,72.872,,"LINESTRING (35.6395821 46.7304131, 35.6388576 46.7305133, 35.6386449 46.7305428)",,
175056138,True,,tertiary,False,19.197000000000003,,"LINESTRING (35.6395821 46.7304131, 35.639519 46.7303892, 35.6394801 46.7303497, 35.6394317 46.7302818)",1,
175056137,True,М-14,trunk,False,105.87,,"LINESTRING (35.6409644 46.7303199, 35.6407743 46.7303368, 35.6397477 46.7304025, 35.6395821 46.7304131)",,
37900403,False,М-14,trunk,False,180.46200000000002,Горького вулиця,"LINESTRING (35.6341057 46.7336266, 35.6344302 46.7333867, 35.6356989 46.732426)",,
415728914,False,,tertiary,False,222.293,Центральна вулиця,"LINESTRING (35.6364942 46.7271207, 35.6381178 46.7287814)",,
315891250,False,,residential,False,225.61399999999998,Кіровський провулок,"LINESTRING (35.6364942 46.7271207, 35.638079 46.7263525, 35.638496 46.7261521, 35.6389134 46.7259516)",,
315891250,False,,residential,True,225.614,Кіровський провулок,"LINESTRING (35.6389134 46.7259516, 35.638496 46.7261521, 35.638079 46.7263525, 35.6364942 46.7271207)",,
614155583,False,,residential,True,218.679,Пушкіна вулиця,"LINESTRING (35.6389134 46.7259516, 35.6398403 46.7268945, 35.6405403 46.7275713)",,
315891694,False,,residential,True,135.62,Пушкіна провулок,"LINESTRING (35.6419529 46.7268297, 35.6405403 46.7275713)",,
315891694,False,,residential,False,135.62,Пушкіна провулок,"LINESTRING (35.6405403 46.7275713, 35.6419529 46.7268297)",,
315891694,False,,residential,True,228.47,Пушкіна провулок,"LINESTRING (35.6405403 46.7275713, 35.6381178 46.7287814)",,
614155583,False,,residential,False,218.679,Пушкіна вулиця,"LINESTRING (35.6405403 46.7275713, 35.6398403 46.7268945, 35.6389134 46.7259516)",,
315891694,False,,residential,False,228.47,Пушкіна провулок,"LINESTRING (35.6381178 46.7287814, 35.6405403 46.7275713)",,
415728914,False,,tertiary,False,151.133,Центральна вулиця,"LINESTRING (35.6381178 46.7287814, 35.6391252 46.7299521)",,
415728914,False,,tertiary,True,222.293,Центральна вулиця,"LINESTRING (35.6381178 46.7287814, 35.6364942 46.7271207)",,
"[487841921, 487841922, 37900403]",False,М-14,trunk,False,310.129,Горького вулиця,"LINESTRING (35.6356989 46.732426, 35.6369621 46.7314803, 35.6373009 46.7312266, 35.6375213 46.731052, 35.637967 46.730777, 35.6383067 46.7306447, 35.6386449 46.7305428)",,yes
37900403,False,М-14,trunk,True,180.46200000000002,Горького вулиця,"LINESTRING (35.6356989 46.732426, 35.6344302 46.7333867, 35.6341057 46.7336266)",,
175056136,True,М-14,trunk,False,85.935,,"LINESTRING (35.6397242 46.7302352, 35.6399716 46.7302168, 35.6408487 46.730181)",,
415728914,False,,tertiary,False,43.471,Центральна вулиця,"LINESTRING (35.6391252 46.7299521, 35.6394317 46.7302818)",,
415728914,False,,tertiary,True,151.133,Центральна вулиця,"LINESTRING (35.6391252 46.7299521, 35.6381178 46.7287814)",,
487841926,True,,trunk_link,False,58.58599999999999,,"LINESTRING (35.6391252 46.7299521, 35.6393051 46.7300752, 35.6394057 46.7301695, 35.6394781 46.7302113, 35.6395774 46.7302278, 35.6397242 46.7302352)",,
175056136,True,М-14,trunk,False,34.266,,"LINESTRING (35.6390162 46.7303995, 35.6394317 46.7302818)",,
487841927,True,,trunk_link,False,54.718,,"LINESTRING (35.6390162 46.7303995, 35.639108 46.73034, 35.6391576 46.7302885, 35.6391777 46.7302385, 35.6391898 46.7301759, 35.6391804 46.7301024, 35.6391252 46.7299521)",,
