osmid,oneway,name,highway,maxspeed,width,reversed,length,geometry,ref
124210329,False,вулиця Ветеранів,residential,50,11,True,308.133,"LINESTRING (33.7137988 47.6607865, 33.7138189 47.6607777, 33.7138372 47.6607697, 33.713934 47.6607275, 33.7139608 47.6607158, 33.7142171 47.6606171, 33.7145289 47.6605454, 33.7150612 47.6604275, 33.7150958 47.6604198, 33.7153187 47.6603705, 33.7164549 47.6601624, 33.7168519 47.6601931, 33.7175088 47.6603508, 33.7176995 47.6603528)",
150029958,False,Центральна вулиця,tertiary,,28,True,149.78199999999998,"LINESTRING (33.7137988 47.6607865, 33.7135869 47.6606417, 33.7123948 47.6598272)",
150029962,False,Центральна вулиця,tertiary,,28,True,111.934,"LINESTRING (33.7137988 47.6607865, 33.7142928 47.6611053, 33.7144454 47.6612038, 33.7146189 47.6613224, 33.7148659 47.6614912)",
130735156,False,Робоча вулиця,residential,,,False,205.383,"LINESTRING (33.7206166 47.6589987, 33.7209181 47.6591177, 33.7211445 47.6591838, 33.7212571 47.6592321, 33.7213452 47.6592698, 33.7214116 47.6592931, 33.7214579 47.6593093, 33.7215741 47.65935, 33.7219585 47.6594486, 33.7223064 47.6594363, 33.7226084 47.6593623, 33.7228556 47.659017)",
150033960,False,вулиця Визволення,tertiary,,,False,269.98900000000003,"LINESTRING (33.7206166 47.6589987, 33.720402 47.6598564, 33.720387 47.6599561, 33.72037 47.660041, 33.7203224 47.660235, 33.7202703 47.66044, 33.7201081 47.6607304, 33.7199981 47.660902, 33.7198362 47.6611126, 33.719609 47.6612889)",
150033960,False,вулиця Визволення,tertiary,,,True,235.724,"LINESTRING (33.7206166 47.6589987, 33.7205834 47.6588368, 33.7205574 47.6588001, 33.7205252 47.6587639, 33.7204468 47.6587214, 33.7201838 47.6586445, 33.719666 47.6584983, 33.7194566 47.6584219, 33.7193786 47.6583927, 33.7192838 47.6583361, 33.7192118 47.6582456, 33.7191518 47.6581275, 33.719008 47.657433)",
124210329,False,вулиця Ветеранів,residential,50,11,False,95.553,"LINESTRING (33.7182058 47.6595647, 33.7179811 47.6599319, 33.7178051 47.6602196, 33.7176995 47.6603528)",
150029958,False,Центральна вулиця,tertiary,,28,False,149.78199999999998,"LINESTRING (33.7123948 47.6598272, 33.7135869 47.6606417, 33.7137988 47.6607865)",
130659525,False,Музична вулиця,tertiary,,,True,107.393,"LINESTRING (33.7138453 47.6660751, 33.7131543 47.6652288)",
150029962,False,Центральна вулиця,tertiary,,28,False,111.934,"LINESTRING (33.7148659 47.6614912, 33.7146189 47.6613224, 33.7144454 47.6612038, 33.7142928 47.6611053, 33.7137988 47.6607865)",
931494538,False,,residential,,,True,88.835,"LINESTRING (33.7241691 47.6632669, 33.7239791 47.6640555)",
150029961,False,Центральна вулиця,tertiary,50,12,False,170.453,"LINESTRING (33.7241691 47.6632669, 33.7237291 47.6632748, 33.7232762 47.6632665, 33.7225176 47.6632426, 33.7219012 47.6631797)",О040101
657420909,False,Ярмаркова вулиця,residential,,,False,271.236,"LINESTRING (33.7241691 47.6632669, 33.7242958 47.6624188, 33.7243178 47.6621259, 33.7243409 47.6618226, 33.7243366 47.6616435, 33.7242929 47.6615316, 33.724229 47.6614352, 33.7241247 47.6613301, 33.7238499 47.6611718, 33.7237198 47.6610975, 33.7236261 47.661014)",
150033960,False,вулиця Визволення,tertiary,,,False,11.661,"LINESTRING (33.7189904 47.6573288, 33.719008 47.657433)",
130659533,False,Покровська вулиця,residential,,,True,127.897,"LINESTRING (33.7155846 47.6618377, 33.7153072 47.6620617, 33.7151449 47.6622251, 33.7146179 47.6627314, 33.7145801 47.6627668)",
150029963,False,вулиця Визволення,tertiary,,,False,111.76,"LINESTRING (33.7188149 47.662729, 33.7183434 47.6636826)",
150029959,False,Центральна вулиця,tertiary,50,12,True,188.457,"LINESTRING (33.7188149 47.662729, 33.7189203 47.6627431, 33.7212743 47.6630879)",О040101
