osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,width
332933993,С-030533,Луцька вулиця,secondary,False,False,29.581,"LINESTRING (25.817734 50.7285384, 25.818049 50.7287145)",,
332933993,С-030533,Луцька вулиця,secondary,False,True,56.376,"LINESTRING (25.817734 50.7285384, 25.8173498 50.7283828, 25.8170748 50.7282511)",,
332333917,,вулиця Незалежності,residential,False,True,332.59999999999997,"LINESTRING (25.8116618 50.7247362, 25.8122767 50.7247913, 25.8124816 50.7246394, 25.8126498 50.7243007, 25.8127687 50.7238415, 25.8127806 50.7234554, 25.8130441 50.7229255, 25.8133102 50.7224742, 25.8133955 50.7223295)",,
1011513664,С-030533,Замкова вулиця,secondary,False,False,236.633,"LINESTRING (25.8116618 50.7247362, 25.8119314 50.7235298, 25.8119574 50.7228479, 25.811975 50.7226206)",,
1011513664,С-030533,Замкова вулиця,secondary,False,True,129.54399999999998,"LINESTRING (25.8116618 50.7247362, 25.8114804 50.7255876, 25.8114556 50.7258931)",,
"[328397976, 183353252, 183349365, 328397983]",О-030535,вулиця Пилипа Орлика,tertiary,False,False,328.041,"LINESTRING (25.8114556 50.7258931, 25.8108095 50.7260674, 25.8096419 50.7263612, 25.8091623 50.7264797, 25.8074733 50.7268894, 25.8071203 50.726975)",yes,
"[332933993, 332692241, 332692242]",С-030533,Луцька вулиця,secondary,False,"[False, True]",342.22100000000006,"LINESTRING (25.8114556 50.7258931, 25.8118933 50.7261052, 25.8129727 50.7266762, 25.8132784 50.7268378, 25.8137263 50.7270297, 25.8138818 50.7270908, 25.814091 50.7271502, 25.8144531 50.7272165, 25.8149654 50.7273268, 25.8154106 50.7274643, 25.8155261 50.7275134)",yes,
1011513664,С-030533,Замкова вулиця,secondary,False,False,129.54399999999998,"LINESTRING (25.8114556 50.7258931, 25.8114804 50.7255876, 25.8116618 50.7247362)",,
183349365,О-030535,вулиця Пилипа Орлика,tertiary,False,False,141.92700000000002,"LINESTRING (25.8071203 50.726975, 25.8066953 50.7270781, 25.8064448 50.7271413, 25.8061951 50.7271808, 25.8059518 50.7271958, 25.8056924 50.7272026, 25.8053879 50.727199, 25.8051632 50.7272115)",,
"[328397976, 183353252, 183349365, 328397983]",О-030535,вулиця Пилипа Орлика,tertiary,False,True,328.041,"LINESTRING (25.8071203 50.726975, 25.8074733 50.7268894, 25.8091623 50.7264797, 25.8096419 50.7263612, 25.8108095 50.7260674, 25.8114556 50.7258931)",yes,
