osmid,highway,oneway,reversed,length,lanes,ref,geometry,name,maxspeed,bridge
155822620,unclassified,False,True,5.463,,,"LINESTRING (34.3436548 44.5826647, 34.3435892 44.5826495)",,,
987810535,tertiary,False,False,33.336999999999996,2,35Н-029;С-010103,"LINESTRING (34.3436548 44.5826647, 34.3438175 44.5826101, 34.3439301 44.582576, 34.3440372 44.5825395)",,,
127094198,unclassified,False,False,17.816,,35Н-014;О-010114,"LINESTRING (34.3440372 44.5825395, 34.3440947 44.5826944)",,,
126784295,unclassified,False,False,208.00900000000001,,,"LINESTRING (34.3440372 44.5825395, 34.3440669 44.5824904, 34.3440848 44.5824232, 34.344099 44.5823444, 34.3440975 44.5822479, 34.3440924 44.582116, 34.3440924 44.5819697, 34.3441051 44.5818468, 34.3441276 44.581724, 34.3441586 44.5816049, 34.3441958 44.5814517, 34.3442449 44.5812965, 34.3443075 44.581187, 34.3444494 44.5809388, 34.3445876 44.5807358)",Фрунзенское шоссе,,
302025635,tertiary,False,False,138.723,2,35Н-029;С-010103,"LINESTRING (34.3440372 44.5825395, 34.3439148 44.5822752, 34.3438753 44.5821474, 34.3438558 44.5820367, 34.3438556 44.5819307, 34.3438557 44.5817902, 34.3438559 44.5816011, 34.343861 44.5814345, 34.3438493 44.5813102)",Объездная улица,60,
987810535,tertiary,False,True,33.337,2,35Н-029;С-010103,"LINESTRING (34.3440372 44.5825395, 34.3439301 44.582576, 34.3438175 44.5826101, 34.3436548 44.5826647)",,,
155789069,residential,False,False,399.847,,,"LINESTRING (34.340011 44.581107, 34.3396152 44.5809633, 34.3393708 44.5808501, 34.3392812 44.5807843, 34.339221 44.5806916, 34.3391678 44.5804995, 34.3392055 44.5803516, 34.3392524 44.5801726, 34.3394787 44.5799896, 34.3403585 44.579052, 34.3405202 44.5787092, 34.3405249 44.5786993, 34.3405566 44.5780936)",Солнечная улица,60,
302025635,tertiary,False,True,339.158,2,35Н-029;С-010103,"LINESTRING (34.340011 44.581107, 34.3422943 44.5808358, 34.3431234 44.5807796, 34.3433121 44.5808084, 34.3434647 44.5808473, 34.3436027 44.5809285, 34.3436955 44.5810142, 34.343757 44.581087, 34.3438098 44.581164, 34.3438493 44.5813102)",Объездная улица,60,
"[765397696, 765397697, 110881954]",tertiary,False,False,269.172,2,"['35Н-029;С-010103', '35Н-029']","LINESTRING (34.340011 44.581107, 34.3396476 44.5811722, 34.3390734 44.5812429, 34.3387782 44.5812774, 34.3381042 44.5813488, 34.3376563 44.5814037, 34.3375318 44.5814165, 34.3373848 44.5814226, 34.3372628 44.5813996, 34.3371836 44.5813647, 34.3371171 44.5812942, 34.337101 44.581227, 34.3371049 44.581116, 34.3371405 44.5810174)","['Объездная дорога', 'улица Победы']",,yes
155789069,residential,False,True,399.847,,,"LINESTRING (34.3405566 44.5780936, 34.3405249 44.5786993, 34.3405202 44.5787092, 34.3403585 44.579052, 34.3394787 44.5799896, 34.3392524 44.5801726, 34.3392055 44.5803516, 34.3391678 44.5804995, 34.339221 44.5806916, 34.3392812 44.5807843, 34.3393708 44.5808501, 34.3396152 44.5809633, 34.340011 44.581107)",Солнечная улица,60,
