osmid,name,highway,oneway,reversed,length,width,geometry,lanes,ref,maxspeed
623172796,Хортицька вулиця,residential,False,False,26.884,,"LINESTRING (35.2579728 47.6601884, 35.2576187 47.6601487)",,,
198138455,,unclassified,False,True,434.066,5,"LINESTRING (35.2579728 47.6601884, 35.2577957 47.6599825, 35.2577287 47.6598903, 35.2577206 47.6597928, 35.2577716 47.6596519, 35.2580023 47.6594423, 35.2588284 47.6588299, 35.2594051 47.6583891, 35.2596223 47.6581777, 35.2598691 47.657932, 35.2600622 47.6577495, 35.2603519 47.6574966, 35.2607435 47.6571533, 35.2607596 47.6570395)",,,
623172796,Хортицька вулиця,residential,False,True,162.083,,"LINESTRING (35.2535605 47.6579808, 35.2552611 47.6588823)",,,
647901154,Степна вулиця,residential,False,False,119.232,,"LINESTRING (35.2535605 47.6579808, 35.2530509 47.658483, 35.25267 47.6588696)",,,
647901154,Степна вулиця,residential,False,True,344.37600000000003,,"LINESTRING (35.2535605 47.6579808, 35.2537617 47.6577278, 35.2540433 47.6574207, 35.2544296 47.6570088, 35.2546763 47.6567233, 35.2551699 47.6561904, 35.2555588 47.6557658, 35.2558029 47.6555002, 35.2559745 47.6553467)",,,
198138410,Каховська вулиця,unclassified,False,True,8.106,5,"LINESTRING (35.253704 47.6525652, 35.2536236 47.6525164)",,,
159917454,Центральна вулиця,tertiary,False,True,109.82000000000001,,"LINESTRING (35.253704 47.6525652, 35.2539629 47.6526799, 35.2544966 47.6529075, 35.2549491 47.6530863)",2,О-080514,50
623172791,Кірова вулиця,tertiary,False,False,165.99900000000002,,"LINESTRING (35.253704 47.6525652, 35.2536195 47.6526763, 35.2535498 47.6527901, 35.2532735 47.6532273, 35.2527264 47.6539031)",2,О-080720,50
623172791,Кірова вулиця,tertiary,False,True,165.999,,"LINESTRING (35.2527264 47.6539031, 35.2532735 47.6532273, 35.2535498 47.6527901, 35.2536195 47.6526763, 35.253704 47.6525652)",2,О-080720,50
623172793,Юності вулиця,residential,False,True,137.972,,"LINESTRING (35.2527264 47.6539031, 35.2533701 47.6541506, 35.2538529 47.6543548, 35.2543062 47.6545408)",2,,
