osmid,bridge,name,highway,oneway,reversed,length,lanes,maxspeed,geometry
154858003,yes,Крейдяна вулиця,tertiary,False,False,85.057,,,"LINESTRING (37.5272168 48.7439455, 37.5265611 48.7433145)"
154858003,yes,Крейдяна вулиця,tertiary,False,True,110.839,,,"LINESTRING (37.5272168 48.7439455, 37.5280942 48.7447572)"
154858000,,Кропивницького вулиця,tertiary,False,False,574.029,1,50,"LINESTRING (37.5272168 48.7439455, 37.5265825 48.7442054, 37.5258274 48.744545, 37.5250057 48.7449282, 37.5240054 48.7453914, 37.52179 48.7463916, 37.5211215 48.7467417, 37.5209585 48.7468726, 37.5208545 48.7469381)"
242920697,,Промислова вулиця,residential,False,False,678.406,,,"LINESTRING (37.5343711 48.7403139, 37.5332875 48.7410993, 37.5330983 48.7411997, 37.5324224 48.7413879, 37.5316959 48.7415772, 37.5301972 48.7419347, 37.5261646 48.7429001)"
242920702,,,residential,False,True,105.844,,,"LINESTRING (37.5208545 48.7469381, 37.5216273 48.7477421)"
154858000,,Кропивницького вулиця,tertiary,False,True,574.029,1,50,"LINESTRING (37.5208545 48.7469381, 37.5209585 48.7468726, 37.5211215 48.7467417, 37.52179 48.7463916, 37.5240054 48.7453914, 37.5250057 48.7449282, 37.5258274 48.744545, 37.5265825 48.7442054, 37.5272168 48.7439455)"
154858003,yes,Крейдяна вулиця,tertiary,False,False,127.149,,,"LINESTRING (37.5291168 48.7456807, 37.5280942 48.7447572)"
154858003,yes,Крейдяна вулиця,tertiary,False,True,54.485,,,"LINESTRING (37.5261646 48.7429001, 37.5265611 48.7433145)"
242920697,,Промислова вулиця,residential,False,True,678.4060000000001,,,"LINESTRING (37.5261646 48.7429001, 37.5301972 48.7419347, 37.5316959 48.7415772, 37.5324224 48.7413879, 37.5330983 48.7411997, 37.5332875 48.7410993, 37.5343711 48.7403139)"
242920702,,,residential,False,False,105.844,,,"LINESTRING (37.5216273 48.7477421, 37.5208545 48.7469381)"
242920695,,Менжинського вулиця,residential,False,True,578.813,,,"LINESTRING (37.5216273 48.7477421, 37.5223822 48.7474135, 37.5280942 48.7447572)"
154858003,yes,Крейдяна вулиця,tertiary,False,False,54.485,,,"LINESTRING (37.5265611 48.7433145, 37.5261646 48.7429001)"
154858003,yes,Крейдяна вулиця,tertiary,False,True,85.057,,,"LINESTRING (37.5265611 48.7433145, 37.5272168 48.7439455)"
154858003,yes,Крейдяна вулиця,tertiary,False,False,110.839,,,"LINESTRING (37.5280942 48.7447572, 37.5272168 48.7439455)"
154858003,yes,Крейдяна вулиця,tertiary,False,True,127.149,,,"LINESTRING (37.5280942 48.7447572, 37.5291168 48.7456807)"
242920695,,Менжинського вулиця,residential,False,False,578.813,,,"LINESTRING (37.5280942 48.7447572, 37.5223822 48.7474135, 37.5216273 48.7477421)"
