osmid,highway,oneway,reversed,length,name,geometry,bridge
335980701,tertiary,False,False,150.586,,"LINESTRING (37.8700804 48.2224981, 37.8717737 48.2232473)",
235039231,residential,False,False,281.45300000000003,Першотравнева вулиця,"LINESTRING (37.8753997 48.2246723, 37.8761967 48.2249334, 37.8775066 48.2253695, 37.8788007 48.2258006)",
"[235330204, 235330205, 335980701]",tertiary,False,True,312.68,,"LINESTRING (37.8753997 48.2246723, 37.8745701 48.2243611, 37.8743164 48.2242816, 37.8739178 48.2241562, 37.8736094 48.2240722, 37.8721744 48.2234361, 37.8717737 48.2232473)",yes
226712191,residential,False,False,447.674,Калініна вулиця,"LINESTRING (37.8684995 48.2266312, 37.8717737 48.2232473)",
235039231,residential,False,True,171.858,Першотравнева вулиця,"LINESTRING (37.8808492 48.2265261, 37.8788007 48.2258006)",
184809848,residential,False,False,184.163,Першотравнева вулиця,"LINESTRING (37.8788007 48.2258006, 37.8774356 48.2271848)",
235039231,residential,False,False,171.858,Першотравнева вулиця,"LINESTRING (37.8788007 48.2258006, 37.8808492 48.2265261)",
235039231,residential,False,True,281.453,Першотравнева вулиця,"LINESTRING (37.8788007 48.2258006, 37.8775066 48.2253695, 37.8761967 48.2249334, 37.8753997 48.2246723)",
226712191,residential,False,True,447.674,Калініна вулиця,"LINESTRING (37.8717737 48.2232473, 37.8684995 48.2266312)",
335980701,tertiary,False,True,150.586,,"LINESTRING (37.8717737 48.2232473, 37.8700804 48.2224981)",
"[235330204, 335980701, 235330205]",tertiary,False,False,312.67999999999995,,"LINESTRING (37.8717737 48.2232473, 37.8721744 48.2234361, 37.8736094 48.2240722, 37.8739178 48.2241562, 37.8743164 48.2242816, 37.8745701 48.2243611, 37.8753997 48.2246723)",yes
184809848,residential,False,True,184.163,Першотравнева вулиця,"LINESTRING (37.8774356 48.2271848, 37.8788007 48.2258006)",
226708890,residential,False,True,174.27700000000002,,"LINESTRING (37.8774356 48.2271848, 37.877801 48.2273184, 37.8792914 48.2278632, 37.8794468 48.2279814)",
226708890,residential,False,False,174.27700000000002,,"LINESTRING (37.8794468 48.2279814, 37.8792914 48.2278632, 37.877801 48.2273184, 37.8774356 48.2271848)",
