osmid,oneway,ref,highway,reversed,length,tunnel,geometry
"[321652997, 321652996, 35597677]",True,67К-6;Т-27-03,secondary,False,93.024,building_passage,"LINESTRING (33.781498 44.4064633, 33.7815843 44.4063483, 33.7816533 44.4062985, 33.7817642 44.4062344, 33.7819178 44.4061804, 33.7819954 44.4061608, 33.7821007 44.4061425, 33.7821824 44.4061426, 33.7822703 44.4061623, 33.7824435 44.4062496)"
35597678,True,67К-6;Т-27-03,secondary,False,79.86699999999999,,"LINESTRING (33.7824435 44.4062496, 33.7823435 44.4062491, 33.7822498 44.4062543, 33.782167 44.4062672, 33.7818116 44.4063509, 33.7816472 44.4063964, 33.781498 44.4064633)"
