osmid,ref,highway,junction,oneway,reversed,length,geometry,name,maxspeed,lanes
168038921,Т-25-30,secondary,roundabout,True,False,24.004,"LINESTRING (32.72241 50.4987981, 32.7224071 50.498753, 32.722433 50.498711, 32.7224833 50.4986792, 32.7225495 50.498663, 32.722605 50.4986654)",,,
168038926,Т-25-30,secondary,,False,False,458.468,"LINESTRING (32.72241 50.4987981, 32.7215593 50.4988612, 32.7208966 50.4989052, 32.7172144 50.4992255, 32.7159752 50.4992847)",Зарічна вулиця,50,
168038921,Т-25-30,secondary,roundabout,True,False,7.381,"LINESTRING (32.722683 50.4988576, 32.7226375 50.4988738, 32.7225864 50.4988806)",,,
174041431,Т-25-30,secondary,,False,True,233.73,"LINESTRING (32.722683 50.4988576, 32.7238276 50.499414, 32.7252639 50.5001697)",вулиця Пилипенка,50,
168038926,Т-25-30,secondary,,False,False,8.741,"LINESTRING (32.7159752 50.4992847, 32.7158554 50.4992654)",Зарічна вулиця,50,
168038926,Т-25-30,secondary,,False,True,458.46799999999996,"LINESTRING (32.7159752 50.4992847, 32.7172144 50.4992255, 32.7208966 50.4989052, 32.7215593 50.4988612, 32.72241 50.4987981)",Зарічна вулиця,50,
168062857,,residential,,False,False,76.073,"LINESTRING (32.7159752 50.4992847, 32.7161313 50.499082, 32.7163213 50.4989129, 32.7165093 50.4986927)",Київська вулиця,,
168062969,,residential,,False,False,46.669,"LINESTRING (32.7252639 50.5001697, 32.7253135 50.50015, 32.7254545 50.500094, 32.7256561 50.5000335, 32.7258571 50.4999902)",Носенка,,
168062969,,residential,,False,True,184.969,"LINESTRING (32.7252639 50.5001697, 32.7248651 50.5003182, 32.724399 50.5005002, 32.7240216 50.5006582, 32.7236906 50.5008196, 32.7234314 50.5009376, 32.7232887 50.5010423, 32.7232222 50.5010902, 32.7232707 50.501146)",Носенка,,
174041431,Т-25-30,secondary,,False,False,233.73,"LINESTRING (32.7252639 50.5001697, 32.7238276 50.499414, 32.722683 50.4988576)",вулиця Пилипенка,50,
174041431,Т-25-30,secondary,,False,True,109.37899999999999,"LINESTRING (32.7252639 50.5001697, 32.7263978 50.5008081, 32.7264241 50.5008199)",вулиця Пилипенка,50,
174041431,Т-25-30,secondary,,False,False,47.524,"LINESTRING (32.7270987 50.5011232, 32.72655 50.5008765)",вулиця Пилипенка,50,
168062862,,residential,,False,False,57.974999999999994,"LINESTRING (32.7270987 50.5011232, 32.7265271 50.5010839, 32.7262825 50.501078)",Лютневого Повстання,,
