osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,ref,access
111812069,False,2,улица Луначарского,trunk,50,False,21.089,"LINESTRING (35.3815389 46.8480165, 35.3817972 46.8479475)",,,
123461650,False,2,Гетьмана Сагайдачного вулиця,trunk,50,True,411.21200000000005,"LINESTRING (35.3815389 46.8480165, 35.3806466 46.8484519, 35.3796011 46.8489438, 35.3781474 46.8496355, 35.3778943 46.8497535, 35.3775364 46.8498916, 35.3773007 46.8499443, 35.3770099 46.8500093)",,,
803584103,False,2,улица Луначарского,residential,,True,171.254,"LINESTRING (35.3815389 46.8480165, 35.3812919 46.8479324, 35.3808311 46.8478869, 35.3804931 46.8478612, 35.3796992 46.8478355, 35.3793237 46.8478355)",,,
111812073,False,,Олександра Невського вулиця,trunk,50,False,244.373,"LINESTRING (35.3844277 46.8480122, 35.3846331 46.845819)",,,
111812069,False,2,улица Луначарского,trunk,50,True,200.24099999999999,"LINESTRING (35.3844277 46.8480122, 35.3827019 46.8479517, 35.3819036 46.8479437, 35.3817972 46.8479475)",,,
"[112796880, 112796882, 112796879]",False,2,Олександра Довженка вулиця,tertiary,,False,192.641,"LINESTRING (35.3844277 46.8480122, 35.3844514 46.8480945, 35.3845587 46.8484938, 35.3846097 46.8486432, 35.3846775 46.8487918, 35.3847314 46.8489367, 35.3848975 46.8493343, 35.3850094 46.8495283, 35.3851279 46.8496685)",yes,,
617333594,False,2,улица Луначарского,residential,,True,187.361,"LINESTRING (35.3844277 46.8480122, 35.385555 46.8481188, 35.3868806 46.848125)",,,
111812073,False,,Олександра Невського вулиця,trunk,50,True,244.373,"LINESTRING (35.3846331 46.845819, 35.3844277 46.8480122)",,,
25292935,False,,Інтеркультурна вулиця,trunk,50,False,195.895,"LINESTRING (35.3846331 46.845819, 35.3850756 46.8458672, 35.3871718 46.8461166)",,М-14,
51109248,False,2,Олександра Невського вулиця,trunk,50,False,202.628,"LINESTRING (35.3846331 46.845819, 35.38477 46.8445506, 35.3847878 46.8443688, 35.3848097 46.8440009)",,М-14,
