osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,maxspeed,bridge,tunnel,width
210833712,living_street,False,False,52.548,"LINESTRING (23.0310361 46.8624521, 23.0303889 46.8624757, 23.030347 46.862469)",,,,,,,
"[1090703802, 1090703803]",trunk,False,False,70.069,"LINESTRING (23.0310361 46.8624521, 23.0310412 46.8625281, 23.0310746 46.8629035, 23.0310841 46.8629897, 23.0310747 46.863081)",2,DN1,Strada Protopop Aurel Munteanu,50,,,
"[1090703802, 91264375]",trunk,False,True,121.356,"LINESTRING (23.0310361 46.8624521, 23.0310271 46.8623342, 23.0310019 46.8619526, 23.0310075 46.8618157, 23.0310398 46.8616529, 23.0310958 46.8615328, 23.0311137 46.8614982, 23.0311978 46.8613846)",2,DN1,Strada Protopop Aurel Munteanu,50,,,
"[1090697130, 1090697131, 1090697132, 32467063]",trunk,False,False,97.901,"LINESTRING (23.0310747 46.863081, 23.0310519 46.8631566, 23.0310076 46.8632189, 23.0309567 46.8632685, 23.0308774 46.8633274, 23.0308045 46.8633666, 23.0307356 46.8633977, 23.0306474 46.8634371, 23.0304499 46.8635029, 23.0302201 46.8635795, 23.0301206 46.8636143)",2,DN1,Piața Victoriei,50,,,
"[1090703802, 1090703803]",trunk,False,True,70.069,"LINESTRING (23.0310747 46.863081, 23.0310841 46.8629897, 23.0310746 46.8629035, 23.0310412 46.8625281, 23.0310361 46.8624521)",2,DN1,Strada Protopop Aurel Munteanu,50,,,
210641830,residential,False,False,343.419,"LINESTRING (23.024135 46.8647935, 23.0241291 46.8647161, 23.0241219 46.8645795, 23.0240966 46.8641029, 23.024093 46.8640348, 23.0240608 46.8639816, 23.0239697 46.8639229, 23.0236961 46.8639119, 23.0233083 46.8639146, 23.0231569 46.8639156, 23.0227814 46.8638936, 23.0220331 46.8638165, 23.0208001 46.8636749)",,,Strada Luceafărului,RO:urban,,,
"[210641860, 210641839, 1090692374, 1090692376, 1090692377]",trunk,False,False,271.351,"LINESTRING (23.024135 46.8647935, 23.0235058 46.8648223, 23.0233876 46.8648277, 23.0230697 46.8648423, 23.0224474 46.8648648, 23.0223253 46.8648676, 23.0216103 46.864885, 23.0210474 46.8648766, 23.0205733 46.8648367)","['2', '3']",DN1,Strada Horea,RO:urban,,,
"[32467068, 1090692375]",trunk,False,True,108.46600000000001,"LINESTRING (23.024135 46.8647935, 23.024674 46.8647648, 23.0250284 46.8647377, 23.0253718 46.8646999, 23.0255497 46.8646749)",3,DN1,Strada Horea,RO:urban,,,
210641839,trunk,False,False,39.681,"LINESTRING (23.0205733 46.8648367, 23.0200574 46.8647826)",2,DN1,Strada Horea,RO:urban,,,
"[210641860, 210641839, 1090692374, 1090692376, 1090692377]",trunk,False,True,271.35100000000006,"LINESTRING (23.0205733 46.8648367, 23.0210474 46.8648766, 23.0216103 46.864885, 23.0223253 46.8648676, 23.0224474 46.8648648, 23.0230697 46.8648423, 23.0233876 46.8648277, 23.0235058 46.8648223, 23.024135 46.8647935)","['2', '3']",DN1,Strada Horea,RO:urban,,,
210641880,residential,False,True,130.371,"LINESTRING (23.0205733 46.8648367, 23.0207915 46.8637812, 23.0208001 46.8636749)",,,Strada Poștei,RO:urban,,,
210641839,trunk,False,True,39.681,"LINESTRING (23.0200574 46.8647826, 23.0205733 46.8648367)",2,DN1,Strada Horea,RO:urban,,,
210641853,residential,False,False,112.65899999999999,"LINESTRING (23.0200574 46.8647826, 23.0199034 46.865258, 23.019721 46.8655954, 23.0196406 46.8656504, 23.0195358 46.8657028)",,,Strada Florilor,RO:urban,,,
210642967,primary,False,False,64.758,"LINESTRING (23.025416 46.8619448, 23.0254375 46.8613626)",,DN1R,Strada Avram Iancu,50,,,
"[210642986, 32335382, 32467527]",residential,False,True,447.8929999999999,"LINESTRING (23.025416 46.8619448, 23.0258491 46.8619297, 23.0280898 46.8618517, 23.0283712 46.8618469, 23.0290346 46.8618141, 23.0300938 46.8616719, 23.0304389 46.8616032, 23.0307452 46.861497, 23.0309238 46.8614326, 23.0311978 46.8613846)",,,"['Strada 1 Mai', 'Strada Morii']",RO:urban,yes,,
210642967,primary,False,True,87.129,"LINESTRING (23.025416 46.8619448, 23.0254402 46.8623813, 23.0254857 46.862627, 23.0255039 46.8627253)",,DN1R,Strada Avram Iancu,50,,,
32467645,primary,False,False,103.611,"LINESTRING (23.0263588 46.8698736, 23.0267063 46.8689726)",2,DN1G,Strada Fildului,50,,,
692281453,trunk,False,True,17.55,"LINESTRING (23.0263725 46.8645147, 23.0265953 46.8644734)",3,DN1,Piața Republicii,50,,,
26160122,primary,True,False,59.64,"LINESTRING (23.0263725 46.8645147, 23.026295 46.8643098, 23.0262388 46.8641301, 23.0262174 46.8639899)",1,DN1R,Strada Avram Iancu,50,,,
