osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,junction,geometry,width
1075832984,4,DJ173C,Strada Alexandru Odobescu,secondary,RO:urban,False,True,113.069,,"LINESTRING (24.4938981 47.1283438, 24.4928273 47.1290532)",
24414854,,DJ173C,,secondary,RO:urban,True,False,12.303999999999998,roundabout,"LINESTRING (24.4938981 47.1283438, 24.493888 47.1283157, 24.4938887 47.1283001, 24.4939012 47.1282724, 24.4939362 47.1282439)",
24414854,,DJ173C,,secondary,RO:urban,True,False,12.165000000000001,roundabout,"LINESTRING (24.4939362 47.1282439, 24.493974 47.1282307, 24.4940186 47.1282271, 24.4940599 47.128234, 24.4940863 47.1282449)",
24414854,,DJ173C,,secondary,RO:urban,True,False,13.009,roundabout,"LINESTRING (24.4940863 47.1282449, 24.4941146 47.1282665, 24.4941299 47.1282921, 24.4941318 47.128321, 24.4941173 47.1283509)",
24414870,,,Strada Nicolae Titulescu,tertiary,30,False,True,16.07,,"LINESTRING (24.494266 47.1284541, 24.4941173 47.1283509)",
24414870,,,Strada Nicolae Titulescu,tertiary,30,False,False,78.30799999999999,,"LINESTRING (24.494266 47.1284541, 24.4943306 47.1285227, 24.494593 47.1288014, 24.494756 47.1290713)",
"[1185052265, 29457639]",,,Strada Parcului,residential,RO:urban,False,True,202.19,,"LINESTRING (24.494266 47.1284541, 24.4945711 47.128334, 24.4946665 47.1283164, 24.494785 47.1283109, 24.4951253 47.1283166, 24.49553 47.1283301, 24.4959975 47.128324, 24.4961869 47.1283221, 24.4967716 47.1283133, 24.4968411 47.1283146, 24.4968866 47.1283131)",
"[1075835410, 1075835411, 24414996]",,,Strada Mihail Kogălniceanu,residential,"['30', 'RO:urban']",True,False,112.143,,"LINESTRING (24.4950362 47.1295454, 24.4952568 47.1294856, 24.4954423 47.1294192, 24.4955998 47.1293631, 24.4956992 47.1293279, 24.4958628 47.1293059, 24.4959419 47.129306, 24.496295 47.1294555, 24.4963502 47.1294983)",
1075835416,,,Strada Nicolae Titulescu,tertiary,30,True,False,73.882,,"LINESTRING (24.4950362 47.1295454, 24.4951177 47.1297892, 24.4952454 47.1301944)",
"[24414905, 518244251]",2,,Piața Centrală,tertiary,RO:urban,True,False,231.249,,"LINESTRING (24.4958834 47.1315864, 24.4959337 47.1315994, 24.4959819 47.1316232, 24.4960379 47.131665, 24.4966579 47.1320893, 24.4970728 47.1323663, 24.4971344 47.1324016, 24.4972024 47.1324405, 24.4970614 47.1325614, 24.4969752 47.1326251, 24.4969493 47.1326442, 24.4964569 47.1330144, 24.4963839 47.1330649)",
1075832984,4,DJ173C,Strada Alexandru Odobescu,secondary,RO:urban,False,False,48.487,,"LINESTRING (24.4923841 47.1293682, 24.4928273 47.1290532)",
189597375,4,DJ173C,Strada Alexandru Odobescu,secondary,RO:urban,False,True,109.81,,"LINESTRING (24.4923841 47.1293682, 24.4913944 47.130024, 24.4913471 47.1300591)",
24414876,,,Strada George Coșbuc,residential,RO:urban,True,False,141.72,,"LINESTRING (24.4957603 47.1316227, 24.4956427 47.1315746, 24.495488 47.1315015, 24.49507 47.1313193, 24.4948769 47.1312026, 24.4947623 47.131131, 24.4943393 47.1308065)",
